method,source_index,image_id,snr_db,seed,N,E,diagnostic_only,header_ok,normalized_latent,psnr_db,lpips_alex,dino_cosine
Dc_F_representation_reference,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,not_a_wireless_method,not_a_wireless_method,True,True,0.0,19.661914825439453,0.05764181911945343,0.9154562950134277
actual_RX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,False,True,0.8457944393157959,16.698274612426758,0.1376507580280304,0.8311061263084412
actual_RX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,True,True,0.8298695683479309,16.809965133666992,0.13193507492542267,0.8379230499267578
oracle_TX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,True,True,0.8457944393157959,16.698274612426758,0.1376507580280304,0.8311061263084412
oracle_TX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,True,True,0.8298695683479309,16.809965133666992,0.13193507492542267,0.8379230499267578
Dc_F_representation_reference,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,not_a_wireless_method,not_a_wireless_method,True,True,0.0,19.661914825439453,0.05764182657003403,0.9154562950134277
actual_RX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,False,True,0.8326946496963501,16.774288177490234,0.1299295574426651,0.84173583984375
actual_RX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,True,True,0.8277793526649475,16.81111717224121,0.13040219247341156,0.8399685025215149
oracle_TX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,True,True,0.8326946496963501,16.774288177490234,0.1299295574426651,0.84173583984375
oracle_TX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,True,True,0.8277793526649475,16.81111717224121,0.13040219247341156,0.8399685025215149
Dc_F_representation_reference,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,not_a_wireless_method,not_a_wireless_method,True,True,0.0,19.661914825439453,0.05764182657003403,0.9154562950134277
actual_RX_AWGN,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,False,True,0.8326415419578552,16.783809661865234,0.13157781958580017,0.829361617565155
actual_RX_zero_noise,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,True,True,0.8277793526649475,16.81111717224121,0.13040219247341156,0.8399685025215149
