family,snr_db,mode,frames,source_images,raw_payload_bits,accepted_correct_probability,source_packet_BLER,source_index_goodput,psnr_db,lpips,dino_report_only,actual_payload_bits_mean,header_failure_probability,no_accepted_body_probability,body_CRC_failure_given_header_accept,success_lpips_mean,failure_lpips_mean,failure_contribution_to_mean_lpips,failure_frames
raw,5.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396638371467592,0.17388999927788973,0.8856134079694747,3060.0,0.0,0.0,0.0,0.17388999927788973,,0.0,0
raw,5.0,9,3000,1000,5088,0.0,1.0,0.0,16.56781242163976,0.2886285112525026,0.7044437897307798,5088.0,0.0,1.0,1.0,,0.2886285112525026,0.2886285112525026,3000
raw,6.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813169911384584,0.2299568111412227,0.8368089831024408,1860.0,0.0,0.0,0.0,0.2299568111412227,,0.0,0
raw,6.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396638371467592,0.17388999927788973,0.8856134079694747,3060.0,0.0,0.0,0.0,0.17388999927788973,,0.0,0
raw,6.0,9,3000,1000,5088,0.033666666666666664,0.9663333333333334,171.296,20.188444720427196,0.15144900663755834,0.8993333832323551,5088.0,0.0,0.9663333333333334,0.9663333333333334,0.13335798697380147,0.15207929052373959,0.1469592877427737,2899
raw,7.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813169911384584,0.2299568111412227,0.8368089831024408,1860.0,0.0,0.0,0.0,0.2299568111412227,,0.0,0
raw,7.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396638371467592,0.17388999927788973,0.8856134079694747,3060.0,0.0,0.0,0.0,0.17388999927788973,,0.0,0
raw,7.0,9,3000,1000,5088,0.6916666666666667,0.30833333333333335,3519.2,20.883036080996195,0.1345288982943942,0.9150631417830785,5088.0,0.0,0.30833333333333335,0.30833333333333335,0.13321889412061996,0.13746755630583377,0.04238582986096541,925
raw,13.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813169911384584,0.2299568111412227,0.8368089831024408,1860.0,0.0,0.0,0.0,0.2299568111412227,,0.0,0
raw,13.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396638371467592,0.17388999927788973,0.8856134079694747,3060.0,0.0,0.0,0.0,0.17388999927788973,,0.0,0
raw,13.0,9,3000,1000,5088,1.0,0.0,5088.0,20.97161380958557,0.13262774995900692,0.9169064673781395,5088.0,0.0,0.0,0.0,0.13262774995900692,,0.0,0
raw,19.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813169911384584,0.2299568111412227,0.8368089831024408,1860.0,0.0,0.0,0.0,0.2299568111412227,,0.0,0
raw,19.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396638371467592,0.17388999927788973,0.8856134079694747,3060.0,0.0,0.0,0.0,0.17388999927788973,,0.0,0
raw,19.0,9,3000,1000,5088,1.0,0.0,5088.0,20.97161380958557,0.13262774995900692,0.9169064673781395,5088.0,0.0,0.0,0.0,0.13262774995900692,,0.0,0
