step,method,source_index,image_id,snr_db,noise_count,mse,lpips_alex,normalized_latent,utility,U_image
12500,P4084,24,n01622779/ILSVRC2012_val_00016292_n01622779,13,3,0.009258604298035303,0.0905698910355568,0.3888436456521352,0.02220403030514717,0.018315593401590984
12500,P4084,24,n01622779/ILSVRC2012_val_00016292_n01622779,19,3,0.008798702930410704,0.08664253850777943,0.35352351268132526,0.020998192951083183,0.01746295765042305
12500,P4084,25,n01629819/ILSVRC2012_val_00000890_n01629819,1,3,0.010502646366755167,0.15560207764307657,0.5677704016367594,0.03174055740237236,0.02606285425523917
12500,P4084,25,n01629819/ILSVRC2012_val_00000890_n01629819,4,3,0.008367329215010008,0.12389446049928665,0.3790302375952403,0.024547077094515164,0.02075677489240964
12500,P4084,25,n01629819/ILSVRC2012_val_00000890_n01629819,7,3,0.007166787205884854,0.10672770688931148,0.26768556237220764,0.02051641357441743,0.017839557801683743
12500,P4084,25,n01629819/ILSVRC2012_val_00000890_n01629819,13,3,0.006087973869095246,0.09038901329040527,0.16156987845897675,0.01674257405102253,0.01512687529126803
12500,P4084,25,n01629819/ILSVRC2012_val_00000890_n01629819,19,3,0.005809178575873375,0.08558878550926845,0.13009796539942423,0.015669037277499836,0.014368057250976562
12500,P4084,26,n01630670/ILSVRC2012_val_00002774_n01630670,1,3,0.012728766848643621,0.16131279865900675,0.6542643308639526,0.03540268912911415,0.02886004683872064
12500,P4084,26,n01630670/ILSVRC2012_val_00002774_n01630670,4,3,0.00966287466386954,0.12654447555541992,0.45851680636405945,0.026902490605910618,0.022317322591940563
12500,P4084,26,n01630670/ILSVRC2012_val_00002774_n01630670,7,3,0.008044518840809664,0.10581761846939723,0.33473242322603863,0.02197360557814439,0.018626281370719273
12500,P4084,26,n01630670/ILSVRC2012_val_00002774_n01630670,13,3,0.006654921919107437,0.08905016879240672,0.21480325857798258,0.01770797123511632,0.015559939046700796
12500,P4084,26,n01630670/ILSVRC2012_val_00002774_n01630670,19,3,0.006268516027679046,0.08526938160260518,0.18223744134108225,0.016617828980088234,0.014795454839865366
12500,P4084,27,n01631663/ILSVRC2012_val_00011416_n01631663,1,3,0.007952984267224869,0.13018175959587097,0.5574836134910583,0.026545995225509007,0.020971159761150677
12500,P4084,27,n01631663/ILSVRC2012_val_00011416_n01631663,4,3,0.005443885301550229,0.09247877697149913,0.3773205677668254,0.018464968850215275,0.014691763247052828
12500,P4084,27,n01631663/ILSVRC2012_val_00011416_n01631663,7,3,0.004357498915245135,0.07488037645816803,0.2757733364899953,0.014603269596894583,0.011845536530017853
12500,P4084,27,n01631663/ILSVRC2012_val_00011416_n01631663,13,3,0.0034871328777323165,0.0590413436293602,0.17420474688212076,0.011133314731220404,0.009391267163058123
12500,P4084,27,n01631663/ILSVRC2012_val_00011416_n01631663,19,3,0.0032349054235965014,0.05596612642208735,0.13849292198816934,0.010216447214285532,0.00883151808132728
12500,P4084,28,n01632458/ILSVRC2012_val_00007050_n01632458,1,3,0.016252127786477406,0.1752681384483973,0.9315363764762878,0.0430943047006925,0.03377894187966982
12500,P4084,28,n01632458/ILSVRC2012_val_00007050_n01632458,4,3,0.01262226328253746,0.13115898768107095,0.7005869746208191,0.032744032641251884,0.025738162298997242
12500,P4084,28,n01632458/ILSVRC2012_val_00007050_n01632458,7,3,0.010686400656898817,0.10954401890436809,0.539833664894104,0.027039139221111935,0.021640802423159283
12500,P4084,28,n01632458/ILSVRC2012_val_00007050_n01632458,13,3,0.009103623839716116,0.0913938507437706,0.38925617933273315,0.022135570645332336,0.018243008603652317
12500,P4084,28,n01632458/ILSVRC2012_val_00007050_n01632458,19,3,0.008736444326738516,0.08675611267487209,0.3517216642697652,0.02092927259703477,0.017412055904666584
12500,P4084,29,n01632777/ILSVRC2012_val_00044504_n01632777,1,3,0.0028101760738839707,0.11391500880320866,0.41600215435028076,0.01836169883608818,0.014201677093903223
12500,P4084,29,n01632777/ILSVRC2012_val_00044504_n01632777,4,3,0.0019030170903230708,0.08196667085091273,0.24709878861904144,0.01257067204763492,0.010099684198697409
12500,P4084,29,n01632777/ILSVRC2012_val_00044504_n01632777,7,3,0.0014496611741681893,0.06538059562444687,0.15877653658390045,0.009575486493607363,0.007987721047053734
12500,P4084,29,n01632777/ILSVRC2012_val_00044504_n01632777,13,3,0.001067500716696183,0.05002380286653837,0.08212516456842422,0.006891132642825444,0.006069881065438191
12500,P4084,29,n01632777/ILSVRC2012_val_00044504_n01632777,19,3,0.0009668563143350184,0.047229066491127014,0.05780559157331785,0.006267818932731946,0.005689762998372316
12500,P4084,30,n01641577/ILSVRC2012_val_00003748_n01641577,1,3,0.006640944940348466,0.1408353547255198,0.6088937918345133,0.026813418914874394,0.020724480971693993
12500,P4084,30,n01641577/ILSVRC2012_val_00003748_n01641577,4,3,0.004781991709023714,0.10096156845490138,0.41510312755902606,0.01902918020884196,0.014878148213028908
12500,P4084,30,n01641577/ILSVRC2012_val_00003748_n01641577,7,3,0.003858942383279403,0.08088486641645432,0.2970653474330902,0.014918082704146704,0.01194742942849795
12500,P4084,30,n01641577/ILSVRC2012_val_00003748_n01641577,13,3,0.0030905507349719605,0.06324506302674611,0.18643938998381296,0.011279451039930185,0.009415057177344957
12500,P4084,30,n01641577/ILSVRC2012_val_00003748_n01641577,19,3,0.0028826762766887746,0.05828675379355749,0.15482420225938162,0.010259593526522318,0.008711351702610651
12500,P4084,31,n01644373/ILSVRC2012_val_00012248_n01644373,1,3,0.0017615411973868806,0.06042614330848058,0.3565828800201416,0.011369984596967697,0.007804155660172303
