new_step,arm,region,weight,psnr_db,lpips,mse,dino,frames,registered_selection_score
0,lpips_0p1__conditioned,mechanism,0.1,21.197276501549617,0.19407974392837948,0.009804862748000435,0.7980262850688563,9000,0.029212837140838388
0,lpips_0p1__conditioned,primary,0.1,19.409856190946368,0.2338318379132284,0.015888197440848066,0.7745889630773001,9000,0.03927138123217091
0,lpips_0p1__conditioned,high,0.1,21.343306049982708,0.19109818654569488,0.00949106844155176,0.7987956405133009,6000,0.02860088709612125
0,lpips_0p1__conditioned,snr_1,0.1,16.774899679978688,0.2945562108370165,0.02596105758131792,0.7311952949737509,3000,0.05541667866501957
0,lpips_0p1__conditioned,snr_4,0.1,20.54945148817698,0.20689644420892,0.011271083380328492,0.7960840200781822,3000,0.031960727801220494
0,lpips_0p1__conditioned,snr_7,0.1,20.90521740468343,0.20004285869374872,0.010432451360897783,0.7964875741799673,3000,0.030436737230272657
0,lpips_0p1__conditioned,snr_13,0.1,21.280532943725586,0.1924965324414273,0.009617831096062825,0.7970647935569286,3000,0.028867484340205557
0,lpips_0p1__conditioned,snr_19,0.1,21.406079156239826,0.18969984064996243,0.009364305787040696,0.8005264874696731,3000,0.02833428985203694
0,lpips_0p1__unconditioned,mechanism,0.1,21.197276501549617,0.19407974392837948,0.009804862748000435,0.7980262850688563,9000,0.029212837140838388
0,lpips_0p1__unconditioned,primary,0.1,19.409856190946368,0.2338318379132284,0.015888197440848066,0.7745889630773001,9000,0.03927138123217091
0,lpips_0p1__unconditioned,high,0.1,21.343306049982708,0.19109818654569488,0.00949106844155176,0.7987956405133009,6000,0.02860088709612125
0,lpips_0p1__unconditioned,snr_1,0.1,16.774899679978688,0.2945562108370165,0.02596105758131792,0.7311952949737509,3000,0.05541667866501957
