region,arm,source_images,expected_not_deployed,psnr_db,lpips,dino,mse
mechanism,expected_mix_05,100,True,21.35029536037454,0.1361768710222126,0.9193192147445388,0.009662413073802749
mechanism,expected_mix_07,100,True,21.92041902263329,0.13722841292069388,0.8965767189618024,0.008920158693997043
mechanism,expected_mix_11,100,True,21.61871435817256,0.13667194575988395,0.9086118571490964,0.009312953491737174
mechanism,expected_mix_12,100,True,22.27817728295155,0.1378882659055041,0.8823055769883364,0.008454386698881404
mechanism,lpips_0p01__conditioned,100,False,22.0801890595754,0.1942055413685739,0.8125393704573314,0.008104562738185956
mechanism,lpips_0p01__unconditioned,100,False,21.716407681571116,0.18888082525175476,0.8169885718160205,0.008845561131537479
mechanism,lpips_0p03__conditioned,100,False,21.944570176866318,0.18145328443083492,0.8228041734960344,0.008327468828906098
mechanism,lpips_0p03__unconditioned,100,False,21.657013094160288,0.18377324094374978,0.818730608622233,0.00895514166532343
mechanism,lpips_0p1__conditioned,100,False,21.603679933547973,0.17495591839568483,0.8230392080545424,0.008944755766941752
mechanism,lpips_0p1__unconditioned,100,False,21.433288054996066,0.17976189119120436,0.8199460991885927,0.009375421959686919
mechanism,perceptual_deepjscc,100,False,26.235347843170167,0.1451869116537273,0.7244522186120352,0.0033024742728586915
mechanism,raw_adaptive,100,False,21.219047507180107,0.13642074298113585,0.923171968128946,0.009854194063777987
mechanism,raw_m7,100,False,18.10169948577881,0.23380434565246105,0.8499016469717026,0.019176631795329472
mechanism,raw_m8,100,False,19.691623792648315,0.17714132828637957,0.8897296416759491,0.013651503398386073
mechanism,raw_m9,100,False,21.219047507180107,0.13642074298113585,0.923171968128946,0.009854194063777987
high,arithmetic_adaptive,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
high,expected_mix_01,100,True,21.41342346122312,0.13585231496677952,0.9187068376906568,0.009587130420676337
high,expected_mix_03,100,True,22.118594439753814,0.13567235759888688,0.8972980105453136,0.008705474385703953
high,expected_mix_05,100,True,21.366644147796116,0.13586425289725657,0.9201270467826747,0.009645617319953894
high,expected_mix_07,100,True,21.986200924805193,0.1357061439985,0.9013174469132211,0.008871002385294728
high,expected_mix_11,100,True,21.658336670265516,0.1357898139027776,0.9112713295406687,0.009280922117483546
high,expected_mix_12,100,True,22.374978955580122,0.13560692909425295,0.8895142361853636,0.008384923820615849
high,lpips_0p01__conditioned,100,False,22.236193505922955,0.19008960955465834,0.8152090015014012,0.007832965483830775
high,lpips_0p01__unconditioned,100,False,21.889834971427916,0.1848724586796016,0.8194291312495866,0.008511569353189164
high,lpips_0p03__conditioned,100,False,22.096150541305548,0.17743208478825787,0.8252838020523389,0.008052720929069133
high,lpips_0p03__unconditioned,100,False,21.826971920331317,0.17975018459372216,0.8209909808635711,0.008623371948391044
high,lpips_0p1__conditioned,100,False,21.74521454811096,0.17148761557725567,0.8244967972238858,0.008663783525019729
high,lpips_0p1__unconditioned,100,False,21.592032564481105,0.17600077617603044,0.8206979430715243,0.009049203915249864
high,perceptual_deepjscc,100,False,26.67525975545248,0.13450951125162341,0.7589587097615005,0.0030084000629548363
high,raw_adaptive,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
high,raw_m7,100,False,18.10169948577881,0.23380434565246105,0.8499016469717026,0.019176631795329472
high,raw_m8,100,False,19.691623792648315,0.17714132828637957,0.8897296416759491,0.013651503398386073
high,raw_m9,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_1,arithmetic_adaptive,100,False,18.09179816881816,0.23448540014525257,0.8481807916363081,0.019318637064584518
snr_1,expected_mix_01,100,True,18.255390732540526,0.23499639641144557,0.8346965130950079,0.01890030978804585
snr_1,expected_mix_03,100,True,18.935201176482426,0.23711984622278812,0.7786624662360427,0.01716194683861874
snr_1,expected_mix_05,100,True,18.210293774786578,0.23485553195829084,0.838413674351503,0.019015628523128474
snr_1,expected_mix_07,100,True,18.807569017881992,0.2367211755558154,0.7891826728899116,0.01748831872308092
snr_1,expected_mix_11,100,True,18.49149596437133,0.23573389259800162,0.8152353063101572,0.0182965582704895
snr_1,expected_mix_12,100,True,19.1823651648344,0.2378918854421232,0.7582897305292235,0.01652991665489235
snr_1,lpips_0p01__conditioned,100,False,18.10495442708333,0.30566107209771876,0.6986779746164876,0.019318978325075783
snr_1,lpips_0p01__unconditioned,100,False,17.07617758433024,0.29539632218579454,0.7372136597335337,0.024791615422970308
snr_1,lpips_0p03__conditioned,100,False,18.010454330444336,0.29000876131157083,0.7117720016588769,0.019745578419727586
snr_1,lpips_0p03__unconditioned,100,False,17.062560583750408,0.2908482357487083,0.7375322557985783,0.02485956858222683
snr_1,lpips_0p1__conditioned,100,False,17.765211884180705,0.27923211754610144,0.7152837677796682,0.020888369816044965
snr_1,lpips_0p1__unconditioned,100,False,16.98933837890625,0.2848285718013843,0.7339485987027485,0.02522684535942972
snr_1,perceptual_deepjscc,100,False,23.327992095947266,0.2508411285777887,0.4165823387292524,0.005929014118876415
snr_1,raw_adaptive,100,False,18.019461431503295,0.23666967991739515,0.8486799637476604,0.0195045016038109
snr_1,raw_m7,100,False,18.019461431503295,0.23666967991739515,0.8486799637476604,0.0195045016038109
snr_1,raw_m8,100,False,16.577044331232706,0.290490526308616,0.7552857605119547,0.028264469897087682
snr_1,raw_m9,100,False,9.83264788309733,0.7064682183663051,0.030970302199323972,0.1113990077874019
snr_4,arithmetic_adaptive,100,False,19.691623792648315,0.17714132828637957,0.8897296416759491,0.013651503398386073
snr_4,expected_mix_01,100,True,19.840334970315467,0.17780832532348775,0.8794673207111816,0.013371307087277122
snr_4,expected_mix_03,100,True,20.458305673926414,0.18058003781204526,0.8368221489980441,0.012206948669561261
snr_4,expected_mix_05,100,True,19.79934030928566,0.17762445671405924,0.8822962968240019,0.013448547769355659
snr_4,expected_mix_07,100,True,20.34228372169464,0.1800596579751556,0.8448286387013689,0.012425553104903468
snr_4,expected_mix_11,100,True,20.054962617685334,0.17877096987464317,0.8646562094028423,0.012966913308689553
snr_4,expected_mix_12,100,True,20.682986105288272,0.18158777095198428,0.8213173111149195,0.01178361379296667
snr_4,lpips_0p01__conditioned,100,False,21.417152404785156,0.21157726299017668,0.8039187759160994,0.009326783265569247
snr_4,lpips_0p01__unconditioned,100,False,20.983048531214394,0.20543397838249802,0.809632159471512,0.01034875705993424
snr_4,lpips_0p03__conditioned,100,False,21.297069110870368,0.19881106122086442,0.8136852051814398,0.00956795881385915
snr_4,lpips_0p03__unconditioned,100,False,20.93726574261983,0.20063083869715526,0.8120931752522784,0.01045062005267634
snr_4,lpips_0p1__conditioned,100,False,20.99084398269654,0.1904072790654997,0.8169957154989242,0.010221352549269798
snr_4,lpips_0p1__unconditioned,100,False,20.75152207692464,0.19607305511832238,0.8157482089598974,0.010859495781284445
snr_4,perceptual_deepjscc,100,False,24.451501305898027,0.1984902561083436,0.5612580932676793,0.004683111503002737
snr_4,raw_adaptive,100,False,19.69081347465515,0.1771490621877213,0.8897491864363352,0.013652706155641793
snr_4,raw_m7,100,False,18.10169948577881,0.23380434565246105,0.8499016469717026,0.019176631795329472
snr_4,raw_m8,100,False,19.69081347465515,0.1771490621877213,0.8897491864363352,0.013652706155641793
snr_4,raw_m9,100,False,12.484179321924847,0.563830238878727,0.15705728359209994,0.06534603583610372
snr_7,arithmetic_adaptive,100,False,21.224103310902912,0.13611351401855548,0.9237760400772095,0.009830422869102746
snr_7,expected_mix_01,100,True,21.353179833811478,0.13706417151165567,0.915392487771899,0.009644847783003029
snr_7,expected_mix_03,100,True,21.889558544092356,0.14101463770471515,0.8805545569711118,0.008873688759661953
snr_7,expected_mix_05,100,True,21.31759778553138,0.1368021072721248,0.9177035506682675,0.009696004581500463
snr_7,expected_mix_07,100,True,21.7888552182895,0.1402729507650816,0.8870952630589645,0.009018471311401674
snr_7,expected_mix_11,100,True,21.539469733986653,0.13843620947409657,0.9032929123659517,0.009377016240244432
snr_7,expected_mix_12,100,True,22.084573937694405,0.1424509395280065,0.8678882585942824,0.008593312455412516
snr_7,lpips_0p01__conditioned,100,False,21.76818016688029,0.20243740499640506,0.8072001083691914,0.008647757246896313
snr_7,lpips_0p01__unconditioned,100,False,21.369553101857505,0.1968975583960613,0.8121074529488882,0.009513544688234106
snr_7,lpips_0p03__conditioned,100,False,21.641409447987876,0.18949568371598924,0.8178449163834255,0.008876964628580028
snr_7,lpips_0p03__unconditioned,100,False,21.31709544181824,0.19181935364380479,0.8142098641395569,0.009618681099188202
snr_7,lpips_0p1__conditioned,100,False,21.320610704422,0.1818925240325431,0.8201240297158559,0.009506700250785798
snr_7,lpips_0p1__unconditioned,100,False,21.115799036025997,0.18728412122155233,0.8184424114227294,0.010027858048561029
snr_7,perceptual_deepjscc,100,False,25.35552401860555,0.166541712457935,0.6554392363131046,0.0038906226926664015
snr_7,raw_adaptive,100,False,21.16968646685283,0.1374709875509143,0.9217984010775885,0.009963990207770241
snr_7,raw_m7,100,False,18.10169948577881,0.23380434565246105,0.8499016469717026,0.019176631795329472
snr_7,raw_m8,100,False,19.691623792648315,0.17714132828637957,0.8897296416759491,0.013651503398386073
snr_7,raw_m9,100,False,21.16968646685283,0.1374709875509143,0.9217984010775885,0.009963990207770241
snr_13,arithmetic_adaptive,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_13,expected_mix_01,100,True,21.40692538695522,0.13598160671494136,0.918275519230354,0.009590771471842167
snr_13,expected_mix_03,100,True,22.085093556480956,0.13633892242790288,0.8950743441487289,0.008724245859384937
snr_13,expected_mix_05,100,True,21.361937373658698,0.13595790326678775,0.9198146282890953,0.009648254655994358
snr_13,expected_mix_07,100,True,21.957769729461223,0.1362718375866011,0.8994302879035255,0.008886933172276417
snr_13,expected_mix_11,100,True,21.64246023981464,0.13610570617530912,0.9102175100158579,0.009289818121625566
snr_13,expected_mix_12,100,True,22.331660450307137,0.13646883449015998,0.8866389118620828,0.008409196380088649
snr_13,lpips_0p01__conditioned,100,False,22.16840489705404,0.19185181125377615,0.813467181523641,0.007945000113686547
snr_13,lpips_0p01__unconditioned,100,False,21.813502009709673,0.1867239173874259,0.8179857909679411,0.008649880587084529
snr_13,lpips_0p03__conditioned,100,False,22.029494816462197,0.1791266079557439,0.8237636458873748,0.008166962786926888
snr_13,lpips_0p03__unconditioned,100,False,21.75145727793376,0.1815441796928644,0.819604192574819,0.008761416292594125
snr_13,lpips_0p1__conditioned,100,False,21.683758052190147,0.17299894681200384,0.82307257771492,0.008779083633756575
snr_13,lpips_0p1__unconditioned,100,False,21.523141657511392,0.17761392744878923,0.8196286406119665,0.009181903482531195
snr_13,perceptual_deepjscc,100,False,26.467272446950282,0.13864782078812518,0.7451532711088658,0.003124941118178051
snr_13,raw_adaptive,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_13,raw_m7,100,False,18.10169948577881,0.23380434565246105,0.8499016469717026,0.019176631795329472
snr_13,raw_m8,100,False,19.691623792648315,0.17714132828637957,0.8897296416759491,0.013651503398386073
snr_13,raw_m9,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_19,arithmetic_adaptive,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_19,expected_mix_01,100,True,21.419921535491014,0.13572302321861765,0.9191381561509594,0.009583489369510508
snr_19,expected_mix_03,100,True,22.152095323026657,0.1350057927698709,0.899521676941898,0.008686702912022969
snr_19,expected_mix_05,100,True,21.37135092193354,0.13577060252772535,0.9204394652762542,0.00964297998391343
snr_19,expected_mix_07,100,True,22.014632120149162,0.1351404504103989,0.9032046059229168,0.008855071598313037
snr_19,expected_mix_11,100,True,21.674213100716393,0.13547392163024616,0.912325149065479,0.009272026113341525
snr_19,expected_mix_12,100,True,22.41829746085312,0.1347450236983459,0.8923895605086445,0.008360651261143054
