region,arm,reference,PSNR_minus_reference,LPIPS_minus_reference,DINO_minus_reference,mean_PSNR_LPIPS_covered,mean_three_metrics_covered,reference_is_expectation_not_deployment
primary,lpips_0p01__conditioned,expected_mix_11,0.4014528942351553,0.055578222712519706,-0.09112918972572412,False,False,True
primary,lpips_0p01__conditioned,expected_mix_12,-0.2198794030227692,0.052581714720728846,-0.04589948044554885,True,True,True
primary,lpips_0p03__unconditioned,raw_adaptive,0.14565346505906857,0.044002899477879207,-0.09879741869039008,False,False,False
primary,lpips_0p03__unconditioned,arithmetic_adaptive,0.1031321652730305,0.0451860618798269,-0.09928372606635094,False,False,False
primary,lpips_0p03__unconditioned,perceptual_deepjscc,-4.606031884087456,0.02247511031520036,0.24351854229345918,True,False,False
primary,lpips_0p03__unconditioned,expected_mix_01,-0.04399458949299749,0.044476511614359795,-0.08857367546255833,True,True,True
primary,lpips_0p03__unconditioned,expected_mix_03,-0.6553812087709054,0.04152796878337327,-0.044067959004928214,True,True,True
primary,lpips_0p03__unconditioned,expected_mix_05,-0.0034367004717147332,0.0446721107150645,-0.0915260755511194,True,True,True
primary,lpips_0p03__unconditioned,expected_mix_07,-0.5405953965592203,0.04208154793120523,-0.05242375981994395,True,True,True
primary,lpips_0p03__unconditioned,expected_mix_11,-0.2563355159516124,0.043452452047642344,-0.0731163776295125,True,True,True
primary,lpips_0p03__unconditioned,expected_mix_12,-0.8776678132095368,0.040455944055851484,-0.027886668349337222,True,True,True
primary,lpips_0p03__conditioned,raw_adaptive,0.6896571720971005,0.04234192553079791,-0.10564180934594739,False,False,False
primary,lpips_0p03__conditioned,arithmetic_adaptive,0.6471358723110625,0.04352508793274563,-0.10612811672190822,False,False,False
primary,lpips_0p03__conditioned,perceptual_deepjscc,-4.062028177049425,0.02081413636811906,0.2366741516379019,True,False,False
primary,lpips_0p03__conditioned,expected_mix_01,0.5000091175450345,0.0428155376672785,-0.09541806611811561,False,False,True
primary,lpips_0p03__conditioned,expected_mix_03,-0.11137750173287354,0.03986699483629196,-0.05091234966048555,True,True,True
primary,lpips_0p03__conditioned,expected_mix_05,0.5405670065663172,0.043011136767983224,-0.09837046620667671,False,False,True
primary,lpips_0p03__conditioned,expected_mix_07,0.0034083104788116534,0.040420573984123936,-0.05926815047550125,False,False,True
primary,lpips_0p03__conditioned,expected_mix_11,0.28766819108641944,0.04179147810056103,-0.0799607682850698,False,False,True
primary,lpips_0p03__conditioned,expected_mix_12,-0.33366410617150494,0.03879497010877018,-0.03473105900489453,True,True,True
primary,lpips_0p1__unconditioned,raw_adaptive,-0.007767293718125963,0.03896533949507607,-0.09736277739206951,True,True,False
primary,lpips_0p1__unconditioned,arithmetic_adaptive,-0.05028859350416402,0.040148501897023785,-0.09784908476803036,True,True,False
primary,lpips_0p1__unconditioned,perceptual_deepjscc,-4.759452642864651,0.01743755033239722,0.24495318359177976,True,False,False
primary,lpips_0p1__unconditioned,expected_mix_01,-0.19741534827019203,0.03943895163155666,-0.08713903416423774,True,True,True
primary,lpips_0p1__unconditioned,expected_mix_03,-0.8088019675481,0.03649040880057013,-0.04263331770660768,True,True,True
primary,lpips_0p1__unconditioned,expected_mix_05,-0.15685745924890926,0.03963455073226138,-0.09009143425279882,True,True,True
primary,lpips_0p1__unconditioned,expected_mix_07,-0.6940161553364146,0.03704398794840211,-0.05098911852162338,True,True,True
primary,lpips_0p1__unconditioned,expected_mix_11,-0.40975627472880694,0.0384148920648392,-0.07168173633119193,True,True,True
primary,lpips_0p1__unconditioned,expected_mix_12,-1.0310885719867315,0.03541838407304834,-0.026452027051016663,True,True,True
primary,lpips_0p1__conditioned,raw_adaptive,0.3989017327626547,0.0334140636627045,-0.10260801275571188,False,False,False
primary,lpips_0p1__conditioned,arithmetic_adaptive,0.35638043297661653,0.0345972260646522,-0.10309432013167275,False,False,False
primary,lpips_0p1__conditioned,perceptual_deepjscc,-4.352783616383871,0.011886274500025646,0.2397079482281374,True,False,False
