region,arm,control,metric,difference,ci_low,ci_high,source_images,involves_expected_reference
snr_13,lpips_0p03__unconditioned,raw_m9,lpips,0.045648558996617794,0.041551408648801344,0.049908979234285646,100,False
snr_13,lpips_0p03__unconditioned,raw_m9,dino,-0.10425455907980602,-0.11725279280046624,-0.09163013651967052,100,False
snr_13,lpips_0p03__unconditioned,raw_m9,mse,-0.0010378796991877318,-0.001313262279655006,-0.0007868871741853053,100,False
snr_13,lpips_0p1__conditioned,arithmetic_adaptive,psnr_db,0.4400300248463948,0.3147854402065277,0.5703802134195959,100,False
snr_13,lpips_0p1__conditioned,arithmetic_adaptive,lpips,0.03710332611575722,0.033588773618141804,0.04070240278821439,100,False
snr_13,lpips_0p1__conditioned,arithmetic_adaptive,dino,-0.10078617393970489,-0.11295210873087248,-0.08897578239440919,100,False
snr_13,lpips_0p1__conditioned,arithmetic_adaptive,mse,-0.0010202123580252812,-0.0013151681487958478,-0.0007498008568397512,100,False
snr_13,lpips_0p1__conditioned,expected_mix_11,psnr_db,0.04129781237550482,-0.07672777839320293,0.16456350588898722,100,True
snr_13,lpips_0p1__conditioned,expected_mix_11,lpips,0.036893240636694725,0.03338231489660535,0.04055482181258447,100,True
snr_13,lpips_0p1__conditioned,expected_mix_11,dino,-0.08714493230093813,-0.09891031149675747,-0.07549728029939759,100,True
snr_13,lpips_0p1__conditioned,expected_mix_11,mse,-0.0005107344878689897,-0.0007551769103438812,-0.000285315015773034,100,True
snr_13,lpips_0p1__conditioned,expected_mix_12,psnr_db,-0.6479023981169894,-0.7584907874292526,-0.5355762753529316,100,True
snr_13,lpips_0p1__conditioned,expected_mix_12,lpips,0.03653011232184389,0.032713054295137746,0.04044104340737749,100,True
snr_13,lpips_0p1__conditioned,expected_mix_12,dino,-0.06356633414716256,-0.0753057394574266,-0.051784606689355445,100,True
snr_13,lpips_0p1__conditioned,expected_mix_12,mse,0.0003698872536679267,0.00018145949721646188,0.0005581008406629957,100,True
snr_13,lpips_0p1__conditioned,lpips_0p01__unconditioned,psnr_db,-0.12974395751953113,-0.1623014361063638,-0.09772101004918395,100,False
snr_13,lpips_0p1__conditioned,lpips_0p01__unconditioned,lpips,-0.013724970575422048,-0.01578214233756686,-0.011658918277515718,100,False
snr_13,lpips_0p1__conditioned,lpips_0p01__unconditioned,dino,0.005086786746978759,-0.0004963778406381566,0.010822868337233862,100,False
snr_13,lpips_0p1__conditioned,lpips_0p01__unconditioned,mse,0.0001292030466720461,8.070383044347778e-05,0.00017798860286711703,100,False
snr_13,lpips_0p1__conditioned,lpips_0p03__unconditioned,psnr_db,-0.0676992257436116,-0.10020227575302124,-0.035792402585347265,100,False
snr_13,lpips_0p1__conditioned,lpips_0p03__unconditioned,lpips,-0.008545232880860567,-0.010126985335256904,-0.00695286656434958,100,False
snr_13,lpips_0p1__conditioned,lpips_0p03__unconditioned,dino,0.0034683851401011213,-0.0018634835829337334,0.008981259321173034,100,False
snr_13,lpips_0p1__conditioned,lpips_0p03__unconditioned,mse,1.7667341162450543e-05,-3.5731121039134594e-05,6.977436010007888e-05,100,False
snr_13,lpips_0p1__conditioned,lpips_0p1__unconditioned,psnr_db,0.16061639467875166,0.13125883833567317,0.1898998689651488,100,False
snr_13,lpips_0p1__conditioned,lpips_0p1__unconditioned,lpips,-0.00461498063678543,-0.005848212872010969,-0.003415389166368794,100,False
snr_13,lpips_0p1__conditioned,lpips_0p1__unconditioned,dino,0.003443937102953598,-0.0016817240417003468,0.008387891287604978,100,False
snr_13,lpips_0p1__conditioned,lpips_0p1__unconditioned,mse,-0.0004028198487746219,-0.0004930015772309465,-0.0003188026473508216,100,False
