arm,image_id,snr_db,seed,psnr_db,lpips,dino,mse,p_deep,digital,actual_deployment,complex_uses_each_selected_frame,energy_each_selected_frame
expected_mix_01,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2001,14.690973920214226,0.2299351748552297,0.8607853429908701,0.03438607677110799,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2002,14.688935265446787,0.22956526048287124,0.861710412908324,0.034391792066938674,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2003,14.689538501312759,0.2299609366259803,0.8663277177616309,0.03439009196224586,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2001,15.83770421865733,0.19787910562250774,0.8952275947420157,0.02636263654592149,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2002,15.836520331771103,0.19764643310801114,0.8942544836100307,0.026365392261089013,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2003,15.836762150514964,0.19792231627224724,0.8968423460336111,0.026364827427622174,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2001,15.868881436153922,0.19653525702269853,0.8997607464638915,0.026298082254789627,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2002,15.868271824091401,0.19639255005303163,0.8984102460609074,0.026299207551442598,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2003,15.86842145614311,0.196684791308544,0.8990679142356146,0.026298930873903587,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2001,15.880270455411107,0.1961881160445103,0.9005543706425714,0.0262779624115071,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2002,15.879894081042888,0.19605718706816094,0.9001553462513916,0.02627860068466779,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2003,15.880053783909707,0.19624410795155403,0.9002640358214096,0.026278329636861126,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2001,15.847160547337506,0.29694602692849176,0.8365179762875035,0.026294118923006097,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2002,15.848873241402893,0.2971936557579936,0.8396720552998266,0.0262900978133507,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2003,15.849180311877788,0.29690605279440674,0.8386143152425383,0.026289382215528793,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2001,16.848234364720163,0.23060916586977304,0.8292366517136309,0.020857230407197856,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2002,16.848996647956113,0.23082264042741618,0.8315849924256048,0.02085571736949874,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2003,16.849676457771288,0.2306360133071672,0.826631255680646,0.02085437518319695,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2001,18.03549542406685,0.18123763895326436,0.9102894869453076,0.015828225444583514,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2002,18.035830204180947,0.18129751216511417,0.9129334939769006,0.015827642132509347,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2003,18.03629209109166,0.18120384082848212,0.9059109998893857,0.0158268397118521,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2001,18.05601754040616,0.18051415991989242,0.9120895119982614,0.015795000070026377,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2002,18.056005205147414,0.18057503080910808,0.9158595424910665,0.015795018569473795,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2003,18.056189995666074,0.18048018581655473,0.9111587828339294,0.01579474161128083,0.031242647999491068,arithmetic_adaptive,False,3060,6120
expected_mix_01,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2001,18.062965389790858,0.18028381795737605,0.9136478458685282,0.015784842977291453,0.031242647999491068,arithmetic_adaptive,False,3060,6120
