source_index,image_id,snr_db,noise_seed,method,tx_ms,rx_ms,total_ms,header_ok,tx_extra
0,n01440764/ILSVRC2012_val_00003014_n01440764,19,2001,raw_N3060_m9_Dc,55.775741988327354,71.17636705515906,126.95210904348642,1,raw
0,n01440764/ILSVRC2012_val_00003014_n01440764,19,2001,arithmetic_N3060_m9_Dc,118.04153997218236,140.27331303805113,258.3148530102335,1,arithmetic
0,n01440764/ILSVRC2012_val_00003014_n01440764,19,2001,raw_N3572_m8_Dc,56.042096053715795,70.69336203858256,126.73545809229836,1,raw
0,n01440764/ILSVRC2012_val_00003014_n01440764,19,2001,arithmetic_N3572_m8_Dc,117.52412101486698,132.70555104827508,250.22967206314206,1,arithmetic
0,n01440764/ILSVRC2012_val_00003014_n01440764,19,2001,raw_N4084_m8_Dc,55.81456096842885,70.58044901350513,126.39500998193398,1,raw
0,n01440764/ILSVRC2012_val_00003014_n01440764,19,2001,arithmetic_N4084_m8_Dc,117.07153299357742,131.74219895154238,248.8137319451198,1,arithmetic
11,n01943899/ILSVRC2012_val_00005706_n01943899,1,2001,m8_D0,55.80834799911827,60.004885017406195,115.81323301652446,1,base
11,n01943899/ILSVRC2012_val_00005706_n01943899,1,2001,m8_Dc_only,55.702716985251755,59.63479296769947,115.33750995295122,1,base
11,n01943899/ILSVRC2012_val_00005706_n01943899,1,2001,m8_receiver_only_refiner,55.714774993248284,59.948453039396554,115.66322803264484,1,base
11,n01943899/ILSVRC2012_val_00005706_n01943899,1,2001,m8_plus_latent_512,55.56180496932939,60.365079960320145,115.92688492964953,1,enhancement512
11,n01943899/ILSVRC2012_val_00005706_n01943899,1,2001,m8_plus_latent_1024,55.612474970985204,60.27592904865742,115.88840401964262,1,enhancement1024
11,n01943899/ILSVRC2012_val_00005706_n01943899,1,2001,raw_N3060_m8_Dc,55.332282034214586,70.12648304225877,125.45876507647336,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,1,2001,arithmetic_N3060_m8_Dc,120.49357901560143,131.95805804571137,252.4516370613128,1,arithmetic
11,n01943899/ILSVRC2012_val_00005706_n01943899,1,2001,raw_N3060_m9_Dc,55.96958799287677,71.54335698578507,127.51294497866184,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,1,2001,arithmetic_N3060_m9_Dc,118.68140700971708,140.2100159903057,258.89142300002277,1,arithmetic
11,n01943899/ILSVRC2012_val_00005706_n01943899,1,2001,raw_N3572_m8_Dc,55.69443997228518,70.82313200226054,126.51757197454572,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,1,2001,arithmetic_N3572_m8_Dc,117.61313601164147,130.80284598981962,248.4159820014611,1,arithmetic
11,n01943899/ILSVRC2012_val_00005706_n01943899,1,2001,raw_N4084_m8_Dc,55.399812990799546,70.69099100772291,126.09080399852246,1,raw
11,n01943899/ILSVRC2012_val_00005706_n01943899,1,2001,arithmetic_N4084_m8_Dc,117.61932104127482,134.743170987349,252.36249202862382,1,arithmetic
11,n01943899/ILSVRC2012_val_00005706_n01943899,4,2001,m8_D0,55.93494605273008,59.874534024856985,115.80948007758707,1,base
11,n01943899/ILSVRC2012_val_00005706_n01943899,4,2001,m8_Dc_only,56.24136800179258,59.97173400828615,116.21310201007873,1,base
11,n01943899/ILSVRC2012_val_00005706_n01943899,4,2001,m8_receiver_only_refiner,55.40679401019588,59.91407000692561,115.3208640171215,1,base
11,n01943899/ILSVRC2012_val_00005706_n01943899,4,2001,m8_plus_latent_512,55.41305203223601,60.17521600006148,115.58826803229749,1,enhancement512
11,n01943899/ILSVRC2012_val_00005706_n01943899,4,2001,m8_plus_latent_1024,55.41965604061261,60.14155695447698,115.56121299508959,1,enhancement1024
