method,source_index,snr_db,psnr_db,lpips_alex,dino_cosine
m8_Dc_only,0,4,14.479000091552734,0.19207078218460083,0.6649432182312012
m8_Dc_only,0,7,14.479000091552734,0.19207078218460083,0.6649432182312012
m8_Dc_only,0,13,14.479000091552734,0.19207078218460083,0.6649432182312012
m8_Dc_only,0,19,14.479000091552734,0.19207078218460083,0.6649432182312012
m8_plus_latent_1024,0,1,14.836384455362955,0.2157135307788849,0.5925293763478597
m8_plus_latent_1024,0,4,16.056665738423664,0.15427139898141226,0.6577514410018921
m8_plus_latent_1024,0,7,16.341025670369465,0.145930215716362,0.7366849978764852
m8_plus_latent_1024,0,13,16.688568751017254,0.135296031832695,0.8215416669845581
m8_plus_latent_1024,0,19,16.778322219848633,0.1314499775568644,0.8373565872510275
m8_plus_latent_512,0,1,14.374380747477213,0.23806520799795786,0.5183792809645335
m8_plus_latent_512,0,4,15.474860191345215,0.16595896085103354,0.6853923002878824
m8_plus_latent_512,0,7,15.635115623474121,0.16123596827189127,0.6757905681927999
m8_plus_latent_512,0,13,15.795377413431803,0.1572099228700002,0.6725131273269653
m8_plus_latent_512,0,19,15.843839645385742,0.15663336714108786,0.6710422237714132
m8_receiver_only_refiner,0,1,13.427929878234863,0.27594873309135437,0.4841300845146179
m8_receiver_only_refiner,0,4,14.65757942199707,0.19303108751773834,0.6764140129089355
m8_receiver_only_refiner,0,7,14.65665054321289,0.19295743107795715,0.6768671274185181
m8_receiver_only_refiner,0,13,14.65549087524414,0.19285255670547485,0.6777237057685852
m8_receiver_only_refiner,0,19,14.65511417388916,0.19278727968533835,0.6785420179367065
raw_N3060_m7_D0,0,1,12.33504867553711,0.2813071608543396,0.6454495787620544
raw_N3060_m7_D0,0,4,12.33504867553711,0.2813071608543396,0.6454495787620544
raw_N3060_m7_D0,0,7,12.33504867553711,0.2813071608543396,0.6454495787620544
raw_N3060_m7_D0,0,13,12.33504867553711,0.2813071608543396,0.6454495787620544
raw_N3060_m7_D0,0,19,12.33504867553711,0.2813071608543396,0.6454495787620544
raw_N3060_m7_Dc,0,1,13.200809478759766,0.2589964270591736,0.6476048231124878
raw_N3060_m7_Dc,0,4,13.200809478759766,0.2589964270591736,0.6476048231124878
raw_N3060_m7_Dc,0,7,13.200809478759766,0.2589964270591736,0.6476048231124878
raw_N3060_m7_Dc,0,13,13.200809478759766,0.2589964270591736,0.6476048231124878
raw_N3060_m7_Dc,0,19,13.200809478759766,0.2589964270591736,0.6476048231124878
raw_N3060_m8_D0,0,1,11.820622762044271,0.299305001894633,0.5614943106969198
raw_N3060_m8_D0,0,4,13.516948699951172,0.20085062583287558,0.7360659837722778
raw_N3060_m8_D0,0,7,13.516948699951172,0.20085062086582184,0.7360659837722778
raw_N3060_m8_D0,0,13,13.516948699951172,0.20085062583287558,0.7360659837722778
raw_N3060_m8_D0,0,19,13.516948699951172,0.20085062583287558,0.7360659837722778
raw_N3060_m8_Dc,0,1,12.693090438842773,0.2802586555480957,0.5359020233154297
raw_N3060_m8_Dc,0,4,14.479000091552734,0.19207078218460083,0.6649432182312012
raw_N3060_m8_Dc,0,7,14.479000091552734,0.19207078218460083,0.6649432182312012
raw_N3060_m8_Dc,0,13,14.479000091552734,0.19207078218460083,0.6649432182312012
raw_N3060_m8_Dc,0,19,14.479000091552734,0.19207078218460083,0.6649432182312012
raw_N3060_m9_D0,0,1,7.499134381612142,0.6736470460891724,0.04776278821130594
raw_N3060_m9_D0,0,4,8.956841150919596,0.5702978372573853,0.17405863106250763
raw_N3060_m9_D0,0,7,14.721551895141602,0.15504887700080872,0.8715872565905253
raw_N3060_m9_D0,0,13,14.76740837097168,0.15156676868597665,0.8782002925872803
raw_N3060_m9_D0,0,19,14.76740837097168,0.15156676868597665,0.8782002925872803
raw_N3060_m9_Dc,0,1,7.566592852274577,0.6659096479415894,0.05230921941498915
raw_N3060_m9_Dc,0,4,9.070030530293783,0.564939280351003,0.15072324872016907
raw_N3060_m9_Dc,0,7,15.665173848470053,0.1509342441956202,0.7992250919342041
raw_N3060_m9_Dc,0,13,15.693902969360352,0.14851780235767365,0.7976691722869873
raw_N3060_m9_Dc,0,19,15.693902969360352,0.14851780235767365,0.7976691722869873
raw_N3572_m7_D0,0,1,12.33504867553711,0.2813071608543396,0.6454495787620544
raw_N3572_m7_D0,0,4,12.33504867553711,0.2813071608543396,0.6454495787620544
raw_N3572_m7_D0,0,7,12.33504867553711,0.2813071608543396,0.6454495787620544
raw_N3572_m7_D0,0,13,12.33504867553711,0.2813071608543396,0.6454495787620544
raw_N3572_m7_D0,0,19,12.33504867553711,0.2813071608543396,0.6454495787620544
raw_N3572_m7_Dc,0,1,13.200809478759766,0.2589964270591736,0.6476048231124878
raw_N3572_m7_Dc,0,4,13.200809478759766,0.2589964270591736,0.6476048231124878
raw_N3572_m7_Dc,0,7,13.200809478759766,0.2589964270591736,0.6476048231124878
raw_N3572_m7_Dc,0,13,13.200809478759766,0.2589964270591736,0.6476048231124878
raw_N3572_m7_Dc,0,19,13.200809478759766,0.2589964270591736,0.6476048231124878
raw_N3572_m8_D0,0,1,13.186758359273275,0.2217222054799398,0.6678748528162638
raw_N3572_m8_D0,0,4,13.487075805664062,0.19876138865947723,0.7432219783465067
raw_N3572_m8_D0,0,7,13.516948699951172,0.20085062583287558,0.7360659837722778
raw_N3572_m8_D0,0,13,13.516948699951172,0.20085062583287558,0.7360659837722778
