method,snr_db,sources,psnr_db,lpips_alex,dino_cosine
arithmetic_N3572_m7_Dc,13,100,18.75315245628357,0.21840494533379878,0.8414670485258102
arithmetic_N3572_m7_Dc,19,100,18.75315245628357,0.21840494552006326,0.8414670485258102
arithmetic_N3572_m8_D0,1,100,17.12160320440928,0.3003903225623071,0.7562935931235547
arithmetic_N3572_m8_D0,4,100,19.69162389755249,0.1771413285347322,0.8897296357154846
arithmetic_N3572_m8_D0,7,100,19.69162389755249,0.1771413284105559,0.8897296357154846
arithmetic_N3572_m8_D0,13,100,19.69162389755249,0.1771413292052845,0.8897296357154846
arithmetic_N3572_m8_D0,19,100,19.69162389755249,0.17714132900660232,0.8897296357154846
arithmetic_N3572_m8_Dc,1,100,17.71482175350189,0.28695671337346224,0.7407385631153978
arithmetic_N3572_m8_Dc,4,100,20.39431778907776,0.16471791399642832,0.8752845221757889
arithmetic_N3572_m8_Dc,7,100,20.39431778907776,0.16471791420131926,0.8752845221757889
arithmetic_N3572_m8_Dc,13,100,20.39431778907776,0.1647179140833517,0.8752845221757889
arithmetic_N3572_m8_Dc,19,100,20.39431778907776,0.16471791396538418,0.8752845221757889
arithmetic_N3572_m9_D0,1,100,12.08854254722595,0.5785853409518799,0.41263608698422716
arithmetic_N3572_m9_D0,4,100,20.26645830790202,0.17371624308327835,0.8836947447558245
arithmetic_N3572_m9_D0,7,100,21.24372802734375,0.1358956212674578,0.923858757019043
arithmetic_N3572_m9_D0,13,100,21.24372802734375,0.1358956212177873,0.923858757019043
arithmetic_N3572_m9_D0,19,100,21.24372802734375,0.13589562155306337,0.923858757019043
arithmetic_N3572_m9_Dc,1,100,12.341877272923785,0.5694637314354378,0.3933355121345569
arithmetic_N3572_m9_Dc,4,100,20.929526144663487,0.16316770085444052,0.8626969824731348
arithmetic_N3572_m9_Dc,7,100,21.945782623291016,0.12581100756923358,0.9026284807920456
arithmetic_N3572_m9_Dc,13,100,21.945782623291016,0.12581100753198068,0.9026284807920456
arithmetic_N3572_m9_Dc,19,100,21.945782623291016,0.12581100790450972,0.9026284807920456
arithmetic_N4084_m7_D0,1,100,18.101699466705323,0.2338043455779553,0.8499016338586807
arithmetic_N4084_m7_D0,4,100,18.101699466705323,0.23380434540410844,0.8499016338586807
arithmetic_N4084_m7_D0,7,100,18.101699466705323,0.23380434545377896,0.8499016338586807
arithmetic_N4084_m7_D0,13,100,18.101699466705323,0.23380434520542615,0.8499016338586807
arithmetic_N4084_m7_D0,19,100,18.101699466705323,0.2338043455779553,0.8499016338586807
arithmetic_N4084_m7_Dc,1,100,18.75315245628357,0.21840494535863403,0.8414670485258102
arithmetic_N4084_m7_Dc,4,100,18.75315245628357,0.21840494533379878,0.8414670485258102
arithmetic_N4084_m7_Dc,7,100,18.75315245628357,0.21840494552006326,0.8414670485258102
arithmetic_N4084_m7_Dc,13,100,18.75315245628357,0.21840494496126972,0.8414670485258102
arithmetic_N4084_m7_Dc,19,100,18.75315245628357,0.21840494535863403,0.8414670485258102
arithmetic_N4084_m8_D0,1,100,18.887222325007123,0.21529083426420884,0.8496724767982958
arithmetic_N4084_m8_D0,4,100,19.69162389755249,0.1771413292052845,0.8897296357154846
arithmetic_N4084_m8_D0,7,100,19.69162389755249,0.17714132900660232,0.8897296357154846
arithmetic_N4084_m8_D0,13,100,19.69162389755249,0.1771413285347322,0.8897296357154846
arithmetic_N4084_m8_D0,19,100,19.69162389755249,0.1771413284105559,0.8897296357154846
arithmetic_N4084_m8_Dc,1,100,19.552547121047972,0.20257204069445528,0.8354725535710652
arithmetic_N4084_m8_Dc,4,100,20.39431778907776,0.1647179140833517,0.8752845221757889
arithmetic_N4084_m8_Dc,7,100,20.39431778907776,0.16471791396538418,0.8752845221757889
arithmetic_N4084_m8_Dc,13,100,20.39431778907776,0.16471791399642832,0.8752845221757889
arithmetic_N4084_m8_Dc,19,100,20.39431778907776,0.16471791420131926,0.8752845221757889
arithmetic_N4084_m9_D0,1,100,13.344988867441812,0.5002842109774549,0.49930602318917733
arithmetic_N4084_m9_D0,4,100,21.122404775619508,0.14073842862000072,0.9174794925749302
arithmetic_N4084_m9_D0,7,100,21.24372802734375,0.13589562155306337,0.923858757019043
arithmetic_N4084_m9_D0,13,100,21.24372802734375,0.13589562157789867,0.923858757019043
arithmetic_N4084_m9_D0,19,100,21.24372802734375,0.1358956212674578,0.923858757019043
arithmetic_N4084_m9_Dc,1,100,13.659841341972351,0.4897746775920193,0.47589444676724585
arithmetic_N4084_m9_Dc,4,100,21.820675452550248,0.1306024016812444,0.895690193672975
arithmetic_N4084_m9_Dc,7,100,21.9457825978597,0.12581100785483917,0.90262848118941
arithmetic_N4084_m9_Dc,13,100,21.94578254699707,0.1258110073581338,0.9026284819841385
arithmetic_N4084_m9_Dc,19,100,21.94578254699707,0.1258110075195631,0.9026284819841385
m8_D0,1,100,16.577044375737508,0.29049052685499194,0.7552857615550359
m8_D0,4,100,19.690813579559325,0.1771490623118977,0.8897491802771885
m8_D0,7,100,19.69162389755249,0.1771413292052845,0.8897296357154846
m8_D0,13,100,19.69162389755249,0.17714132900660232,0.8897296357154846
m8_D0,19,100,19.69162389755249,0.1771413285347322,0.8897296357154846
m8_Dc_only,1,100,17.0607791741689,0.27872260317206377,0.7300181963543095
m8_Dc_only,4,100,20.39378179868062,0.16474766151358686,0.8752891019980111
m8_Dc_only,7,100,20.39431778907776,0.1647179140833517,0.8752845221757889
m8_Dc_only,13,100,20.39431778907776,0.16471791396538418,0.8752845221757889
m8_Dc_only,19,100,20.39431778907776,0.16471791399642832,0.8752845221757889
m8_plus_latent_1024,1,100,19.892172978719074,0.2056622482215365,0.7780006029705206
m8_plus_latent_1024,4,100,22.17656099001566,0.12837085222204522,0.889260279536247
m8_plus_latent_1024,7,100,22.503994038899744,0.12122734614958362,0.8962705131371811
m8_plus_latent_1024,13,100,22.835024305979406,0.11397453426072995,0.9032930934429166
m8_plus_latent_1024,19,100,22.92912050882975,0.11188834740469852,0.9052349627017978
m8_plus_latent_512,1,100,19.291010077794393,0.23225078261146945,0.7456613374253115
m8_plus_latent_512,4,100,21.57543491681417,0.14538231618702407,0.8752745262781778
m8_plus_latent_512,7,100,21.783482433954863,0.14076608348637823,0.8791478329896927
m8_plus_latent_512,13,100,22.00594253222148,0.13592119392007596,0.8828785785039267
m8_plus_latent_512,19,100,22.083879203796393,0.13438381403684616,0.8837925748030344
m8_receiver_only_refiner,1,100,17.435062932968155,0.2742673123379547,0.7041133172561724
m8_receiver_only_refiner,4,100,20.541024936040245,0.16632497126857437,0.8574764031171799
m8_receiver_only_refiner,7,100,20.541395788192748,0.1662829415003458,0.8576480448246002
m8_receiver_only_refiner,13,100,20.541662397384645,0.16625585104649268,0.8577880483865737
m8_receiver_only_refiner,19,100,20.542293968200685,0.16624049608906105,0.8578952449560165
raw_N3060_m7_D0,1,100,18.019461428324384,0.23666967960695423,0.8486799504359561
raw_N3060_m7_D0,4,100,18.101699466705323,0.23380434520542615,0.8499016338586807
raw_N3060_m7_D0,7,100,18.101699466705323,0.2338043455779553,0.8499016338586807
raw_N3060_m7_D0,13,100,18.101699466705323,0.23380434540410844,0.8499016338586807
raw_N3060_m7_D0,19,100,18.101699466705323,0.23380434545377896,0.8499016338586807
raw_N3060_m7_Dc,1,100,18.665731531778974,0.22125090849896276,0.8395906611283621
raw_N3060_m7_Dc,4,100,18.75315245628357,0.21840494496126972,0.8414670485258102
raw_N3060_m7_Dc,7,100,18.75315245628357,0.21840494535863403,0.8414670485258102
raw_N3060_m7_Dc,13,100,18.75315245628357,0.21840494533379878,0.8414670485258102
raw_N3060_m7_Dc,19,100,18.75315245628357,0.21840494552006326,0.8414670485258102
raw_N3060_m8_D0,1,100,16.577044375737508,0.2904905263582865,0.7552857615550359
raw_N3060_m8_D0,4,100,19.690813579559325,0.17714906238640343,0.8897491802771885
raw_N3060_m8_D0,7,100,19.69162389755249,0.1771413284105559,0.8897296357154846
raw_N3060_m8_D0,13,100,19.69162389755249,0.1771413292052845,0.8897296357154846
raw_N3060_m8_D0,19,100,19.69162389755249,0.17714132900660232,0.8897296357154846
raw_N3060_m8_Dc,1,100,17.0607791741689,0.2787226028864581,0.7300181963543095
raw_N3060_m8_Dc,4,100,20.39378179868062,0.1647476613583665,0.8752891019980111
raw_N3060_m8_Dc,7,100,20.39431778907776,0.16471791420131926,0.8752845221757889
raw_N3060_m8_Dc,13,100,20.39431778907776,0.1647179140833517,0.8752845221757889
raw_N3060_m8_Dc,19,100,20.39431778907776,0.16471791396538418,0.8752845221757889
raw_N3060_m9_D0,1,100,9.832647908528648,0.7064682153860727,0.030970307236226895
raw_N3060_m9_D0,4,100,12.48417933464051,0.5638302369912467,0.1570572890775899
raw_N3060_m9_D0,7,100,21.169686492284146,0.1374709874391556,0.9217984094222388
raw_N3060_m9_D0,13,100,21.24372802734375,0.1358956212177873,0.923858757019043
raw_N3060_m9_D0,19,100,21.24372802734375,0.13589562155306337,0.923858757019043
raw_N3060_m9_Dc,1,100,9.860505073865253,0.7005268214146295,0.029267816995270545
raw_N3060_m9_Dc,4,100,12.592199950218198,0.5558530043562252,0.13585638708279782
raw_N3060_m9_Dc,7,100,21.868029104868572,0.1273305927403271,0.9013544718424478
raw_N3060_m9_Dc,13,100,21.945782623291016,0.12581100753198068,0.9026284807920456
raw_N3060_m9_Dc,19,100,21.945782623291016,0.12581100790450972,0.9026284807920456
raw_N3572_m7_D0,1,100,18.089466826121015,0.2341579357286295,0.8489632254838944
raw_N3572_m7_D0,4,100,18.101699466705323,0.23380434540410844,0.8499016338586807
raw_N3572_m7_D0,7,100,18.101699466705323,0.23380434545377896,0.8499016338586807
raw_N3572_m7_D0,13,100,18.101699466705323,0.23380434520542615,0.8499016338586807
raw_N3572_m7_D0,19,100,18.101699466705323,0.2338043455779553,0.8499016338586807
raw_N3572_m7_Dc,1,100,18.739358355204264,0.2188306635866563,0.8403356883923213
raw_N3572_m7_Dc,4,100,18.75315245628357,0.21840494533379878,0.8414670485258102
raw_N3572_m7_Dc,7,100,18.75315245628357,0.21840494552006326,0.8414670485258102
raw_N3572_m7_Dc,13,100,18.75315245628357,0.21840494496126972,0.8414670485258102
raw_N3572_m7_Dc,19,100,18.75315245628357,0.21840494535863403,0.8414670485258102
raw_N3572_m8_D0,1,100,18.576837641398114,0.2130342762855192,0.8557334116101266
raw_N3572_m8_D0,4,100,19.691425526936847,0.17709882662321128,0.8898196260134378
raw_N3572_m8_D0,7,100,19.69162389755249,0.17714132900660232,0.8897296357154846
raw_N3572_m8_D0,13,100,19.69162389755249,0.1771413285347322,0.8897296357154846
raw_N3572_m8_D0,19,100,19.69162389755249,0.1771413284105559,0.8897296357154846
raw_N3572_m8_Dc,1,100,19.188554166158045,0.20078461349010468,0.8383312762777012
raw_N3572_m8_Dc,4,100,20.39422141710917,0.16468010546639567,0.8753704559803009
raw_N3572_m8_Dc,7,100,20.39431778907776,0.16471791396538418,0.8752845221757889
raw_N3572_m8_Dc,13,100,20.39431778907776,0.16471791399642832,0.8752845221757889
raw_N3572_m8_Dc,19,100,20.39431778907776,0.16471791420131926,0.8752845221757889
raw_N3572_m9_D0,1,100,10.475569326082862,0.6798714097340899,0.04705852929813165
raw_N3572_m9_D0,4,100,19.16229778925577,0.19341088155905403,0.8600649634003639
raw_N3572_m9_D0,7,100,21.24373081843058,0.1358903906991084,0.9239157261451086
raw_N3572_m9_D0,13,100,21.24372802734375,0.13589562157789867,0.923858757019043
raw_N3572_m9_D0,19,100,21.24372802734375,0.1358956212674578,0.923858757019043
raw_N3572_m9_Dc,1,100,10.52435066064199,0.6735090761383374,0.04501577575691043
raw_N3572_m9_Dc,4,100,19.683942111333213,0.1838728646934033,0.8317511173089346
