method,source_index,snr_db,seed,mse,lpips_alex,normalized_latent,utility
pure_continuous,5,1.0,4103,0.003031558357179165,0.11120200902223587,0.3837747275829315,0.017989506945014
pure_continuous,6,1.0,4103,0.008120423182845116,0.1839233785867691,0.5455029010772705,0.03196778893470764
pure_continuous,7,1.0,4103,0.013853002339601517,0.1672443002462387,0.78330397605896,0.03841046988964081
pure_continuous,8,1.0,4103,0.0113165732473135,0.1878143548965454,0.6684978008270264,0.03678298741579056
pure_continuous,9,1.0,4103,0.004867709241807461,0.1243104338645935,0.46473437547683716,0.021946094930171967
pure_continuous,10,1.0,4103,0.009525946341454983,0.15987758338451385,0.8790075778961182,0.034303780645132065
pure_continuous,11,1.0,4103,0.0055187903344631195,0.10453847050666809,0.44421127438545227,0.020414749160408974
pure_continuous,12,1.0,4103,0.009663384407758713,0.11071357131004333,0.5163429975509644,0.025898171588778496
pure_continuous,13,1.0,4103,0.007645688019692898,0.1284485161304474,0.6388647556304932,0.026879187673330307
pure_continuous,14,1.0,4103,0.008990134112536907,0.10795849561691284,0.5250252485275269,0.02503623627126217
pure_continuous,15,1.0,4103,0.00753674004226923,0.1028338074684143,0.4228275418281555,0.02204839512705803
full_tx_control,0,1.0,4103,0.0063959285616874695,0.17285627126693726,0.6062548160552979,0.0297441054135561
full_tx_control,1,1.0,4103,0.015172756277024746,0.2903652489185333,0.7701706886291504,0.05191098898649216
full_tx_control,2,1.0,4103,0.0076279728673398495,0.1719573438167572,0.5141027569770813,0.029964735731482506
full_tx_control,3,1.0,4103,0.007542908191680908,0.17516323924064636,0.4548830986022949,0.029608063399791718
full_tx_control,4,1.0,4103,0.005471647717058659,0.15207262337207794,0.4790821671485901,0.025469733402132988
full_tx_control,5,1.0,4103,0.008006511256098747,0.25017666816711426,0.4111979603767395,0.03713615611195564
full_tx_control,6,1.0,4103,0.018542109057307243,0.25614839792251587,0.654197096824646,0.05069892108440399
full_tx_control,7,1.0,4103,0.02021288126707077,0.266303688287735,0.9894208908081055,0.05673746019601822
full_tx_control,8,1.0,4103,0.020147597417235374,0.2901972234249115,0.8490686416625977,0.05765800550580025
full_tx_control,9,1.0,4103,0.008054575882852077,0.13573260605335236,0.4657314121723175,0.02628514915704727
full_tx_control,10,1.0,4103,0.015571929514408112,0.24840690195560455,1.096482276916504,0.051377441734075546
full_tx_control,11,1.0,4103,0.01000710017979145,0.2801654040813446,0.5670818090438843,0.04369446262717247
full_tx_control,12,1.0,4103,0.02562091313302517,0.20196568965911865,0.6506394743919373,0.052323877811431885
full_tx_control,13,1.0,4103,0.00923364982008934,0.1361268013715744,0.7005317211151123,0.029851647093892097
full_tx_control,14,1.0,4103,0.011304231360554695,0.15589472651481628,0.5622836351394653,0.032516542822122574
full_tx_control,15,1.0,4103,0.010603311471641064,0.1282159686088562,0.39383649826049805,0.02736327424645424
light_tx,0,1.0,4103,0.00593904173001647,0.156712606549263,0.6023626327514648,0.02763392962515354
light_tx,1,1.0,4103,0.014363845810294151,0.27713170647621155,0.7664027810096741,0.04974104464054108
light_tx,2,1.0,4103,0.006593736819922924,0.16381248831748962,0.513550877571106,0.02811049483716488
light_tx,3,1.0,4103,0.004021715838462114,0.1572740226984024,0.4451804757118225,0.0242009237408638
light_tx,4,1.0,4103,0.005169868003576994,0.14528220891952515,0.47699853777885437,0.02446807362139225
light_tx,5,1.0,4103,0.007592129521071911,0.24919134378433228,0.4096999168395996,0.0366082638502121
light_tx,6,1.0,4103,0.016250448301434517,0.2602664828300476,0.6469779014587402,0.048746876418590546
light_tx,7,1.0,4103,0.017749717459082603,0.24605579674243927,0.9877011775970459,0.05223231017589569
light_tx,8,1.0,4103,0.017122119665145874,0.2694658041000366,0.8456277847290039,0.052524980157613754
light_tx,9,1.0,4103,0.006557261571288109,0.13332100212574005,0.463339239358902,0.024522755295038223
light_tx,10,1.0,4103,0.014893239364027977,0.23521937429904938,1.0948829650878906,0.049364008009433746
light_tx,11,1.0,4103,0.008651490323245525,0.22359886765480042,0.5575030446052551,0.03658640757203102
light_tx,12,1.0,4103,0.01659098081290722,0.19738279283046722,0.6300463080406189,0.042629726231098175
light_tx,13,1.0,4103,0.008185802027583122,0.13164453208446503,0.7006415128707886,0.02835667133331299
light_tx,14,1.0,4103,0.011030583642423153,0.14552472531795502,0.5639570951461792,0.031222626566886902
light_tx,15,1.0,4103,0.00887281447649002,0.1136341467499733,0.3876585364341736,0.024112815037369728
pure_continuous,0,4.0,4101,0.004717342089861631,0.11115442216396332,0.44284170866012573,0.02026120014488697
pure_continuous,1,4.0,4101,0.008472362533211708,0.15917733311653137,0.47910383343696594,0.029181133955717087
pure_continuous,2,4.0,4101,0.0031583241652697325,0.08753185719251633,0.3579719066619873,0.015491229481995106
pure_continuous,3,4.0,4101,0.001265260623767972,0.08058580011129379,0.2955450415611267,0.01227929163724184
pure_continuous,4,4.0,4101,0.003479480277746916,0.08508151024580002,0.3558940291404724,0.015546572394669056
pure_continuous,5,4.0,4101,0.0018995323916897178,0.07596628367900848,0.2594861388206482,0.012091021984815598
pure_continuous,6,4.0,4101,0.00709863007068634,0.1415574699640274,0.42799562215805054,0.025534333661198616
pure_continuous,7,4.0,4101,0.009483142755925655,0.12312064319849014,0.6534943580627441,0.028330150991678238
pure_continuous,8,4.0,4101,0.009915085509419441,0.1412564516067505,0.5472615957260132,0.029513346031308174
pure_continuous,9,4.0,4101,0.004044908098876476,0.08680745214223862,0.3394830524921417,0.016120484098792076
pure_continuous,10,4.0,4101,0.006697326898574829,0.1113605722784996,0.7387524843215942,0.02522091008722782
pure_continuous,11,4.0,4101,0.004275274928659201,0.07942598313093185,0.32612258195877075,0.01547909900546074
pure_continuous,12,4.0,4101,0.007353927008807659,0.06437475979328156,0.3892597556114197,0.017683999612927437
pure_continuous,13,4.0,4101,0.004676499869674444,0.0744023397564888,0.5015310049057007,0.017132043838500977
pure_continuous,14,4.0,4101,0.007632213644683361,0.08171231299638748,0.4024156928062439,0.019827602431178093
pure_continuous,15,4.0,4101,0.00714598223567009,0.07225999981164932,0.29700785875320435,0.017342060804367065
full_tx_control,0,4.0,4101,0.004891129210591316,0.1194404885172844,0.5221912860870361,0.02205709181725979
full_tx_control,1,4.0,4101,0.009854787029325962,0.17155444622039795,0.611065149307251,0.033120885491371155
full_tx_control,2,4.0,4101,0.0037367483600974083,0.09825661778450012,0.3942980170249939,0.01750539056956768
full_tx_control,3,4.0,4101,0.0012512600515037775,0.08056184649467468,0.3174997568130493,0.01248244196176529
full_tx_control,4,4.0,4101,0.0037174331955611706,0.09884104877710342,0.39497095346450806,0.017551247030496597
full_tx_control,5,4.0,4101,0.001431146403774619,0.06448610872030258,0.24263209104537964,0.010306078009307384
full_tx_control,6,4.0,4101,0.008302793838083744,0.1564759910106659,0.5179234743118286,0.029129628092050552
full_tx_control,7,4.0,4101,0.011244295164942741,0.14757388830184937,0.7978248596191406,0.033979933708906174
full_tx_control,8,4.0,4101,0.00993998534977436,0.15343914926052094,0.6651145815849304,0.03193504363298416
full_tx_control,9,4.0,4101,0.004107627086341381,0.08450701832771301,0.3800888955593109,0.01635921746492386
full_tx_control,10,4.0,4101,0.007543365471065044,0.13638836145401,0.9072847366333008,0.030255049467086792
full_tx_control,11,4.0,4101,0.004781059920787811,0.07815128564834595,0.36331528425216675,0.01622934266924858
full_tx_control,12,4.0,4101,0.00854372326284647,0.07288218289613724,0.44482189416885376,0.020280160009860992
full_tx_control,13,4.0,4101,0.005745477043092251,0.09086389094591141,0.5905407667160034,0.02073727361857891
full_tx_control,14,4.0,4101,0.008237156085669994,0.0911254733800888,0.4649258255958557,0.02199896052479744
full_tx_control,15,4.0,4101,0.0063317036256194115,0.07032142579555511,0.31523066759109497,0.016516152769327164
light_tx,0,4.0,4101,0.0050853849388659,0.12120398133993149,0.5266422629356384,0.022472206503152847
light_tx,1,4.0,4101,0.009967990219593048,0.17136435210704803,0.6149920225143433,0.03325434774160385
light_tx,2,4.0,4101,0.0038657840341329575,0.10109831392765045,0.3981380760669708,0.017956996336579323
light_tx,3,4.0,4101,0.001185656525194645,0.08193813264369965,0.3199918866157532,0.012579388916492462
light_tx,4,4.0,4101,0.0036599866580218077,0.0989740788936615,0.3985291123390198,0.017542686313390732
light_tx,5,4.0,4101,0.0013397799339145422,0.06985912472009659,0.24581880867481232,0.010783880017697811
light_tx,6,4.0,4101,0.00829222984611988,0.15900251269340515,0.5233908891677856,0.029426392167806625
light_tx,7,4.0,4101,0.011623309925198555,0.15454033017158508,0.8064920902252197,0.035142265260219574
light_tx,8,4.0,4101,0.010069802403450012,0.15549609065055847,0.6697847843170166,0.032317258417606354
light_tx,9,4.0,4101,0.004115396179258823,0.08848574757575989,0.3851867914199829,0.01681583933532238
light_tx,10,4.0,4101,0.007728956639766693,0.140360027551651,0.918382465839386,0.030948784202337265
light_tx,11,4.0,4101,0.004864460788667202,0.07989317178726196,0.3679073750972748,0.01653285138309002
light_tx,12,4.0,4101,0.008495055139064789,0.07478330284357071,0.447927325963974,0.02045265957713127
light_tx,13,4.0,4101,0.005814127624034882,0.09203970432281494,0.5955933332443237,0.02097403071820736
light_tx,14,4.0,4101,0.008636029437184334,0.09756086021661758,0.4712830185890198,0.023104947060346603
light_tx,15,4.0,4101,0.0063379546627402306,0.07405521720647812,0.31962671875953674,0.016939744353294373
pure_continuous,0,4.0,4102,0.00457741878926754,0.11289987713098526,0.43977588415145874,0.020265165716409683
pure_continuous,1,4.0,4102,0.008772142231464386,0.1534813642501831,0.48093488812446594,0.028929628431797028
pure_continuous,2,4.0,4102,0.003728831885382533,0.08602689206600189,0.3620131015777588,0.015951652079820633
pure_continuous,3,4.0,4102,0.0012911057565361261,0.0696687176823616,0.2925771474838257,0.011183748953044415
