method,source_index,snr_db,seed,mse,lpips,utility
raw_N4084_m7_Dc,9,4.0,4101,0.0086082708683423,0.13881446421146393,0.022489717289488696
raw_N4084_m7_Dc,9,4.0,4102,0.0086082708683423,0.13881446421146393,0.022489717289488696
raw_N4084_m7_Dc,9,4.0,4103,0.0086082708683423,0.13881446421146393,0.022489717289488696
raw_N4084_m7_Dc,9,7.0,4101,0.0086082708683423,0.13881446421146393,0.022489717289488696
raw_N4084_m7_Dc,9,7.0,4102,0.0086082708683423,0.13881446421146393,0.022489717289488696
raw_N4084_m7_Dc,9,7.0,4103,0.0086082708683423,0.13881446421146393,0.022489717289488696
raw_N4084_m7_Dc,9,13.0,4101,0.0086082708683423,0.13881446421146393,0.022489717289488696
raw_N4084_m7_Dc,9,13.0,4102,0.0086082708683423,0.13881446421146393,0.022489717289488696
raw_N4084_m7_Dc,9,13.0,4103,0.0086082708683423,0.13881446421146393,0.022489717289488696
raw_N4084_m7_Dc,9,19.0,4101,0.0086082708683423,0.13881446421146393,0.022489717289488696
raw_N4084_m7_Dc,9,19.0,4102,0.0086082708683423,0.13881446421146393,0.022489717289488696
raw_N4084_m7_Dc,9,19.0,4103,0.0086082708683423,0.13881446421146393,0.022489717289488696
raw_N4084_m7_Dc,10,1.0,4101,0.016876409100476605,0.22819368541240692,0.0396957776417173
raw_N4084_m7_Dc,10,1.0,4102,0.016876409100476605,0.22819368541240692,0.0396957776417173
raw_N4084_m7_Dc,10,1.0,4103,0.016876409100476605,0.22819368541240692,0.0396957776417173
raw_N4084_m7_Dc,10,4.0,4101,0.016876409100476605,0.22819368541240692,0.0396957776417173
raw_N4084_m7_Dc,10,4.0,4102,0.016876409100476605,0.22819368541240692,0.0396957776417173
raw_N4084_m7_Dc,10,4.0,4103,0.016876409100476605,0.22819368541240692,0.0396957776417173
raw_N4084_m7_Dc,10,7.0,4101,0.016876409100476605,0.22819368541240692,0.0396957776417173
raw_N4084_m7_Dc,10,7.0,4102,0.016876409100476605,0.22819368541240692,0.0396957776417173
raw_N4084_m7_Dc,10,7.0,4103,0.016876409100476605,0.22819368541240692,0.0396957776417173
