method,source_index,snr_db,seed,mse,lpips,utility
arithmetic_N4084_m8_Dc,2,4.0,4102,0.005690764732819914,0.1514412760734558,0.020834892340165497
arithmetic_N4084_m8_Dc,2,4.0,4103,0.005690764732819914,0.1514412760734558,0.020834892340165497
arithmetic_N4084_m8_Dc,2,7.0,4101,0.005690764732819914,0.15144126117229462,0.020834890850049376
arithmetic_N4084_m8_Dc,2,7.0,4102,0.005690764732819914,0.1514412760734558,0.020834892340165497
arithmetic_N4084_m8_Dc,2,7.0,4103,0.005690764732819914,0.1514412760734558,0.020834892340165497
arithmetic_N4084_m8_Dc,2,13.0,4101,0.005690764732819914,0.1514412760734558,0.020834892340165497
arithmetic_N4084_m8_Dc,2,13.0,4102,0.005690764732819914,0.15144126117229462,0.020834890850049376
arithmetic_N4084_m8_Dc,2,13.0,4103,0.005690764732819914,0.1514412760734558,0.020834892340165497
arithmetic_N4084_m8_Dc,2,19.0,4101,0.005690764732819914,0.1514412760734558,0.020834892340165497
arithmetic_N4084_m8_Dc,2,19.0,4102,0.005690764732819914,0.1514412760734558,0.020834892340165497
arithmetic_N4084_m8_Dc,2,19.0,4103,0.005690764732819914,0.15144126117229462,0.020834890850049376
arithmetic_N4084_m8_Dc,3,1.0,4101,0.0019923499160410365,0.08876064419746399,0.010868414335787436
arithmetic_N4084_m8_Dc,3,1.0,4102,0.0025819397633376124,0.1465333104133606,0.017235270804673672
arithmetic_N4084_m8_Dc,3,1.0,4103,0.0020273192757019115,0.10245243459939957,0.012272562735641868
arithmetic_N4084_m8_Dc,3,4.0,4101,0.0019923499160410365,0.08876064419746399,0.010868414335787436
arithmetic_N4084_m8_Dc,3,4.0,4102,0.0019923499160410365,0.08876064419746399,0.010868414335787436
arithmetic_N4084_m8_Dc,3,4.0,4103,0.0019923499160410365,0.08876064419746399,0.010868414335787436
arithmetic_N4084_m8_Dc,3,7.0,4101,0.0019923499160410365,0.08876064419746399,0.010868414335787436
arithmetic_N4084_m8_Dc,3,7.0,4102,0.0019923499160410365,0.08876064419746399,0.010868414335787436
arithmetic_N4084_m8_Dc,3,7.0,4103,0.0019923499160410365,0.08876064419746399,0.010868414335787436
arithmetic_N4084_m8_Dc,3,13.0,4101,0.0019923499160410365,0.08876065164804459,0.010868415080845496
arithmetic_N4084_m8_Dc,3,13.0,4102,0.0019923499160410365,0.08876064419746399,0.010868414335787436
arithmetic_N4084_m8_Dc,3,13.0,4103,0.0019923499160410365,0.08876065164804459,0.010868415080845496
arithmetic_N4084_m8_Dc,3,19.0,4101,0.0019923499160410365,0.08876064419746399,0.010868414335787436
arithmetic_N4084_m8_Dc,3,19.0,4102,0.0019923499160410365,0.08876065164804459,0.010868415080845496
arithmetic_N4084_m8_Dc,3,19.0,4103,0.0019923499160410365,0.08876064419746399,0.010868414335787436
arithmetic_N4084_m8_Dc,4,1.0,4101,0.004254738483168422,0.11442739516496658,0.01569747799966508
arithmetic_N4084_m8_Dc,4,1.0,4102,0.004254738483168422,0.11442739516496658,0.01569747799966508
arithmetic_N4084_m8_Dc,4,1.0,4103,0.004254738483168422,0.11442739516496658,0.01569747799966508
arithmetic_N4084_m8_Dc,4,4.0,4101,0.004254738483168422,0.11442740261554718,0.01569747874472314
arithmetic_N4084_m8_Dc,4,4.0,4102,0.004254738483168422,0.11442739516496658,0.01569747799966508
arithmetic_N4084_m8_Dc,4,4.0,4103,0.004254738483168422,0.11442739516496658,0.01569747799966508
arithmetic_N4084_m8_Dc,4,7.0,4101,0.004254738483168422,0.11442739516496658,0.01569747799966508
arithmetic_N4084_m8_Dc,4,7.0,4102,0.004254738483168422,0.11442740261554718,0.01569747874472314
arithmetic_N4084_m8_Dc,4,7.0,4103,0.004254738483168422,0.11442739516496658,0.01569747799966508
arithmetic_N4084_m8_Dc,4,13.0,4101,0.004254738483168422,0.11442740261554718,0.01569747874472314
arithmetic_N4084_m8_Dc,4,13.0,4102,0.004254738483168422,0.11442739516496658,0.01569747799966508
arithmetic_N4084_m8_Dc,4,13.0,4103,0.004254738483168422,0.11442740261554718,0.01569747874472314
arithmetic_N4084_m8_Dc,4,19.0,4101,0.004254738483168422,0.11442739516496658,0.01569747799966508
arithmetic_N4084_m8_Dc,4,19.0,4102,0.004254738483168422,0.11442740261554718,0.01569747874472314
arithmetic_N4084_m8_Dc,4,19.0,4103,0.004254738483168422,0.11442739516496658,0.01569747799966508
arithmetic_N4084_m8_Dc,5,1.0,4101,0.002136824939340595,0.10276539623737335,0.012413364563077931
arithmetic_N4084_m8_Dc,5,1.0,4102,0.002136824939340595,0.10276539623737335,0.012413364563077931
arithmetic_N4084_m8_Dc,5,1.0,4103,0.002136824939340595,0.10276538878679276,0.012413363818019873
arithmetic_N4084_m8_Dc,5,4.0,4101,0.002136824939340595,0.10276539623737335,0.012413364563077931
arithmetic_N4084_m8_Dc,5,4.0,4102,0.002136824939340595,0.10276539623737335,0.012413364563077931
arithmetic_N4084_m8_Dc,5,4.0,4103,0.002136824939340595,0.10276539623737335,0.012413364563077931
arithmetic_N4084_m8_Dc,5,7.0,4101,0.002136824939340595,0.10276538878679276,0.012413363818019873
arithmetic_N4084_m8_Dc,5,7.0,4102,0.002136824939340595,0.10276539623737335,0.012413364563077931
arithmetic_N4084_m8_Dc,5,7.0,4103,0.002136824939340595,0.10276539623737335,0.012413364563077931
arithmetic_N4084_m8_Dc,5,13.0,4101,0.002136824939340595,0.10276539623737335,0.012413364563077931
arithmetic_N4084_m8_Dc,5,13.0,4102,0.002136824939340595,0.10276538878679276,0.012413363818019873
arithmetic_N4084_m8_Dc,5,13.0,4103,0.002136824939340595,0.10276539623737335,0.012413364563077931
arithmetic_N4084_m8_Dc,5,19.0,4101,0.002136824939340595,0.10276539623737335,0.012413364563077931
arithmetic_N4084_m8_Dc,5,19.0,4102,0.002136824939340595,0.10276539623737335,0.012413364563077931
arithmetic_N4084_m8_Dc,5,19.0,4103,0.002136824939340595,0.10276538878679276,0.012413363818019873
arithmetic_N4084_m8_Dc,6,1.0,4101,0.031631541266426956,0.43662235140800476,0.07529377640722743
arithmetic_N4084_m8_Dc,6,1.0,4102,0.02520180552297676,0.33802732825279236,0.059004538348255996
