method,source_index,snr_db,seed,mse,lpips,utility
m8_plus_latent_1024,9,13.0,4101,0.003577227471396327,0.0732012540102005,0.010897353291511536
m8_plus_latent_1024,9,13.0,4102,0.0035094954073429108,0.06965264678001404,0.010474760085344315
m8_plus_latent_1024,9,13.0,4103,0.003476586891338229,0.06662028282880783,0.010138615034520626
m8_plus_latent_1024,9,19.0,4101,0.003461908083409071,0.06923235952854156,0.010385144501924515
m8_plus_latent_1024,9,19.0,4102,0.0034252952318638563,0.06727107614278793,0.010152403265237808
m8_plus_latent_1024,9,19.0,4103,0.003406726522371173,0.06610071659088135,0.010016798041760921
m8_plus_latent_1024,10,1.0,4101,0.01035057008266449,0.1662401407957077,0.02697458490729332
m8_plus_latent_1024,10,1.0,4102,0.010558122768998146,0.19637466967105865,0.03019559010863304
m8_plus_latent_1024,10,1.0,4103,0.017983010038733482,0.27084967494010925,0.04506797716021538
m8_plus_latent_1024,10,4.0,4101,0.007410808466374874,0.13514666259288788,0.020925475284457207
m8_plus_latent_1024,10,4.0,4102,0.007446616422384977,0.135346457362175,0.020981261506676674
m8_plus_latent_1024,10,4.0,4103,0.007166348397731781,0.13881419599056244,0.021047767251729965
m8_plus_latent_1024,10,7.0,4101,0.006776689551770687,0.12790849804878235,0.019567539915442467
m8_plus_latent_1024,10,7.0,4102,0.006749819032847881,0.12729719281196594,0.01947953924536705
m8_plus_latent_1024,10,7.0,4103,0.006585023365914822,0.12930314242839813,0.01951533742249012
m8_plus_latent_1024,10,13.0,4101,0.00612974539399147,0.12084019184112549,0.01821376383304596
m8_plus_latent_1024,10,13.0,4102,0.006084045395255089,0.1196710392832756,0.01805114932358265
m8_plus_latent_1024,10,13.0,4103,0.00603092834353447,0.12099456787109375,0.018130384385585785
m8_plus_latent_1024,10,19.0,4101,0.005912928842008114,0.11836203187704086,0.017749132588505745
m8_plus_latent_1024,10,19.0,4102,0.005887937732040882,0.11774247139692307,0.017662186175584793
m8_plus_latent_1024,10,19.0,4103,0.005869570188224316,0.1185392215847969,0.01772349327802658
m8_plus_latent_1024,11,1.0,4101,0.006903113331645727,0.14973053336143494,0.021876167505979538
m8_plus_latent_1024,11,1.0,4102,0.0055251955054700375,0.10248637944459915,0.01577383279800415
m8_plus_latent_1024,11,1.0,4103,0.00969504565000534,0.2392430156469345,0.03361934795975685
m8_plus_latent_1024,11,4.0,4101,0.0047446019016206264,0.07743967324495316,0.012488569132983685
m8_plus_latent_1024,11,4.0,4102,0.0046630664728581905,0.08106101304292679,0.012769168242812157
m8_plus_latent_1024,11,4.0,4103,0.004727798514068127,0.07554756104946136,0.012282554060220718
m8_plus_latent_1024,11,7.0,4101,0.004520877730101347,0.07424557954072952,0.011945435777306557
