method,source_index,snr_db,seed,mse,lpips,utility
m8_plus_latent_512_fold_N4084,10,19.0,4102,0.0072614336386322975,0.1430383324623108,0.021565265953540802
m8_plus_latent_512_fold_N4084,10,19.0,4103,0.00726725347340107,0.14244085550308228,0.021511338651180267
m8_plus_latent_512_fold_N4084,11,1.0,4101,0.006634345278143883,0.1328095644712448,0.019915301352739334
m8_plus_latent_512_fold_N4084,11,1.0,4102,0.00557829812169075,0.103570356965065,0.01593533530831337
m8_plus_latent_512_fold_N4084,11,1.0,4103,0.0057921274565160275,0.10767777264118195,0.01655990444123745
m8_plus_latent_512_fold_N4084,11,4.0,4101,0.0052230930887162685,0.08728858828544617,0.013951951637864113
m8_plus_latent_512_fold_N4084,11,4.0,4102,0.0051958803087472916,0.08731186389923096,0.013927066698670387
m8_plus_latent_512_fold_N4084,11,4.0,4103,0.0052618118934333324,0.08886376768350601,0.014148188754916191
m8_plus_latent_512_fold_N4084,11,7.0,4101,0.0050670672208070755,0.08491544425487518,0.013558612205088139
m8_plus_latent_512_fold_N4084,11,7.0,4102,0.005029674153774977,0.08529368788003922,0.013559043407440186
m8_plus_latent_512_fold_N4084,11,7.0,4103,0.005092174746096134,0.08562104403972626,0.01365427952259779
m8_plus_latent_512_fold_N4084,11,13.0,4101,0.0049252575263381,0.08213101327419281,0.013138359412550926
m8_plus_latent_512_fold_N4084,11,13.0,4102,0.00489137414842844,0.08231829851865768,0.013123204000294209
m8_plus_latent_512_fold_N4084,11,13.0,4103,0.004930929280817509,0.08238549530506134,0.013169478625059128
m8_plus_latent_512_fold_N4084,11,19.0,4101,0.004882514476776123,0.08095549046993256,0.012978063896298409
m8_plus_latent_512_fold_N4084,11,19.0,4102,0.004862933419644833,0.0808364525437355,0.012946578674018383
m8_plus_latent_512_fold_N4084,11,19.0,4103,0.0048837861977517605,0.08111259341239929,0.012995045632123947
m8_plus_latent_512_fold_N4084,12,1.0,4101,0.014314113184809685,0.11409670859575272,0.025723785161972046
m8_plus_latent_512_fold_N4084,12,1.0,4102,0.014223454520106316,0.17910443246364594,0.03213389962911606
m8_plus_latent_512_fold_N4084,12,1.0,4103,0.01173080038279295,0.10862436890602112,0.022593237459659576
m8_plus_latent_512_fold_N4084,12,4.0,4101,0.010094396770000458,0.07948990911245346,0.018043387681245804
m8_plus_latent_512_fold_N4084,12,4.0,4102,0.009981968440115452,0.08686362206935883,0.01866833120584488
m8_plus_latent_512_fold_N4084,12,4.0,4103,0.010088915005326271,0.08376879245042801,0.018465794622898102
m8_plus_latent_512_fold_N4084,12,7.0,4101,0.009726281277835369,0.07776135206222534,0.01750241592526436
m8_plus_latent_512_fold_N4084,12,7.0,4102,0.009611891582608223,0.08361814171075821,0.017973706126213074
m8_plus_latent_512_fold_N4084,12,7.0,4103,0.009784925729036331,0.08045364916324615,0.017830289900302887
m8_plus_latent_512_fold_N4084,12,13.0,4101,0.009330310858786106,0.07656004279851913,0.016986314207315445
m8_plus_latent_512_fold_N4084,12,13.0,4102,0.009269246831536293,0.0786658227443695,0.017135828733444214
m8_plus_latent_512_fold_N4084,12,13.0,4103,0.00941960047930479,0.07712289690971375,0.01713189110159874
m8_plus_latent_512_fold_N4084,12,19.0,4101,0.009172609075903893,0.07539410144090652,0.016712019219994545
m8_plus_latent_512_fold_N4084,12,19.0,4102,0.009145230054855347,0.07640955597162247,0.016786186024546623
m8_plus_latent_512_fold_N4084,12,19.0,4103,0.009215110912919044,0.07560091465711594,0.01677520200610161
m8_plus_latent_512_fold_N4084,13,1.0,4101,0.00992401223629713,0.14886747300624847,0.024810759350657463
m8_plus_latent_512_fold_N4084,13,1.0,4102,0.008182386867702007,0.12351594865322113,0.020533982664346695
m8_plus_latent_512_fold_N4084,13,1.0,4103,0.008045856840908527,0.12462493777275085,0.020508350804448128
m8_plus_latent_512_fold_N4084,13,4.0,4101,0.006508253514766693,0.10738271474838257,0.01724652573466301
m8_plus_latent_512_fold_N4084,13,4.0,4102,0.006394372321665287,0.10355678200721741,0.016750050708651543
m8_plus_latent_512_fold_N4084,13,4.0,4103,0.00658898800611496,0.10057257860898972,0.01664624735713005
m8_plus_latent_512_fold_N4084,13,7.0,4101,0.006201133131980896,0.1024944931268692,0.016450583934783936
m8_plus_latent_512_fold_N4084,13,7.0,4102,0.006165001541376114,0.09989136457443237,0.01615413837134838
m8_plus_latent_512_fold_N4084,13,7.0,4103,0.0062963515520095825,0.09739702194929123,0.016036054119467735
m8_plus_latent_512_fold_N4084,13,13.0,4101,0.005932833068072796,0.09676466882228851,0.015609299764037132
m8_plus_latent_512_fold_N4084,13,13.0,4102,0.0059330053627491,0.09545215219259262,0.015478220768272877
m8_plus_latent_512_fold_N4084,13,13.0,4103,0.00599922239780426,0.09497516602277756,0.015496739186346531
m8_plus_latent_512_fold_N4084,13,19.0,4101,0.005857259035110474,0.09454120695590973,0.015311379916965961
m8_plus_latent_512_fold_N4084,13,19.0,4102,0.005864608567208052,0.09410101175308228,0.015274709090590477
m8_plus_latent_512_fold_N4084,13,19.0,4103,0.00590089475736022,0.09404855966567993,0.015305750072002411
m8_plus_latent_512_fold_N4084,14,1.0,4101,0.01181397121399641,0.14090779423713684,0.02590475045144558
m8_plus_latent_512_fold_N4084,14,1.0,4102,0.0103102782741189,0.12722913920879364,0.02303319238126278
m8_plus_latent_512_fold_N4084,14,1.0,4103,0.011406528763473034,0.12538351118564606,0.023944880813360214
m8_plus_latent_512_fold_N4084,14,4.0,4101,0.009739442728459835,0.10921592265367508,0.020661035552620888
m8_plus_latent_512_fold_N4084,14,4.0,4102,0.009694667533040047,0.11429646611213684,0.02112431451678276
m8_plus_latent_512_fold_N4084,14,4.0,4103,0.009875726886093616,0.11498557776212692,0.021374285221099854
m8_plus_latent_512_fold_N4084,14,7.0,4101,0.009428528137505054,0.10857756435871124,0.020286284387111664
m8_plus_latent_512_fold_N4084,14,7.0,4102,0.009414562955498695,0.11082235723733902,0.020496798679232597
m8_plus_latent_512_fold_N4084,14,7.0,4103,0.0095206368714571,0.11062571406364441,0.02058320865035057
m8_plus_latent_512_fold_N4084,14,13.0,4101,0.009096693247556686,0.1060461550951004,0.019701309502124786
m8_plus_latent_512_fold_N4084,14,13.0,4102,0.009081635624170303,0.10704788565635681,0.019786424934864044
m8_plus_latent_512_fold_N4084,14,13.0,4103,0.009120315313339233,0.10700200498104095,0.01982051506638527
m8_plus_latent_512_fold_N4084,14,19.0,4101,0.008972303941845894,0.1045607253909111,0.019428376108407974
m8_plus_latent_512_fold_N4084,14,19.0,4102,0.008958584628999233,0.10530591011047363,0.01948917657136917
m8_plus_latent_512_fold_N4084,14,19.0,4103,0.00897037610411644,0.10540968179702759,0.019511345773935318
m8_plus_latent_512_fold_N4084,15,1.0,4101,0.00863135326653719,0.10428842902183533,0.019060196354985237
m8_plus_latent_512_fold_N4084,15,1.0,4102,0.00899692252278328,0.12050911784172058,0.021047834306955338
m8_plus_latent_512_fold_N4084,15,1.0,4103,0.008114907890558243,0.09777583181858063,0.017892491072416306
m8_plus_latent_512_fold_N4084,15,4.0,4101,0.0069478657096624374,0.07684940099716187,0.014632806181907654
m8_plus_latent_512_fold_N4084,15,4.0,4102,0.00696432963013649,0.08134452998638153,0.015098783187568188
m8_plus_latent_512_fold_N4084,15,4.0,4103,0.007043749094009399,0.08040272444486618,0.015084021724760532
m8_plus_latent_512_fold_N4084,15,7.0,4101,0.006690304260700941,0.07411980628967285,0.014102284796535969
m8_plus_latent_512_fold_N4084,15,7.0,4102,0.00664504524320364,0.0780351385474205,0.014448558911681175
m8_plus_latent_512_fold_N4084,15,7.0,4103,0.006684090476483107,0.07644088566303253,0.014328178949654102
m8_plus_latent_512_fold_N4084,15,13.0,4101,0.00642499839887023,0.0724225789308548,0.013667256571352482
m8_plus_latent_512_fold_N4084,15,13.0,4102,0.006359908729791641,0.07472015172243118,0.01383192464709282
m8_plus_latent_512_fold_N4084,15,13.0,4103,0.006380622740834951,0.07313485443592072,0.013694108463823795
m8_plus_latent_512_fold_N4084,15,19.0,4101,0.006323684006929398,0.0724472627043724,0.013568410649895668
m8_plus_latent_512_fold_N4084,15,19.0,4102,0.006276929751038551,0.07361839711666107,0.013638770207762718
m8_plus_latent_512_fold_N4084,15,19.0,4103,0.006292092613875866,0.07249551266431808,0.01354164443910122
m8_plus_latent_512_fold_N4084,16,1.0,4101,0.003515426767989993,0.07902227342128754,0.01141765434294939
m8_plus_latent_512_fold_N4084,16,1.0,4102,0.002977578667923808,0.07094521820545197,0.010072100907564163
m8_plus_latent_512_fold_N4084,16,1.0,4103,0.004270241595804691,0.16030988097190857,0.020301230251789093
m8_plus_latent_512_fold_N4084,16,4.0,4101,0.002680150792002678,0.05947032943367958,0.008627183735370636
m8_plus_latent_512_fold_N4084,16,4.0,4102,0.0024989491794258356,0.06327684223651886,0.008826633915305138
m8_plus_latent_512_fold_N4084,16,4.0,4103,0.002639448968693614,0.061673954129219055,0.008806844241917133
m8_plus_latent_512_fold_N4084,16,7.0,4101,0.002541860332712531,0.05924541503190994,0.008466402068734169
m8_plus_latent_512_fold_N4084,16,7.0,4102,0.002412433736026287,0.06132134050130844,0.008544567972421646
m8_plus_latent_512_fold_N4084,16,7.0,4103,0.002510355319827795,0.05976957455277443,0.00848731305450201
m8_plus_latent_512_fold_N4084,16,13.0,4101,0.0024050427600741386,0.05807001143693924,0.008212043903768063
m8_plus_latent_512_fold_N4084,16,13.0,4102,0.0023418862838298082,0.058350030332803726,0.008176889270544052
m8_plus_latent_512_fold_N4084,16,13.0,4103,0.0023714755661785603,0.05768661946058273,0.008140137419104576
m8_plus_latent_512_fold_N4084,16,19.0,4101,0.0023567008320242167,0.05661359056830406,0.00801805965602398
m8_plus_latent_512_fold_N4084,16,19.0,4102,0.002326191170141101,0.05708402395248413,0.008034593425691128
m8_plus_latent_512_fold_N4084,16,19.0,4103,0.002334173768758774,0.0567421019077301,0.008008384145796299
m8_plus_latent_512_fold_N4084,17,1.0,4101,0.00973585806787014,0.12888197600841522,0.022624056786298752
