region,arm,control,metric,difference,ci_low,ci_high,source_images
primary,snr_gain,raw_m9,mse,-0.04706737912736686,-0.05050735207389736,-0.04379163243909147,100
primary,snr_gain,add,psnr_db,0.0007112185160318952,-0.0012959360811444682,0.002643874300850938,100
primary,snr_gain,add,lpips,-8.543332831726966e-05,-0.000179304170008332,7.607998947305437e-06,100
primary,snr_gain,add,dino,0.0012279197573661794,0.0006848519742488858,0.001798989868826339,100
primary,snr_gain,add,mse,1.888689843731247e-07,-3.278631516473596e-06,3.6992938387105067e-06,100
primary,reliability_gain,raw_adaptive,psnr_db,0.06734748310512978,-0.05036518912845175,0.1810174018277064,100
primary,reliability_gain,raw_adaptive,lpips,0.05253626236692071,0.04920302808346848,0.055914634678719766,100
primary,reliability_gain,raw_adaptive,dino,-0.10391620510154301,-0.11514367005725704,-0.09299124248656963,100
primary,reliability_gain,raw_adaptive,mse,0.0007935053994699962,0.000184703225777297,0.0014844543640770824,100
primary,reliability_gain,arithmetic_adaptive,psnr_db,0.024826183319091727,-0.09602646533648182,0.13917674620946222,100
primary,reliability_gain,arithmetic_adaptive,lpips,0.05371942476886841,0.05051956761768088,0.05696612943703722,100
primary,reliability_gain,arithmetic_adaptive,dino,-0.10440251247750387,-0.11561018560081718,-0.09341870171825091,100
primary,reliability_gain,arithmetic_adaptive,mse,0.0009003836111865296,0.0002760885346964236,0.001602284210014531,100
primary,reliability_gain,perceptual_deepjscc,psnr_db,-4.684337866041395,-4.8598289783000945,-4.514672244416343,100
primary,reliability_gain,perceptual_deepjscc,lpips,0.031008473204241858,0.021782422727594772,0.04034717772756186,100
primary,reliability_gain,perceptual_deepjscc,dino,0.23839975588230622,0.21135929237150894,0.2647784426730229,100
primary,reliability_gain,perceptual_deepjscc,mse,0.010332988617029124,0.00929079075740848,0.011432293659222685,100
primary,reliability_gain,raw_m7,psnr_db,1.6197144730885822,1.4628305273585849,1.779746767918269,100
primary,reliability_gain,raw_m7,lpips,0.001540048511491881,-0.001349750901882848,0.004477947001759374,100
primary,reliability_gain,raw_m7,dino,-0.0666681072447035,-0.07717760198066632,-0.056343484842114974,100
primary,reliability_gain,raw_m7,mse,-0.0041186836762789735,-0.005086133031541728,-0.0031406770928837434,100
primary,reliability_gain,raw_m8,psnr_db,1.0408407412634955,0.9204604039986929,1.169643995338016,100
primary,reliability_gain,raw_m8,lpips,0.021372533324691988,0.01671700639505353,0.025965709580625926,100
primary,reliability_gain,raw_m8,dino,-0.06209521755576135,-0.07381642315040032,-0.05031640850173104,100
primary,reliability_gain,raw_m8,mse,-0.0033556550951608748,-0.004232444781809722,-0.002519734931818865,100
primary,reliability_gain,raw_m9,psnr_db,5.19849671681722,4.87380394718382,5.532633509874344,100
primary,reliability_gain,raw_m9,lpips,-0.2329569760130511,-0.24563367450589108,-0.22046561633319492,100
primary,reliability_gain,raw_m9,dino,0.41288431636264755,0.39497556762040287,0.43096601837374166,100
primary,reliability_gain,raw_m9,mse,-0.047069106555214325,-0.05050852991136137,-0.04379375056766648,100
primary,reliability_gain,add,psnr_db,0.0013477314843072285,-0.0009348581896890277,0.003640194760428633,100
primary,reliability_gain,add,lpips,-2.414901637368752e-05,-0.00013184553457216885,8.373404687477336e-05,100
primary,reliability_gain,add,dino,0.001060798880126741,0.0004605712766448534,0.001701802633288843,100
primary,reliability_gain,add,mse,-1.538558863103407e-06,-5.512807773710846e-06,2.4857528009710147e-06,100
primary,reliability_gain,snr_gain,psnr_db,0.0006365129682753334,4.650693469590284e-05,0.0012253766059878556,100
primary,reliability_gain,snr_gain,lpips,6.128431194358214e-05,2.9458898533549307e-05,9.329470122853763e-05,100
primary,reliability_gain,snr_gain,dino,-0.00016712087723943836,-0.0003552477508783379,1.4912655784023609e-05,100
primary,reliability_gain,snr_gain,mse,-1.7274278474765317e-06,-2.9453265403088737e-06,-4.698791308329291e-07,100
high,add,raw_adaptive,psnr_db,0.3877141888936362,0.2502845984697343,0.5228905742963152,100
high,add,raw_adaptive,lpips,0.0575265208693842,0.052884986126329754,0.06231644671177492,100
high,add,raw_adaptive,dino,-0.1152357057730357,-0.12916837321718533,-0.10195632037272058,100
high,add,raw_adaptive,mse,-0.0008544984454507068,-0.0011261284279478543,-0.000594233244307485,100
