region,arm,sources,psnr_db,lpips,dino,mse
snr_1,raw_m7,100,18.019461431503295,0.23666967991739515,0.8486799637476604,0.0195045016038109
snr_1,raw_m8,100,16.577044331232706,0.290490526308616,0.7552857605119547,0.028264469897087682
snr_1,raw_m9,100,9.83264788309733,0.7064682183663051,0.030970302199323972,0.1113990077874019
snr_1,reliability_gain,100,17.032769877115886,0.2967816018996139,0.735315609375636,0.02505333927071964
snr_1,snr_gain,100,17.032083377838138,0.2967621679541965,0.7352880578736466,0.02505552916554734
snr_4,add,100,20.848641551335653,0.20957237898682554,0.8055887180566789,0.01062056293594651
snr_4,arithmetic_adaptive,100,19.691623792648315,0.17714132828637957,0.8897296416759491,0.013651503398386073
snr_4,perceptual_deepjscc,100,24.451501305898027,0.1984902561083436,0.5612580932676793,0.004683111503002737
snr_4,raw_adaptive,100,19.69081347465515,0.1771490621877213,0.8897491864363352,0.013652706155641793
snr_4,raw_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026,0.019176631795329472
snr_4,raw_m8,100,19.69081347465515,0.1771490621877213,0.8897491864363352,0.013652706155641793
snr_4,raw_m9,100,12.484179321924847,0.563830238878727,0.15705728359209994,0.06534603583610372
snr_4,reliability_gain,100,20.850016857782997,0.209536344644924,0.8065854895114899,0.010617749394926554
snr_4,snr_gain,100,20.8494460995992,0.20946004024396345,0.8067820225159328,0.010619486567253865
snr_7,add,100,21.197143576939897,0.20260763227939602,0.8055440894762675,0.009834575665105755
snr_7,arithmetic_adaptive,100,21.224103310902912,0.13611351401855548,0.9237760400772095,0.009830422869102746
snr_7,perceptual_deepjscc,100,25.35552401860555,0.166541712457935,0.6554392363131046,0.0038906226926664015
snr_7,raw_adaptive,100,21.16968646685283,0.1374709875509143,0.9217984010775885,0.009963990207770241
snr_7,raw_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026,0.019176631795329472
snr_7,raw_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491,0.013651503398386073
snr_7,raw_m9,100,21.16968646685283,0.1374709875509143,0.9217984010775885,0.009963990207770241
snr_7,reliability_gain,100,21.199217087427773,0.20258057021225498,0.8065778370698292,0.009830625499986733
snr_7,snr_gain,100,21.198564805984496,0.20249245562280216,0.8069102181990941,0.009831880716374143
snr_13,add,100,21.568683780034384,0.19489524845654763,0.8065359995762507,0.009065487568926377
snr_13,arithmetic_adaptive,100,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_13,perceptual_deepjscc,100,26.467272446950282,0.13864782078812518,0.7451532711088658,0.003124941118178051
snr_13,raw_adaptive,100,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_13,raw_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026,0.019176631795329472
snr_13,raw_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491,0.013651503398386073
snr_13,raw_m9,100,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_13,reliability_gain,100,21.570943924585983,0.19486634597182273,0.8068462522824607,0.009061814437154682
snr_13,snr_gain,100,21.570945056279502,0.1947576561570167,0.8074358755350113,0.009061425632680767
snr_19,add,100,21.69420065244039,0.19194903467471403,0.8107100921869278,0.008824107523735924
snr_19,arithmetic_adaptive,100,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_19,perceptual_deepjscc,100,26.883247063954673,0.1303712017151217,0.7727641484141351,0.002891859007731621
snr_19,raw_adaptive,100,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_19,raw_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026,0.019176631795329472
snr_19,raw_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491,0.013651503398386073
snr_19,raw_m9,100,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_19,reliability_gain,100,21.697611729303993,0.191840439196676,0.8111337512731552,0.008819137316119547
snr_19,snr_gain,100,21.697202908198037,0.1917872633909186,0.8115392736593883,0.008819028799577305
