region,arm,source_images,context_ablation_not_a_ranked_system,psnr_db,lpips,dino,mse
snr_7,perceptual_deepjscc,100,False,25.35552401860555,0.166541712457935,0.6554392363131046,0.0038906226926664015
snr_7,raw_adaptive,100,False,21.16968646685283,0.1374709875509143,0.9217984010775885,0.009963990207770241
snr_7,raw_m7,100,False,18.10169948577881,0.23380434565246105,0.8499016469717026,0.019176631795329472
snr_7,raw_m8,100,False,19.691623792648315,0.17714132828637957,0.8897296416759491,0.013651503398386073
snr_7,raw_m9,100,False,21.16968646685283,0.1374709875509143,0.9217984010775885,0.009963990207770241
snr_7,unconditioned,100,False,21.369553101857505,0.1968975583960613,0.8121074529488882,0.009513544688234106
snr_13,arithmetic_adaptive,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_13,conditioned,100,False,22.16840489705404,0.19185181125377615,0.813467181523641,0.007945000113686547
snr_13,conditioned_spatial_shuffle,100,True,21.1982860883077,0.23159833585222564,0.7655886855721473,0.009848298728077982
snr_13,perceptual_deepjscc,100,False,26.467272446950282,0.13864782078812518,0.7451532711088658,0.003124941118178051
snr_13,raw_adaptive,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_13,raw_m7,100,False,18.10169948577881,0.23380434565246105,0.8499016469717026,0.019176631795329472
snr_13,raw_m8,100,False,19.691623792648315,0.17714132828637957,0.8897296416759491,0.013651503398386073
snr_13,raw_m9,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_13,unconditioned,100,False,21.813502009709673,0.1867239173874259,0.8179857909679411,0.008649880587084529
snr_19,arithmetic_adaptive,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_19,conditioned,100,False,22.303982114791875,0.18832740785554056,0.8169508214791615,0.007720930853975004
snr_19,conditioned_spatial_shuffle,100,True,21.330656337738034,0.2271920900543531,0.7685886824131013,0.009570052433215702
snr_19,perceptual_deepjscc,100,False,26.883247063954673,0.1303712017151217,0.7727641484141351,0.002891859007731621
snr_19,raw_adaptive,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_19,raw_m7,100,False,18.10169948577881,0.23380434565246105,0.8499016469717026,0.019176631795329472
snr_19,raw_m8,100,False,19.691623792648315,0.17714132828637957,0.8897296416759491,0.013651503398386073
snr_19,raw_m9,100,False,21.24372802734375,0.1358956206962466,0.9238587516546249,0.009799295991781858
snr_19,unconditioned,100,False,21.966167933146167,0.1830209999717772,0.8208724715312323,0.008373258119293799
