method,snr_db,calls,tx_ms,rx_ms,total_ms,table_sha256
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m6,19,20,175.562097504735,133.0019732879009,308.5640707926359,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m7,1,20,174.25341089838184,137.86815045168623,312.1215613500681,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m7,4,20,173.9397444529459,137.8584039513953,311.7981484043412,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m7,7,20,173.70999648119323,137.8952695056796,311.60526598687284,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m7,13,20,173.68056075065397,138.1972461414989,311.8778068921529,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m7,19,20,173.66029850090854,138.04248124361038,311.7027797445189,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m8,1,20,172.68036175519228,147.14097930118442,319.8213410563767,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m8,4,20,173.10590150300413,147.20819386420771,320.31409536721185,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m8,7,20,172.6435010728892,147.08867763984017,319.73217871272936,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m8,13,20,172.39110334776342,147.07251770305447,319.4636210508179,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m8,19,20,172.51942999428138,147.0290043449495,319.5484343392309,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m9,1,20,171.80470930761658,160.76805510092527,332.57276440854184,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m9,4,20,171.79765390465036,160.90680760680698,332.70446151145734,ae3908260db3ad12b6e5facaeca7d547c5037add438e3e2c479f087461a5085c
