method,source_id,repeat,tx_ms,rx_ms,total_ms
token-efficiency-digital-v1/raw/QPSK/N2048/m6,n01943899/ILSVRC2012_val_00005706_n01943899,2,9.80195205193013,118.33548208232969,128.13743413425982
token-efficiency-digital-v1/raw/QPSK/N2048/m7,n01943899/ILSVRC2012_val_00005706_n01943899,0,10.295431944541633,118.07139799930155,128.3668299438432
token-efficiency-digital-v1/raw/QPSK/N2048/m7,n01943899/ILSVRC2012_val_00005706_n01943899,1,10.177514981478453,117.75458499323577,127.93209997471422
token-efficiency-digital-v1/raw/QPSK/N2048/m7,n01943899/ILSVRC2012_val_00005706_n01943899,2,10.156436008401215,118.65337588824332,128.80981189664453
token-efficiency-digital-v1/raw/QPSK/N2048/m8,n01943899/ILSVRC2012_val_00005706_n01943899,0,10.906307958066463,118.34288400132209,129.24919195938855
token-efficiency-digital-v1/raw/QPSK/N2048/m8,n01943899/ILSVRC2012_val_00005706_n01943899,1,10.747833061031997,117.93772608507425,128.68555914610624
token-efficiency-digital-v1/raw/QPSK/N2048/m8,n01943899/ILSVRC2012_val_00005706_n01943899,2,10.803714976646006,117.81588604208082,128.61960101872683
token-efficiency-digital-v1/raw/QPSK/N3060/m6,n01943899/ILSVRC2012_val_00005706_n01943899,0,9.950101957656443,118.13269706908613,128.08279902674258
token-efficiency-digital-v1/raw/QPSK/N3060/m6,n01943899/ILSVRC2012_val_00005706_n01943899,1,9.85709996894002,118.1974719511345,128.05457192007452
token-efficiency-digital-v1/raw/QPSK/N3060/m6,n01943899/ILSVRC2012_val_00005706_n01943899,2,9.835041011683643,118.33549698349088,128.17053799517453
token-efficiency-digital-v1/raw/QPSK/N3060/m7,n01943899/ILSVRC2012_val_00005706_n01943899,0,10.423618950881064,118.46570996567607,128.88932891655713
token-efficiency-digital-v1/raw/QPSK/N3060/m7,n01943899/ILSVRC2012_val_00005706_n01943899,1,10.19388996064663,118.22875600773841,128.42264596838504
