image_index,image_id,snr_db,seed,repeat,method,mode,family,complex_uses,total_energy,TX_seconds,RX_seconds,peak_allocated_bytes,parameters_vae,parameters_var,signal_exact,image_exact,signal_max_error,image_max_error,header_accepted,body_crc_accepted,actual_image_sha256,actual_signal_sha256
0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,2,raw_adaptive_N4498,9,raw,4498,8996,0.010932439006865025,0.0597110360104125,1962910208,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,5dc335e796e466fd8cdc01ccfcd094ec7666ac16af21052b94f4ae28e53f73b8
0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,0,arithmetic_adaptive_N4498,9,arithmetic,4498,8996,0.07018635902204551,0.08047888800501823,1962874880,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,5cb9a6ade2ed5cc01d5b22785738a758a3c92a7e3b953ddd5ee81118a9c7141c
0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,1,arithmetic_adaptive_N4498,9,arithmetic,4498,8996,0.07023222499992698,0.08018441102467477,1962874880,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,5cb9a6ade2ed5cc01d5b22785738a758a3c92a7e3b953ddd5ee81118a9c7141c
0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,2,arithmetic_adaptive_N4498,9,arithmetic,4498,8996,0.06986149298609234,0.08090302199707367,1962874880,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,5cb9a6ade2ed5cc01d5b22785738a758a3c92a7e3b953ddd5ee81118a9c7141c
0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,0,raw_adaptive_N4204,9,raw,4204,8408,0.010856747976504266,0.05993047100491822,1962910208,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,3cb14e29ad67d308b986e894a89f4bce978dd5c8cb01f3f4aae4394a05eeda1a
0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,1,raw_adaptive_N4204,9,raw,4204,8408,0.01101022498914972,0.05982906400458887,1962910208,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,3cb14e29ad67d308b986e894a89f4bce978dd5c8cb01f3f4aae4394a05eeda1a
0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,2,raw_adaptive_N4204,9,raw,4204,8408,0.010887032985920087,0.060567827022168785,1962910208,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,3cb14e29ad67d308b986e894a89f4bce978dd5c8cb01f3f4aae4394a05eeda1a
0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,0,arithmetic_adaptive_N4204,9,arithmetic,4204,8408,0.07031435001408681,0.08124967201729305,1962874880,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,c66d3370e5535169cf569856bdfa17f2b2a754933d32c53e04ac799aabd93da6
0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,1,arithmetic_adaptive_N4204,9,arithmetic,4204,8408,0.07044050900731236,0.08121503199799918,1962874880,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,c66d3370e5535169cf569856bdfa17f2b2a754933d32c53e04ac799aabd93da6
0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,2,arithmetic_adaptive_N4204,9,arithmetic,4204,8408,0.07084703000145964,0.0811980809958186,1962874880,108948355,310283520,True,True,0.0,0.0,1,1,fa36f41a793c4c06cfd35bdaff2f6ca47c3048b251c4e5a57e98a484024399a9,c66d3370e5535169cf569856bdfa17f2b2a754933d32c53e04ac799aabd93da6
