method,source_index,snr_db,seed_keys,psnr_db,lpips_alex,dino_cosine
arithmetic_adaptive_m789_Dc,15,1.0,"2001,2002,2003",24.84625244140625,0.14818207422892252,0.9128852486610413
arithmetic_adaptive_m789_Dc,15,4.0,"2001,2002,2003",26.13262939453125,0.11106743663549423,0.9123358726501465
arithmetic_adaptive_m789_Dc,15,7.0,"2001,2002,2003",26.13262939453125,0.11106743663549423,0.9123358329137167
arithmetic_adaptive_m789_Dc,15,13.0,"2001,2002,2003",26.13262939453125,0.11106743663549423,0.9123357534408569
arithmetic_adaptive_m789_Dc,15,19.0,"2001,2002,2003",26.13262939453125,0.11106743663549423,0.9123357534408569
arithmetic_adaptive_m789_Dc,16,1.0,"2001,2002,2003",16.525546391805012,0.27354098856449127,0.8760736584663391
arithmetic_adaptive_m789_Dc,16,4.0,"2001,2002,2003",20.64118194580078,0.12823610504468283,0.9465855360031128
arithmetic_adaptive_m789_Dc,16,7.0,"2001,2002,2003",20.64118194580078,0.12823610504468283,0.9465855757395426
arithmetic_adaptive_m789_Dc,16,13.0,"2001,2002,2003",20.64118194580078,0.12823611001173654,0.9465856552124023
arithmetic_adaptive_m789_Dc,16,19.0,"2001,2002,2003",20.64118194580078,0.12823611001173654,0.9465856552124023
arithmetic_adaptive_m789_Dc,17,1.0,"2001,2002,2003",15.921142578125,0.18380545576413473,0.8961172103881836
arithmetic_adaptive_m789_Dc,17,4.0,"2001,2002,2003",16.897125244140625,0.16028995315233865,0.91060471534729
arithmetic_adaptive_m789_Dc,17,7.0,"2001,2002,2003",16.897125244140625,0.16028995315233865,0.91060471534729
arithmetic_adaptive_m789_Dc,17,13.0,"2001,2002,2003",16.897125244140625,0.1602899432182312,0.91060471534729
arithmetic_adaptive_m789_Dc,17,19.0,"2001,2002,2003",16.897125244140625,0.1602899432182312,0.91060471534729
arithmetic_adaptive_m789_Dc,18,1.0,"2001,2002,2003",20.704694112141926,0.1891489326953888,0.8672074675559998
arithmetic_adaptive_m789_Dc,18,4.0,"2001,2002,2003",22.513505935668945,0.11759148786465327,0.9208335876464844
arithmetic_adaptive_m789_Dc,18,7.0,"2001,2002,2003",22.513505935668945,0.11759148786465327,0.9208335876464844
arithmetic_adaptive_m789_Dc,18,13.0,"2001,2002,2003",22.513505935668945,0.11759148786465327,0.9208335876464844
arithmetic_adaptive_m789_Dc,18,19.0,"2001,2002,2003",22.513505935668945,0.1175914853811264,0.9208335876464844
arithmetic_adaptive_m789_Dc,19,1.0,"2001,2002,2003",22.275259017944336,0.10622727622588475,0.9377920627593994
arithmetic_adaptive_m789_Dc,19,4.0,"2001,2002,2003",23.61243438720703,0.08942896872758865,0.9441930651664734
arithmetic_adaptive_m789_Dc,19,7.0,"2001,2002,2003",23.61243438720703,0.08942896872758865,0.9441930850346884
arithmetic_adaptive_m789_Dc,19,13.0,"2001,2002,2003",23.61243438720703,0.08942896872758865,0.9441931247711182
arithmetic_adaptive_m789_Dc,19,19.0,"2001,2002,2003",23.61243438720703,0.08942896872758865,0.9441931247711182
arithmetic_adaptive_m789_Dc,20,1.0,"2001,2002,2003",22.68160120646159,0.09240648647149403,0.9373106360435486
arithmetic_adaptive_m789_Dc,20,4.0,"2001,2002,2003",25.923301696777344,0.059675669918457665,0.936682939529419
