method,snr_db,calls,tx_ms,rx_ms,total_ms,table_sha256
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,1,20,177.69226988311857,183.19071580190212,360.8829856850207,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,4,20,178.18711908767,183.56648999615572,361.7536090838257,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,7,20,178.4479107533116,183.87303079362027,362.32094154693186,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,13,20,178.976818616502,183.119253476616,362.096072093118,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m10,19,20,177.9490441957023,183.01314254640602,360.9621867421083,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,1,20,174.90731315338053,132.8258499444928,307.73316309787333,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,4,20,174.89083926193416,132.79604750568978,307.68688676762395,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,7,20,175.0809050980024,132.66118305618875,307.74208815419115,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,13,20,175.0803698087111,132.89891780586913,307.97928761458024,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m6,19,20,174.9000760668423,132.60723580606282,307.5073118729051,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,1,20,173.7540992500726,139.03708750731312,312.79118675738573,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,4,20,173.77681405632757,139.17329995310865,312.9501140094362,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,7,20,173.98902911227196,140.18597180838697,314.17500092065893,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,13,20,174.134898459306,139.22419306472875,313.35909152403474,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m7,19,20,173.9109824062325,138.97006054758094,312.88104295381345,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,1,20,173.52780579822138,148.30619845888577,321.83400425710715,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,4,20,173.06214499403723,147.97068645129912,321.03283144533634,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,7,20,173.12315669842064,148.03543774760328,321.1585944460239,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,13,20,172.7329521032516,147.98131450079381,320.7142666040454,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,19,20,172.97680870397016,148.0846716556698,321.06148035964,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
