method,snr_db,N,E_mean,E_min,E_p05,E_p95,E_max,energy_constraint,table_sha256
token-efficiency-digital-v1/raw/16QAM/N2048/m6,7,2048,4103.407999999999,3926.3999999999996,3999.84,4225.84,4294.4,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m6,13,2048,4103.407999999999,3926.3999999999996,3999.84,4225.84,4294.4,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m6,19,2048,4103.407999999999,3926.3999999999996,3999.84,4225.84,4294.4,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m7,1,2048,4103.44,3988.8,4028.6400000000003,4189.200000000001,4249.6,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m7,4,2048,4103.44,3988.8,4028.6400000000003,4189.200000000001,4249.6,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m7,7,2048,4103.44,3988.8,4028.6400000000003,4189.200000000001,4249.6,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m7,13,2048,4103.44,3988.8,4028.6400000000003,4189.200000000001,4249.6,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m7,19,2048,4103.44,3988.8,4028.6400000000003,4189.200000000001,4249.6,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m8,1,2048,4100.688,3961.6,4022.4,4192.16,4236.799999999999,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m8,4,2048,4100.688,3961.6,4022.4,4192.16,4236.799999999999,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m8,7,2048,4100.688,3961.6,4022.4,4192.16,4236.799999999999,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m8,13,2048,4100.688,3961.6,4022.4,4192.16,4236.799999999999,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m8,19,2048,4100.688,3961.6,4022.4,4192.16,4236.799999999999,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m9,1,2048,4093.12,3996.8,4018.56,4166.719999999999,4220.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
token-efficiency-digital-v1/raw/16QAM/N2048/m9,4,2048,4093.12,3996.8,4018.56,4166.719999999999,4220.8,fixed_constellation_average_2_per_symbol,e7b3037e9248b82b45a1db7aa332d8b69055c968ec8e2dd35df43684e7d85880
