method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,psnr_db,lpips_alex,dino_cosine
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2002,4084,8168,1,1,True,172,17.362171173095703,0.25276264548301697,0.8640522956848145
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2003,4084,8168,1,1,True,194,17.296890258789062,0.25294679403305054,0.8661649227142334
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,4.0,2003,4084,8168,1,1,True,172,17.33928871154785,0.24979212880134583,0.8665982484817505
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2001,4084,8168,1,1,True,194,17.440933227539062,0.24505457282066345,0.8726325035095215
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2001,4084,8168,1,1,True,172,17.46599578857422,0.24312765896320343,0.8751100301742554
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2002,4084,8168,1,1,True,194,17.413572311401367,0.2467290312051773,0.8674033284187317
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2002,4084,8168,1,1,True,172,17.438119888305664,0.2429502308368683,0.8679206371307373
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2003,4084,8168,1,1,True,194,17.402729034423828,0.24597492814064026,0.8701781034469604
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2003,4084,8168,1,1,True,172,17.4349365234375,0.24355661869049072,0.8732726573944092
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2001,4084,8168,1,1,True,194,17.536197662353516,0.2393023520708084,0.8814294338226318
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2001,4084,8168,1,1,True,172,17.545366287231445,0.2388305366039276,0.8816432952880859
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2002,4084,8168,1,1,True,194,17.515769958496094,0.2385956048965454,0.8714700937271118
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2002,4084,8168,1,1,True,172,17.527206420898438,0.2384897619485855,0.8719305992126465
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2003,4084,8168,1,1,True,194,17.525680541992188,0.23980498313903809,0.8805197477340698
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2003,4084,8168,1,1,True,172,17.53753089904785,0.2394947111606598,0.8803604245185852
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2001,4084,8168,1,1,True,194,17.568330764770508,0.23780442774295807,0.8807910680770874
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2001,4084,8168,1,1,True,172,17.57132339477539,0.23784765601158142,0.8803861737251282
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2002,4084,8168,1,1,True,194,17.557613372802734,0.23774439096450806,0.8753231763839722
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2002,4084,8168,1,1,True,172,17.56186294555664,0.23786945641040802,0.8759744167327881
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2003,4084,8168,1,1,True,194,17.566143035888672,0.23877915740013123,0.878982424736023
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2003,4084,8168,1,1,True,172,17.56989288330078,0.2385936975479126,0.8787366151809692
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2001,4084,8168,1,0,True,187,15.096858978271484,0.2409929484128952,0.6773862242698669
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2001,4084,8168,1,0,True,160,14.934805870056152,0.24330392479896545,0.5897505283355713
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2002,4084,8168,1,0,True,187,14.254459381103516,0.29055550694465637,0.6642134189605713
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2002,4084,8168,1,0,True,160,13.796177864074707,0.30594953894615173,0.5854697227478027
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2003,4084,8168,1,0,True,187,14.11894702911377,0.3649146556854248,0.23547986149787903
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2003,4084,8168,1,0,True,160,13.749931335449219,0.40602782368659973,0.20015990734100342
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2001,4084,8168,1,1,True,187,16.117630004882812,0.18811199069023132,0.8828819394111633
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2001,4084,8168,1,1,True,160,16.18730926513672,0.18707767128944397,0.8773540258407593
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2002,4084,8168,1,1,True,187,16.09952735900879,0.19271579384803772,0.8761360049247742
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2002,4084,8168,1,1,True,160,16.16826820373535,0.19169902801513672,0.8707579970359802
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2003,4084,8168,1,1,True,187,16.12613868713379,0.19255581498146057,0.8723816871643066
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2003,4084,8168,1,1,True,160,16.198238372802734,0.19028067588806152,0.8740584254264832
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2001,4084,8168,1,1,True,187,16.259201049804688,0.18643218278884888,0.8712491393089294
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2001,4084,8168,1,1,True,160,16.30795669555664,0.1854122132062912,0.8679909706115723
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2002,4084,8168,1,1,True,187,16.238080978393555,0.1906050145626068,0.8639930486679077
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2002,4084,8168,1,1,True,160,16.286474227905273,0.1898270845413208,0.8587197065353394
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2003,4084,8168,1,1,True,187,16.27121353149414,0.18799971044063568,0.8733699321746826
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2003,4084,8168,1,1,True,160,16.320449829101562,0.18684256076812744,0.871116042137146
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2001,4084,8168,1,1,True,187,16.40652847290039,0.1837191879749298,0.8648645281791687
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2001,4084,8168,1,1,True,160,16.421215057373047,0.18350785970687866,0.8646205067634583
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2002,4084,8168,1,1,True,187,16.387557983398438,0.1877085119485855,0.8497266173362732
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2002,4084,8168,1,1,True,160,16.40378761291504,0.18732208013534546,0.8498789072036743
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2003,4084,8168,1,1,True,187,16.416776657104492,0.18555545806884766,0.8627144694328308
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2003,4084,8168,1,1,True,160,16.43064308166504,0.184909850358963,0.862067699432373
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2001,4084,8168,1,1,True,187,16.448654174804688,0.18393144011497498,0.8626745939254761
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2001,4084,8168,1,1,True,160,16.45184326171875,0.18388596177101135,0.8623704314231873
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2002,4084,8168,1,1,True,187,16.435880661010742,0.186079740524292,0.8520163297653198
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2002,4084,8168,1,1,True,160,16.4407901763916,0.1856682300567627,0.853455662727356
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2003,4084,8168,1,1,True,187,16.454622268676758,0.18356651067733765,0.8600205183029175
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2003,4084,8168,1,1,True,160,16.45710563659668,0.18330657482147217,0.859911322593689
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2001,4084,8168,1,0,True,165,17.26561737060547,0.2898677885532379,0.7484111785888672
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2001,4084,8168,1,0,True,141,16.962703704833984,0.3108837306499481,0.7435934543609619
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2002,4084,8168,1,0,True,165,17.636096954345703,0.22550731897354126,0.7767136096954346
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2002,4084,8168,1,0,True,141,17.43144416809082,0.23440687358379364,0.7633384466171265
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2003,4084,8168,1,0,True,165,17.39351463317871,0.2789728343486786,0.7969602346420288
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2003,4084,8168,1,0,True,141,17.1231689453125,0.2890351712703705,0.7722069025039673
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2001,4084,8168,1,1,True,165,18.435958862304688,0.18870621919631958,0.8902356028556824
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2001,4084,8168,1,1,True,141,18.492961883544922,0.1866913139820099,0.8921751379966736
source,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2002,4084,8168,1,1,True,165,18.335195541381836,0.19061613082885742,0.8584943413734436
residual,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2002,4084,8168,1,1,True,141,18.399051666259766,0.1894199550151825,0.8631163835525513
