method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,enhancement_energy,psnr_db,lpips_alex,dino_cosine
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2001,4084,8168,1,1,True,172,2047.999755859375,17.571210861206055,0.23784932494163513,0.8804022073745728
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2002,4084,8168,1,1,True,194,2047.9998779296875,17.55741310119629,0.2377670258283615,0.8752734065055847
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2002,4084,8168,1,1,True,172,2047.999755859375,17.56178092956543,0.23786470293998718,0.8759989738464355
source,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2003,4084,8168,1,1,True,194,2047.9998779296875,17.566097259521484,0.23878124356269836,0.8789477348327637
residual,2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2003,4084,8168,1,1,True,172,2047.999755859375,17.569650650024414,0.23860199749469757,0.8787093162536621
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2001,4084,8168,1,0,True,187,2047.999755859375,15.096559524536133,0.24099892377853394,0.6770650744438171
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2001,4084,8168,1,0,True,160,2048.0,14.935059547424316,0.24328798055648804,0.589920699596405
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2002,4084,8168,1,0,True,187,2047.999755859375,14.254758834838867,0.2903442084789276,0.6613991260528564
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2002,4084,8168,1,0,True,160,2048.0,13.797245979309082,0.30617034435272217,0.5881553888320923
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2003,4084,8168,1,0,True,187,2047.999755859375,14.118480682373047,0.3649817407131195,0.23560218513011932
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2003,4084,8168,1,0,True,160,2048.0,13.749849319458008,0.40603888034820557,0.20028670132160187
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2001,4084,8168,1,1,True,187,2047.999755859375,16.1176815032959,0.18809041380882263,0.8827790021896362
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2001,4084,8168,1,1,True,160,2048.0,16.187345504760742,0.18706771731376648,0.8772278428077698
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2002,4084,8168,1,1,True,187,2047.999755859375,16.099655151367188,0.19270698726177216,0.8760356903076172
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2002,4084,8168,1,1,True,160,2048.0,16.16843605041504,0.1917046457529068,0.8706380128860474
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2003,4084,8168,1,1,True,187,2047.999755859375,16.12628746032715,0.19254805147647858,0.8723273873329163
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2003,4084,8168,1,1,True,160,2048.0,16.198448181152344,0.19027237594127655,0.8739548325538635
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2001,4084,8168,1,1,True,187,2047.999755859375,16.259262084960938,0.1864272654056549,0.8711674213409424
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2001,4084,8168,1,1,True,160,2048.0,16.308000564575195,0.18541693687438965,0.8678468465805054
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2002,4084,8168,1,1,True,187,2047.999755859375,16.238117218017578,0.1905975043773651,0.8638925552368164
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2002,4084,8168,1,1,True,160,2048.0,16.28646469116211,0.18982765078544617,0.8586384654045105
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2003,4084,8168,1,1,True,187,2047.999755859375,16.271268844604492,0.18799135088920593,0.873264729976654
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2003,4084,8168,1,1,True,160,2048.0,16.320459365844727,0.1868310272693634,0.8710067272186279
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2001,4084,8168,1,1,True,187,2047.999755859375,16.4064998626709,0.18371884524822235,0.8647875189781189
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2001,4084,8168,1,1,True,160,2048.0,16.421194076538086,0.18348926305770874,0.8645339012145996
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2002,4084,8168,1,1,True,187,2047.999755859375,16.387529373168945,0.18768788874149323,0.8496173620223999
residual,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2002,4084,8168,1,1,True,160,2048.0,16.40376853942871,0.18731944262981415,0.849768877029419
source,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2003,4084,8168,1,1,True,187,2047.999755859375,16.4168643951416,0.1855488419532776,0.8626144528388977
