method,snr_db,attempts,header_failures,body_failures_with_valid_header,source_overflow_erasures,energy_constraint,E_mean
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m8,13,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m8,19,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m9,1,300,0,300,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m9,4,300,0,214,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m9,7,300,0,36,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m9,13,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N2048/m9,19,300,0,0,0,per_frame_2N,4096.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m10,1,300,0,300,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m10,4,300,0,287,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m10,7,300,0,89,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m10,13,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m10,19,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m6,1,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m6,4,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m6,7,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m6,13,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m6,19,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m7,1,300,0,4,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m7,4,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m7,7,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m7,13,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m7,19,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m8,1,300,0,278,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m8,4,300,0,1,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m8,7,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m8,13,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m8,19,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m9,1,300,0,298,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m9,4,300,0,247,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m9,7,300,0,2,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m9,13,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N3060/m9,19,300,0,0,0,per_frame_2N,6120.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m10,1,300,0,300,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m10,4,300,0,284,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m10,7,300,0,49,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m10,13,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m10,19,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m6,1,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m6,4,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m6,7,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m6,13,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m6,19,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m7,1,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m7,4,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m7,7,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m7,13,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m7,19,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m8,1,300,0,81,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m8,4,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m8,7,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m8,13,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m8,19,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m9,1,300,0,292,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m9,4,300,0,14,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m9,7,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m9,13,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/arithmetic/QPSK/N4084/m9,19,300,0,0,0,per_frame_2N,8168.0
token-efficiency-digital-v1/raw/16QAM/N2048/m6,1,300,0,167,0,fixed_constellation_average_2_per_symbol,4103.407999999999
token-efficiency-digital-v1/raw/16QAM/N2048/m6,4,300,0,0,0,fixed_constellation_average_2_per_symbol,4103.407999999999
token-efficiency-digital-v1/raw/16QAM/N2048/m6,7,300,0,0,0,fixed_constellation_average_2_per_symbol,4103.407999999999
token-efficiency-digital-v1/raw/16QAM/N2048/m6,13,300,0,0,0,fixed_constellation_average_2_per_symbol,4103.407999999999
token-efficiency-digital-v1/raw/16QAM/N2048/m6,19,300,0,0,0,fixed_constellation_average_2_per_symbol,4103.407999999999
token-efficiency-digital-v1/raw/16QAM/N2048/m7,1,300,0,300,0,fixed_constellation_average_2_per_symbol,4103.44
token-efficiency-digital-v1/raw/16QAM/N2048/m7,4,300,0,67,0,fixed_constellation_average_2_per_symbol,4103.44
token-efficiency-digital-v1/raw/16QAM/N2048/m7,7,300,0,0,0,fixed_constellation_average_2_per_symbol,4103.44
token-efficiency-digital-v1/raw/16QAM/N2048/m7,13,300,0,0,0,fixed_constellation_average_2_per_symbol,4103.44
token-efficiency-digital-v1/raw/16QAM/N2048/m7,19,300,0,0,0,fixed_constellation_average_2_per_symbol,4103.44
token-efficiency-digital-v1/raw/16QAM/N2048/m8,1,300,0,300,0,fixed_constellation_average_2_per_symbol,4100.688
token-efficiency-digital-v1/raw/16QAM/N2048/m8,4,300,0,300,0,fixed_constellation_average_2_per_symbol,4100.688
token-efficiency-digital-v1/raw/16QAM/N2048/m8,7,300,0,53,0,fixed_constellation_average_2_per_symbol,4100.688
token-efficiency-digital-v1/raw/16QAM/N2048/m8,13,300,0,0,0,fixed_constellation_average_2_per_symbol,4100.688
token-efficiency-digital-v1/raw/16QAM/N2048/m8,19,300,0,0,0,fixed_constellation_average_2_per_symbol,4100.688
token-efficiency-digital-v1/raw/16QAM/N2048/m9,1,300,0,300,0,fixed_constellation_average_2_per_symbol,4093.12
token-efficiency-digital-v1/raw/16QAM/N2048/m9,4,300,0,300,0,fixed_constellation_average_2_per_symbol,4093.12
token-efficiency-digital-v1/raw/16QAM/N2048/m9,7,300,0,300,0,fixed_constellation_average_2_per_symbol,4093.12
token-efficiency-digital-v1/raw/16QAM/N2048/m9,13,300,0,0,0,fixed_constellation_average_2_per_symbol,4093.12
token-efficiency-digital-v1/raw/16QAM/N2048/m9,19,300,0,0,0,fixed_constellation_average_2_per_symbol,4093.12
token-efficiency-digital-v1/raw/16QAM/N3060/m10,1,300,0,300,0,fixed_constellation_average_2_per_symbol,6123.28
token-efficiency-digital-v1/raw/16QAM/N3060/m10,4,300,0,300,0,fixed_constellation_average_2_per_symbol,6123.28
token-efficiency-digital-v1/raw/16QAM/N3060/m10,7,300,0,300,0,fixed_constellation_average_2_per_symbol,6123.28
token-efficiency-digital-v1/raw/16QAM/N3060/m10,13,300,0,0,0,fixed_constellation_average_2_per_symbol,6123.28
token-efficiency-digital-v1/raw/16QAM/N3060/m10,19,300,0,0,0,fixed_constellation_average_2_per_symbol,6123.28
token-efficiency-digital-v1/raw/16QAM/N3060/m6,1,300,0,7,0,fixed_constellation_average_2_per_symbol,6135.936000000001
token-efficiency-digital-v1/raw/16QAM/N3060/m6,4,300,0,0,0,fixed_constellation_average_2_per_symbol,6135.936000000001
token-efficiency-digital-v1/raw/16QAM/N3060/m6,7,300,0,0,0,fixed_constellation_average_2_per_symbol,6135.936000000001
token-efficiency-digital-v1/raw/16QAM/N3060/m6,13,300,0,0,0,fixed_constellation_average_2_per_symbol,6135.936000000001
token-efficiency-digital-v1/raw/16QAM/N3060/m6,19,300,0,0,0,fixed_constellation_average_2_per_symbol,6135.936000000001
token-efficiency-digital-v1/raw/16QAM/N3060/m7,1,300,0,288,0,fixed_constellation_average_2_per_symbol,6130.2880000000005
token-efficiency-digital-v1/raw/16QAM/N3060/m7,4,300,0,2,0,fixed_constellation_average_2_per_symbol,6130.2880000000005
token-efficiency-digital-v1/raw/16QAM/N3060/m7,7,300,0,0,0,fixed_constellation_average_2_per_symbol,6130.2880000000005
token-efficiency-digital-v1/raw/16QAM/N3060/m7,13,300,0,0,0,fixed_constellation_average_2_per_symbol,6130.2880000000005
token-efficiency-digital-v1/raw/16QAM/N3060/m7,19,300,0,0,0,fixed_constellation_average_2_per_symbol,6130.2880000000005
token-efficiency-digital-v1/raw/16QAM/N3060/m8,1,300,0,300,0,fixed_constellation_average_2_per_symbol,6135.104
token-efficiency-digital-v1/raw/16QAM/N3060/m8,4,300,0,178,0,fixed_constellation_average_2_per_symbol,6135.104
token-efficiency-digital-v1/raw/16QAM/N3060/m8,7,300,0,0,0,fixed_constellation_average_2_per_symbol,6135.104
token-efficiency-digital-v1/raw/16QAM/N3060/m8,13,300,0,0,0,fixed_constellation_average_2_per_symbol,6135.104
token-efficiency-digital-v1/raw/16QAM/N3060/m8,19,300,0,0,0,fixed_constellation_average_2_per_symbol,6135.104
token-efficiency-digital-v1/raw/16QAM/N3060/m9,1,300,0,300,0,fixed_constellation_average_2_per_symbol,6124.432000000001
token-efficiency-digital-v1/raw/16QAM/N3060/m9,4,300,0,300,0,fixed_constellation_average_2_per_symbol,6124.432000000001
token-efficiency-digital-v1/raw/16QAM/N3060/m9,7,300,0,181,0,fixed_constellation_average_2_per_symbol,6124.432000000001
token-efficiency-digital-v1/raw/16QAM/N3060/m9,13,300,0,0,0,fixed_constellation_average_2_per_symbol,6124.432000000001
token-efficiency-digital-v1/raw/16QAM/N3060/m9,19,300,0,0,0,fixed_constellation_average_2_per_symbol,6124.432000000001
token-efficiency-digital-v1/raw/16QAM/N4084/m10,1,300,0,300,0,fixed_constellation_average_2_per_symbol,8164.88
token-efficiency-digital-v1/raw/16QAM/N4084/m10,4,300,0,300,0,fixed_constellation_average_2_per_symbol,8164.88
token-efficiency-digital-v1/raw/16QAM/N4084/m10,7,300,0,300,0,fixed_constellation_average_2_per_symbol,8164.88
token-efficiency-digital-v1/raw/16QAM/N4084/m10,13,300,0,0,0,fixed_constellation_average_2_per_symbol,8164.88
token-efficiency-digital-v1/raw/16QAM/N4084/m10,19,300,0,0,0,fixed_constellation_average_2_per_symbol,8164.88
token-efficiency-digital-v1/raw/16QAM/N4084/m6,1,300,0,1,0,fixed_constellation_average_2_per_symbol,8184.607999999999
token-efficiency-digital-v1/raw/16QAM/N4084/m6,4,300,0,0,0,fixed_constellation_average_2_per_symbol,8184.607999999999
token-efficiency-digital-v1/raw/16QAM/N4084/m6,7,300,0,0,0,fixed_constellation_average_2_per_symbol,8184.607999999999
token-efficiency-digital-v1/raw/16QAM/N4084/m6,13,300,0,0,0,fixed_constellation_average_2_per_symbol,8184.607999999999
token-efficiency-digital-v1/raw/16QAM/N4084/m6,19,300,0,0,0,fixed_constellation_average_2_per_symbol,8184.607999999999
token-efficiency-digital-v1/raw/16QAM/N4084/m7,1,300,0,88,0,fixed_constellation_average_2_per_symbol,8182.751999999999
token-efficiency-digital-v1/raw/16QAM/N4084/m7,4,300,0,0,0,fixed_constellation_average_2_per_symbol,8182.751999999999
token-efficiency-digital-v1/raw/16QAM/N4084/m7,7,300,0,0,0,fixed_constellation_average_2_per_symbol,8182.751999999999
token-efficiency-digital-v1/raw/16QAM/N4084/m7,13,300,0,0,0,fixed_constellation_average_2_per_symbol,8182.751999999999
token-efficiency-digital-v1/raw/16QAM/N4084/m7,19,300,0,0,0,fixed_constellation_average_2_per_symbol,8182.751999999999
token-efficiency-digital-v1/raw/16QAM/N4084/m8,1,300,0,300,0,fixed_constellation_average_2_per_symbol,8189.248
token-efficiency-digital-v1/raw/16QAM/N4084/m8,4,300,0,16,0,fixed_constellation_average_2_per_symbol,8189.248
token-efficiency-digital-v1/raw/16QAM/N4084/m8,7,300,0,0,0,fixed_constellation_average_2_per_symbol,8189.248
token-efficiency-digital-v1/raw/16QAM/N4084/m8,13,300,0,0,0,fixed_constellation_average_2_per_symbol,8189.248
token-efficiency-digital-v1/raw/16QAM/N4084/m8,19,300,0,0,0,fixed_constellation_average_2_per_symbol,8189.248
token-efficiency-digital-v1/raw/16QAM/N4084/m9,1,300,0,300,0,fixed_constellation_average_2_per_symbol,8164.816
token-efficiency-digital-v1/raw/16QAM/N4084/m9,4,300,0,300,0,fixed_constellation_average_2_per_symbol,8164.816
token-efficiency-digital-v1/raw/16QAM/N4084/m9,7,300,0,7,0,fixed_constellation_average_2_per_symbol,8164.816
token-efficiency-digital-v1/raw/16QAM/N4084/m9,13,300,0,0,0,fixed_constellation_average_2_per_symbol,8164.816
token-efficiency-digital-v1/raw/16QAM/N4084/m9,19,300,0,0,0,fixed_constellation_average_2_per_symbol,8164.816
token-efficiency-digital-v1/raw/QPSK/N2048/m6,1,300,0,6,0,per_frame_2N,4096.0
