method,protocol,complex_uses,total_energy,scope,source_images,transmissions,psnr_db,psnr_db_ci_low,psnr_db_ci_high,ssim,ssim_ci_low,ssim_ci_high,lpips,lpips_ci_low,lpips_ci_high,dino,dino_ci_low,dino_ci_high
adjscc_c4,common_paid_information,8192,16384,primary_1_4_7,100,900,27.187584582434766,26.46663762807847,27.888433172755775,0.7845278463098738,0.7647562587352265,0.8038115683504277,0.2121266067731712,0.19358173743428458,0.23149212647457104,0.7714269697997306,0.750760058204333,0.7908410158347751
adjscc_c4,common_paid_information,8192,16384,high_13_19,100,600,30.27840483665466,29.47355158511795,31.05945667258899,0.8729044533769289,0.8588043711433809,0.8863751274570826,0.12006838292038687,0.106404018518903,0.13461272419880457,0.9216364767154057,0.9101994213163854,0.931773294016719
adjscc_c6,common_paid_information,12288,24576,snr_1,100,300,26.63489181518555,25.94045924504598,27.309170501232146,0.7690990022818249,0.748718042716384,0.7889866709808508,0.2181326807166139,0.20028657796295984,0.23671731286309664,0.7386213352282843,0.7142468202387294,0.7616267305612564
adjscc_c6,common_paid_information,12288,24576,snr_4,100,300,28.069162489573156,27.357257688045514,28.75905727163951,0.8200224524736406,0.8031599564552303,0.8364895367473365,0.1577740003913641,0.14379394347112004,0.17230438331204154,0.8462221547961235,0.8300927048822244,0.8610915437440076
adjscc_c6,common_paid_information,12288,24576,snr_7,100,300,29.25855798721313,28.529732581456503,29.965416159311932,0.8551817184686661,0.8408308693220214,0.8690329057276249,0.117704086182639,0.10649343169705633,0.12956068317956915,0.9037575261791546,0.8922624277547003,0.9139903061687948
adjscc_c6,common_paid_information,12288,24576,snr_13,100,300,30.83215984344482,30.071274676005043,31.567465833187118,0.8920808337132137,0.8803910017659268,0.9033183909356591,0.08008500440667071,0.07146834082125375,0.0893645297662976,0.9466616678237914,0.938613446444273,0.9533477580547329
adjscc_c6,common_paid_information,12288,24576,snr_19,100,300,31.514296563466388,30.724870028813665,32.28407025178273,0.9052484512329102,0.8943230300098653,0.915740324065089,0.06449884380369136,0.05682571927915949,0.0728003189949862,0.9585295289754869,0.9512923444360494,0.9645122338980439
adjscc_c6,common_paid_information,12288,24576,primary_1_4_7,100,900,27.98753743065728,27.27547938087251,28.676202920224924,0.8147677244080437,0.7975915912406313,0.8315366017669441,0.16453692243020568,0.15019986513704572,0.17944369381961103,0.8295336720678541,0.8128568793079914,0.8451388088862097
adjscc_c6,common_paid_information,12288,24576,high_13_19,100,600,31.173228203455597,30.398528884569807,31.92475018342337,0.898664642473062,0.8873775357330838,0.9095069508577389,0.07229192410518104,0.06414258742741852,0.08105550085095459,0.9525955983996391,0.945017551826934,0.9588940379470585
arithmetic_adaptive,common_paid_information,3060,6120,snr_1,100,300,18.09179816881816,17.48801771434148,18.699933514038722,0.4532582142328223,0.4156431776192039,0.4897909331967433,0.23448540014525257,0.2216736423720916,0.24721292932393657,0.8481807916363081,0.8338658839836717,0.862003404016296
arithmetic_adaptive,common_paid_information,3060,6120,snr_4,100,300,19.691623792648315,19.05573986649513,20.31077794289589,0.5124609646201134,0.47555984009057284,0.5480594272240996,0.17714132828637957,0.1667209148230031,0.18770977244572715,0.8897296416759491,0.878869068518281,0.9001936341673136
arithmetic_adaptive,common_paid_information,3060,6120,snr_7,100,300,21.224103310902912,20.562536241054538,21.85461956787109,0.5695569469531376,0.534140326452752,0.6034853343814612,0.13611351401855548,0.12706147615332158,0.14548989787573616,0.9237760400772095,0.9167260469545921,0.9306366777668397
arithmetic_adaptive,common_paid_information,3060,6120,snr_13,100,300,21.24372802734375,20.583087951660158,21.875743557929994,0.5698160606622696,0.5343905707709491,0.6038470960147678,0.1358956206962466,0.12679857324436308,0.14533223799057304,0.9238587516546249,0.9167756939083338,0.9307554654628039
