method,protocol,complex_uses,scope,image_index,image_id,psnr_db,ssim,lpips,dino
adjscc_c2,common_paid_information,4096,snr_4,10,n01882714/ILSVRC2012_val_00019996_n01882714,23.189170837402344,0.6314720312754313,0.4699353079001109,0.6909927527109782
adjscc_c2,common_paid_information,4096,snr_4,11,n01943899/ILSVRC2012_val_00005706_n01943899,22.45483334859212,0.563195546468099,0.4723275403181712,0.36251847942670185
adjscc_c2,common_paid_information,4096,snr_4,12,n01955084/ILSVRC2012_val_00001857_n01955084,25.999435424804688,0.7304121454556783,0.3054363926251729,0.6376242637634277
adjscc_c2,common_paid_information,4096,snr_4,13,n01983481/ILSVRC2012_val_00019856_n01983481,24.019751230875652,0.6319751739501953,0.2510332117478053,0.47044872244199115
adjscc_c2,common_paid_information,4096,snr_4,14,n02013706/ILSVRC2012_val_00003168_n02013706,20.57601483662923,0.7241202592849731,0.25517529249191284,0.6400983929634094
adjscc_c2,common_paid_information,4096,snr_4,15,n02027492/ILSVRC2012_val_00007524_n02027492,29.46092351277669,0.8151044646898905,0.275977482398351,0.754083514213562
adjscc_c2,common_paid_information,4096,snr_4,16,n02088094/ILSVRC2012_val_00005507_n02088094,24.08301544189453,0.7240488727887472,0.3279615044593811,0.5553428729375204
adjscc_c2,common_paid_information,4096,snr_4,17,n02090622/ILSVRC2012_val_00006265_n02090622,19.87430254618327,0.5688399275143942,0.43571839729944867,0.515640507141749
adjscc_c2,common_paid_information,4096,snr_4,18,n02096177/ILSVRC2012_val_00019083_n02096177,25.62088394165039,0.5864157875378927,0.4628131588300069,0.6201547384262085
adjscc_c2,common_paid_information,4096,snr_4,19,n02098286/ILSVRC2012_val_00038253_n02098286,28.447017033894856,0.7981566985448202,0.2504635751247406,0.5878370602925619
adjscc_c2,common_paid_information,4096,snr_4,20,n02102480/ILSVRC2012_val_00010261_n02102480,28.962980270385742,0.815923790136973,0.25657135248184204,0.6680625875790914
adjscc_c2,common_paid_information,4096,snr_4,21,n02105641/ILSVRC2012_val_00018762_n02105641,23.327342987060547,0.6370263894399008,0.43200579285621643,0.49940035740534466
adjscc_c2,common_paid_information,4096,snr_4,22,n02106550/ILSVRC2012_val_00014315_n02106550,24.580604553222656,0.6938333511352539,0.2884667019049327,0.5813543200492859
adjscc_c2,common_paid_information,4096,snr_4,23,n02107683/ILSVRC2012_val_00010786_n02107683,29.19203503926595,0.7665899594624838,0.3901176452636719,0.666468878587087
adjscc_c2,common_paid_information,4096,snr_4,24,n02110806/ILSVRC2012_val_00030364_n02110806,24.326691309611004,0.7126787503560384,0.3726378877957662,0.5038904945055643
adjscc_c2,common_paid_information,4096,snr_4,25,n02113799/ILSVRC2012_val_00007866_n02113799,25.256615956624348,0.6320948998133341,0.43627698222796124,0.27283334235350293
adjscc_c2,common_paid_information,4096,snr_4,26,n02123159/ILSVRC2012_val_00025723_n02123159,20.058916727701824,0.45997823278109234,0.5629283785820007,0.6258285641670227
adjscc_c2,common_paid_information,4096,snr_4,27,n02134084/ILSVRC2012_val_00020332_n02134084,26.331249872843426,0.6425721446673075,0.396099050839742,0.6695047815640768
adjscc_c2,common_paid_information,4096,snr_4,28,n02168699/ILSVRC2012_val_00040132_n02168699,23.988187154134113,0.5323840181032816,0.4406469961007436,0.6551464796066284
adjscc_c2,common_paid_information,4096,snr_4,29,n02233338/ILSVRC2012_val_00016160_n02233338,25.425628662109375,0.7078134814898173,0.3559342622756958,0.46418070793151855
adjscc_c2,common_paid_information,4096,snr_4,30,n02264363/ILSVRC2012_val_00027803_n02264363,30.333080291748047,0.8741398255030314,0.2732143799463908,0.5909316738446554
adjscc_c2,common_paid_information,4096,snr_4,31,n02277742/ILSVRC2012_val_00015608_n02277742,19.340161005655926,0.4913785457611084,0.3820752600828807,0.5250137050946554
adjscc_c2,common_paid_information,4096,snr_4,32,n02325366/ILSVRC2012_val_00024858_n02325366,25.60116449991862,0.7980265816052755,0.19655870894591013,0.7766591509183248
adjscc_c2,common_paid_information,4096,snr_4,33,n02398521/ILSVRC2012_val_00018354_n02398521,23.779272079467773,0.6296507120132446,0.4882366855939229,0.5722798506418864
adjscc_c2,common_paid_information,4096,snr_4,34,n02410509/ILSVRC2012_val_00022568_n02410509,27.980705897013348,0.7953924735387167,0.31519682208697003,0.6263067324956259
adjscc_c2,common_paid_information,4096,snr_4,35,n02437312/ILSVRC2012_val_00006245_n02437312,18.930884679158527,0.431356946627299,0.5963232318560282,0.46990246574083966
adjscc_c2,common_paid_information,4096,snr_4,36,n02486410/ILSVRC2012_val_00009799_n02486410,28.22565460205078,0.8478309710820516,0.2671305537223816,0.5157885849475861
adjscc_c2,common_paid_information,4096,snr_4,37,n02509815/ILSVRC2012_val_00014423_n02509815,27.31841786702474,0.7874753475189209,0.2880324224630992,0.6707086165746053
adjscc_c2,common_paid_information,4096,snr_4,38,n02708093/ILSVRC2012_val_00024690_n02708093,25.17885144551595,0.81339430809021,0.20075754821300507,0.7599456707636515
adjscc_c2,common_paid_information,4096,snr_4,39,n02776631/ILSVRC2012_val_00028186_n02776631,20.482575098673504,0.618410567442576,0.37294353048006695,0.6155014038085938
adjscc_c2,common_paid_information,4096,snr_4,40,n02788148/ILSVRC2012_val_00012264_n02788148,24.709784825642902,0.6972924470901489,0.3311285376548767,0.8154596090316772
adjscc_c2,common_paid_information,4096,snr_4,41,n02834397/ILSVRC2012_val_00010741_n02834397,26.056808471679688,0.7490478157997131,0.2606789469718933,0.561084528764089
adjscc_c2,common_paid_information,4096,snr_4,42,n02841315/ILSVRC2012_val_00014601_n02841315,23.129060745239258,0.6158017714818319,0.34563477834065753,0.6402978301048279
adjscc_c2,common_paid_information,4096,snr_4,43,n02910353/ILSVRC2012_val_00017543_n02910353,22.789684295654297,0.7387346625328064,0.3186066150665283,0.6849515636761984
adjscc_c2,common_paid_information,4096,snr_4,44,n02951585/ILSVRC2012_val_00008336_n02951585,28.316740036010742,0.8470074931780497,0.3055955668290456,0.6331633726755778
