method,method_complex_uses,control,control_complex_uses,scope,metric,equal_resource,source_images,mean_method_minus_control,ci_low,ci_high,interpretation
adjscc_c2,4096,raw_adaptive,3060,snr_4,psnr_db,False,100,5.137955369949341,4.922284103790918,5.3492199543317165,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_4,ssim,False,100,0.19210747520128887,0.17797649401302135,0.20643096118172008,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_4,lpips,False,100,0.154778129948924,0.13479707222059364,0.17517975427194807,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_4,dino,False,100,-0.29527531961599984,-0.3203928262951474,-0.27186923303703475,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_7,psnr_db,False,100,4.744347562789917,4.556466378529869,4.927636536518732,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_7,ssim,False,100,0.17872169221440953,0.16407246234267947,0.1934761349546412,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_7,lpips,False,100,0.15300258713463943,0.13455484530826411,0.171944341656131,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_7,dino,False,100,-0.22190376599629721,-0.24419784562538066,-0.20068197705845045,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_13,psnr_db,False,100,6.096652978261313,5.853728515783947,6.338591606934865,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_13,ssim,False,100,0.22151621997356416,0.20424829846248033,0.23901960572476194,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_13,lpips,False,100,0.11432752230515084,0.09638746286649254,0.13305089143570512,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_13,dino,False,100,-0.13072336475054425,-0.14891803125043715,-0.11372355427841345,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_19,psnr_db,False,100,6.64533550898234,6.356309316317239,6.93499365568161,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_19,ssim,False,100,0.23678972800572715,0.2187005185323458,0.25513749664401014,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_19,lpips,False,100,0.1007974841631949,0.08296317821989456,0.11948950041302794,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,snr_19,dino,False,100,-0.10012106388807299,-0.11644773898025357,-0.08489355807503067,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,primary_1_4_7,psnr_db,False,100,5.1333151531219485,4.923182056056129,5.339700573497352,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,primary_1_4_7,ssim,False,100,0.1890843351599243,0.17546105067845832,0.2028430190982504,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,primary_1_4_7,lpips,False,100,0.15490482529211375,0.13528748398144833,0.1749369831334075,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,primary_1_4_7,dino,False,100,-0.30925437404049766,-0.33295260023160134,-0.28662884904030295,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,high_13_19,psnr_db,False,100,6.370994243621826,6.105508021831513,6.636392582337063,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,high_13_19,ssim,False,100,0.22915297398964563,0.2114317537297805,0.2470904108099639,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,high_13_19,lpips,False,100,0.10756250323417288,0.08969832787530811,0.12625777371545946,system_comparison_not_architecture_causality
adjscc_c2,4096,raw_adaptive,3060,high_13_19,dino,False,100,-0.11542221431930859,-0.13252444935714208,-0.0994455567908784,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_1,psnr_db,False,100,3.9359800974528,3.741287508249282,4.134194166024528,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_1,ssim,False,100,0.14560608531037966,0.13658635992805163,0.15482284343863534,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_1,lpips,False,100,0.1051757875705759,0.08682215573452412,0.12439150807478778,system_comparison_not_architecture_causality
adjscc_c2,4096,wetok_r3,3060,snr_1,dino,False,100,-0.1457377298672994,-0.17627201991776623,-0.11576541444100438,system_comparison_not_architecture_causality
