method,complex_uses,scope,source_images,timing_rows,TX_mean_ms,RX_mean_ms,TX_p95_ms,RX_p95_ms,single_method_peak_allocated_MiB,communication_parameters,NFE_mean,scope_note
adjscc_c6,12288,snr_13,100,300,3.336719635214346,24.30817258292033,3.4117773931939155,24.378897197311744,269.45166015625,15986268,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
adjscc_c6,12288,snr_19,100,300,3.3274151606019586,24.30686468433123,3.412002256663982,24.37843045045156,269.45166015625,15986268,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
adjscc_c6,12288,primary_1_4_7,100,900,3.3335663046131634,24.30690570081222,3.4168710524681956,24.370913486927748,269.45166015625,15986268,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
adjscc_c6,12288,high_13_19,100,600,3.3320673979081525,24.30751863362578,3.411939856596291,24.378897197311744,269.45166015625,15986268,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra32,4498,snr_1,100,300,5.841707993143548,5.578569036345773,5.92258219840005,5.700044037075713,260.7373046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra32,4498,snr_4,100,300,5.830631459927342,5.572932576275586,5.930611400981434,5.678422043274622,260.7373046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra32,4498,snr_7,100,300,5.84157184571571,5.579217196888446,5.927474130294286,5.723214441968594,260.7373046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra32,4498,snr_13,100,300,5.836181558649211,5.581760172887395,5.928577197482809,5.697123259596992,260.7373046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra32,4498,snr_19,100,300,5.8402335695185075,5.5744417845077505,5.946316872723401,5.6919895083410665,260.7373046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra32,4498,primary_1_4_7,100,900,5.837970432928866,5.576906269836602,5.928046570625156,5.7000992659595795,260.7373046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra32,4498,high_13_19,100,600,5.838207564083859,5.578100978697573,5.93528453464387,5.694366374518722,260.7373046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra64,8754,snr_1,100,300,6.001052194042131,6.239983636575441,6.10974764713319,6.395046453690156,260.7998046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra64,8754,snr_4,100,300,6.003731462697033,6.239403484602614,6.1052238728734665,6.361722863221075,260.7998046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra64,8754,snr_7,100,300,6.004969019656225,6.2520108091606135,6.118131148105022,6.392166294972412,260.7998046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra64,8754,snr_13,100,300,6.03938634119307,6.27227662296112,6.173920289438684,6.424306750705,260.7998046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra64,8754,snr_19,100,300,6.005987549142446,6.2551317004060065,6.101206857420038,6.391137001628522,260.7998046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra64,8754,primary_1_4_7,100,900,6.003250892131796,6.243799310112889,6.112006399780512,6.391868145146873,260.7998046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra64,8754,high_13_19,100,600,6.0226869451677585,6.263704161683563,6.126582053548191,6.410804888582788,260.7998046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra96,12952,snr_1,100,300,6.198213936004322,7.353289040620439,6.320163718191907,7.502900900726672,260.8623046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra96,12952,snr_4,100,300,6.224927700532135,7.372514151114349,6.3495394511846825,7.565304625313729,260.8623046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra96,12952,snr_7,100,300,6.195345179585274,7.362637199694291,6.32098530913936,7.552321284310892,260.8623046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra96,12952,snr_13,100,300,6.189781830277449,7.353317682476093,6.293933966662735,7.526226654590573,260.8623046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra96,12952,snr_19,100,300,6.201812182650126,7.34923149003104,6.3162624996039085,7.527438497345429,260.8623046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra96,12952,primary_1_4_7,100,900,6.206162272040577,7.362813463809693,6.32863314676797,7.5411825033370405,260.8623046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
swin_ra96,12952,high_13_19,100,600,6.1957970064637875,7.351274586253567,6.3089473464060575,7.526655097899493,260.8623046875,33073488,0.0,current_author_FP32_batch1_CPU_to_CPU; load_IO_metrics_airtime_excluded
arithmetic_adaptive_N4204,4204,snr_1,32,96,56.616619592811425,72.78771257460903,58.08616476133466,73.87078450119589,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4204,4204,snr_4,32,96,70.33120125106507,80.5278817300253,71.5522815080476,82.25642075558426,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4204,4204,snr_7,32,96,70.45225223100715,80.55867801097823,72.50422375363996,82.27455025917152,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4204,4204,snr_13,32,96,70.31461998849409,80.54672475100233,71.68517024547327,81.98932250525104,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4204,4204,snr_19,32,96,70.32373423893053,80.53660457244405,71.51733250066172,82.50280450010905,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4204,4204,primary_1_4_7,32,288,65.80002435829455,77.95809077187086,72.02055500383722,82.06095290661324,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4204,4204,high_13_19,32,192,70.31917711371231,80.54166466172319,71.66986669471953,82.4239340116037,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4498,4498,snr_1,32,96,56.69105666584073,72.80229424244074,58.00160024227807,74.36785975005478,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4498,4498,snr_4,32,96,70.41442765603279,80.8609888117644,71.76606875873404,83.21860825526528,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4498,4498,snr_7,32,96,70.47507465661813,80.7131781997062,72.16768000944285,82.76393199776066,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4498,4498,snr_13,32,96,70.29892847882972,80.51721726254375,71.48293624049984,82.27858073951211,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4498,4498,snr_19,32,96,70.38094490659812,80.52940631265908,71.54853374231607,82.02646074641962,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4498,4498,primary_1_4_7,32,288,65.86018632616388,78.12548708463711,71.77510645851726,82.7096096065361,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
arithmetic_adaptive_N4498,4498,high_13_19,32,192,70.33993669271392,80.52331178760141,71.57582154031843,82.21189180330839,1871.943359375,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
raw_adaptive_N4204,4204,snr_1,32,96,9.829780478260849,59.26824477107099,9.917786504956894,60.009388253092766,1871.97705078125,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
raw_adaptive_N4204,4204,snr_4,32,96,10.812970844805628,59.79845977132451,10.952200005704071,60.405863252526615,1871.97705078125,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
raw_adaptive_N4204,4204,snr_7,32,96,10.808191325243873,59.868243791243,10.944594490865711,60.5060535017401,1871.97705078125,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
raw_adaptive_N4204,4204,snr_13,32,96,10.803739034599857,59.86425513431944,10.921940513071604,60.49719100701623,1871.97705078125,0,0,VAE+VAR total parameters 419231875; single digital system resident; uncached CPU_to_CPU
