scope,method,control,metric,source_images,difference_unit,gain,ci_low,ci_high
7,whole_adaptive,r2__full_grid_innovation,RX_seconds,32,ms_method_minus_control,23.432195178429538,23.110020949426747,23.97110957181591
7,whole_adaptive,r2__full_grid_innovation,processing_sum_seconds,32,ms_method_minus_control,4.979927804924955,4.63971367760602,5.538111579016913
7,whole_adaptive,perceptual_deepjscc,TX_seconds,32,ms_method_minus_control,8.703696469941253,8.66734390590788,8.74294864379408
7,whole_adaptive,perceptual_deepjscc,RX_seconds,32,ms_method_minus_control,59.9224841977654,59.58186724596999,60.47435582793621
7,whole_adaptive,perceptual_deepjscc,processing_sum_seconds,32,ms_method_minus_control,68.62618066770665,68.26198666127159,69.20786409059474
7,whole_adaptive,wetok_8PSK_FEC,TX_seconds,32,ms_method_minus_control,-21.5053759256989,-21.540477267694772,-21.468795564559667
7,whole_adaptive,wetok_8PSK_FEC,RX_seconds,32,ms_method_minus_control,24.102738802563785,23.778036258878878,24.64368236313324
7,whole_adaptive,wetok_8PSK_FEC,processing_sum_seconds,32,ms_method_minus_control,2.5973628768648873,2.256271496518518,3.163110968504649
7,r2__full_grid_innovation,perceptual_deepjscc,TX_seconds,32,ms_method_minus_control,27.15596384344584,27.105431939613325,27.200911769254315
7,r2__full_grid_innovation,perceptual_deepjscc,RX_seconds,32,ms_method_minus_control,36.490289019335854,36.38622814741363,36.55844548178872
7,r2__full_grid_innovation,perceptual_deepjscc,processing_sum_seconds,32,ms_method_minus_control,63.646252862781694,63.496684882178066,63.755744646645475
7,r2__full_grid_innovation,wetok_8PSK_FEC,TX_seconds,32,ms_method_minus_control,-3.0531085521943173,-3.0967509928624786,-3.0116522783221935
7,r2__full_grid_innovation,wetok_8PSK_FEC,RX_seconds,32,ms_method_minus_control,0.6705436241342488,0.6333830538020865,0.7062436602571621
7,r2__full_grid_innovation,wetok_8PSK_FEC,processing_sum_seconds,32,ms_method_minus_control,-2.3825649280600683,-2.4531534383299918,-2.3161817234912037
13,whole_adaptive,whole_m7,TX_seconds,32,ms_method_minus_control,1.590234302208652,1.5499337484015994,1.6352468367472281
13,whole_adaptive,whole_m7,RX_seconds,32,ms_method_minus_control,1.5616234377375802,0.8851384441148482,2.701778158605823
13,whole_adaptive,whole_m7,processing_sum_seconds,32,ms_method_minus_control,3.151857739946231,2.4487898356066267,4.33188944048576
13,whole_adaptive,whole_m8,TX_seconds,32,ms_method_minus_control,0.9948295845182049,0.9574793354962214,1.0391616002114763
13,whole_adaptive,whole_m8,RX_seconds,32,ms_method_minus_control,0.8378831144000283,-0.5047439645901861,2.3029406802872154
13,whole_adaptive,whole_m8,processing_sum_seconds,32,ms_method_minus_control,1.8327126989182339,0.4871766565846271,3.329280456038456
13,whole_adaptive,whole_m9,TX_seconds,32,ms_method_minus_control,0.0009077195196976473,-0.04908319420640785,0.053676542737927595
13,whole_adaptive,whole_m9,RX_seconds,32,ms_method_minus_control,0.6553248754244116,0.016382535943649367,1.7917316984304914
13,whole_adaptive,whole_m9,processing_sum_seconds,32,ms_method_minus_control,0.6562325949441101,-0.013420956573403392,1.8339368391517985
13,whole_adaptive,r2__full_grid_innovation,TX_seconds,32,ms_method_minus_control,-18.43535883259998,-18.47302402530128,-18.394961070544014
13,whole_adaptive,r2__full_grid_innovation,RX_seconds,32,ms_method_minus_control,23.949509926903072,23.24146170041861,25.196409174793644
13,whole_adaptive,r2__full_grid_innovation,processing_sum_seconds,32,ms_method_minus_control,5.514151094303088,4.783470562684518,6.786433707247851
