scope,arm,source_images,timed_calls,TX_mean_ms,TX_raw_call_p95_ms,RX_mean_ms,RX_raw_call_p95_ms,processing_sum_mean_ms,processing_sum_raw_call_p95_ms
primary_1_4_7,whole_m8,32,288,9.945884319828718,10.11708696023561,62.12822797952969,63.251653948100284,72.07411229935839,73.34529695363017
primary_1_4_7,whole_m9,32,288,10.939510225499463,11.14506729572895,62.910362444957485,64.10310475403094,73.84987267045695,75.13372190442169
primary_1_4_7,whole_adaptive,32,288,10.089818889203647,11.032284701650497,62.28425932274856,63.63531770693953,72.37407821195221,74.37850639616954
primary_1_4_7,r2__full_grid_innovation,32,288,29.38832368085463,29.667108896683203,39.53458404112098,39.84095405103289,68.9229077219756,69.47888349895948
primary_1_4_7,perceptual_deepjscc,32,288,2.2584942639190966,2.5521076036966406,3.023315819569284,3.0584513988287654,5.281810083488381,5.5953003946342506
primary_1_4_7,wetok_8PSK_FEC,32,288,32.454628226029556,32.71658660451067,38.918815697191654,39.17519754904788,71.3734439232212,71.81739939842373
all_5_snrs,whole_m7,32,480,9.356096262702826,9.543193704303121,61.808996058092205,63.1484338453447,71.16509232079504,72.59085475307074
all_5_snrs,whole_m8,32,480,9.947047081338194,10.117299362173071,62.22271351686383,63.357339102367405,72.16976059820202,73.4887928054377
all_5_snrs,whole_m9,32,480,10.942461062283353,11.14275009240373,62.89542123164818,64.16264100844273,73.83788229393151,75.23693526527495
all_5_snrs,whole_adaptive,32,480,10.432964464750208,11.072088703076588,62.63201498722992,63.95386345684528,73.06497945198012,74.80518075317377
all_5_snrs,r2__full_grid_innovation,32,480,29.3868237692853,29.650220445910232,39.54219302459023,39.911601752828574,68.92901679387553,69.46158764985739
all_5_snrs,perceptual_deepjscc,32,480,2.2549293644866943,2.554393553873524,3.0238971519793263,3.0626874016888905,5.2788265164660215,5.611808599496726
all_5_snrs,wetok_8PSK_FEC,32,480,32.453860867038514,32.71299620755599,38.94564557258491,39.31475670906366,71.39950643962342,71.93066060062847
