family,budget,renderer,snr_db,mode,frames,source_images,raw_payload_bits,accepted_correct_probability,source_packet_BLER,source_index_goodput,psnr_db,lpips,actual_payload_bits_mean,header_failure_probability,body_crc_failure_given_header_accept
arithmetic,4084,Dc,4.0,7,3000,1000,1860,1.0,0.0,1860.0,18.47018011569977,0.21466634441539645,1540.084,0.0,0.0
arithmetic,4084,Dc,4.0,8,3000,1000,3060,1.0,0.0,3060.0,20.109305560112,0.16108667366703353,2484.81,0.0,0.0
arithmetic,4084,Dc,4.0,9,3000,1000,5088,0.9686666666666667,0.031333333333333324,4928.576,21.591500409444173,0.12616486964064338,3988.72,0.0,0.03133333333333333
arithmetic,4084,Dc,7.0,7,3000,1000,1860,1.0,0.0,1860.0,18.470180112838744,0.21466634447748462,1540.084,0.0,0.0
arithmetic,4084,Dc,7.0,8,3000,1000,3060,1.0,0.0,3060.0,20.109305562019347,0.16108667365585763,2484.81,0.0,0.0
arithmetic,4084,Dc,7.0,9,3000,1000,5088,1.0,0.0,5088.0,21.68609089120229,0.12251761462477347,3988.72,0.0,0.0
arithmetic,4084,Dc,13.0,7,3000,1000,1860,1.0,0.0,1860.0,18.4701801071167,0.21466634437566,1540.084,0.0,0.0
arithmetic,4084,Dc,13.0,8,3000,1000,3060,1.0,0.0,3060.0,20.109305565834045,0.16108667370056112,2484.81,0.0,0.0
arithmetic,4084,Dc,13.0,9,3000,1000,5088,1.0,0.0,5088.0,21.686090889930725,0.12251761456765234,3988.72,0.0,0.0
arithmetic,4084,Dc,19.0,7,3000,1000,1860,1.0,0.0,1860.0,18.4701801071167,0.21466634424900016,1540.084,0.0,0.0
arithmetic,4084,Dc,19.0,8,3000,1000,3060,1.0,0.0,3060.0,20.109305565834045,0.1610866736198465,2484.81,0.0,0.0
arithmetic,4084,Dc,19.0,9,3000,1000,5088,1.0,0.0,5088.0,21.686090889930725,0.122517614606147,3988.72,0.0,0.0
raw,3572,D0,1.0,7,3000,1000,1860,0.983,0.017000000000000015,1828.3799999999999,17.810008206049602,0.23008483740190666,1860.0,0.0,0.017
raw,3572,D0,1.0,8,3000,1000,3060,0.0026666666666666666,0.9973333333333333,8.16,18.19641413418452,0.21062387266010046,3060.0,0.0003333333333333333,0.9973324441480493
raw,3572,D0,1.0,9,3000,1000,5088,0.0,1.0,0.0,10.434397670984268,0.6709704172015191,5088.0,0.0003333333333333333,1.0
raw,3572,D0,4.0,7,3000,1000,1860,1.0,0.0,1860.0,17.81330358886719,0.2299209054162105,1860.0,0.0,0.0
raw,3572,D0,4.0,8,3000,1000,3060,0.9946666666666667,0.005333333333333301,3043.6800000000003,19.396428754806518,0.17391060018042723,3060.0,0.0,0.005333333333333333
raw,3572,D0,4.0,9,3000,1000,5088,0.0,1.0,0.0,19.082172110239664,0.18299804226929942,5088.0,0.0,1.0
raw,3572,D0,7.0,7,3000,1000,1860,1.0,0.0,1860.0,17.81330359013875,0.22992090533301235,1860.0,0.0,0.0
raw,3572,D0,7.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396618800163267,0.1738951269723475,3060.0,0.0,0.0
raw,3572,D0,7.0,9,3000,1000,5088,0.9953333333333333,0.004666666666666708,5064.255999999999,20.971275531450907,0.13264209286185602,5088.0,0.0,0.004666666666666667
raw,3572,D0,13.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813303592681883,0.22992090551679334,1860.0,0.0,0.0
raw,3572,D0,13.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396618803977965,0.1738951271250844,3060.0,0.0,0.0
raw,3572,D0,13.0,9,3000,1000,5088,1.0,0.0,5088.0,20.971463276863098,0.1326294781056543,5088.0,0.0,0.0
raw,3572,D0,19.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813303592681883,0.22992090539882581,1860.0,0.0,0.0
raw,3572,D0,19.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396618803977965,0.1738951270841062,3060.0,0.0,0.0
raw,3572,D0,19.0,9,3000,1000,5088,1.0,0.0,5088.0,20.971463276863098,0.13262947810130815,5088.0,0.0,0.0
raw,3572,Dc,1.0,7,3000,1000,1860,0.983,0.017000000000000015,1828.3799999999999,18.466436176935833,0.21485929039741555,1860.0,0.0,0.017
raw,3572,Dc,1.0,8,3000,1000,3060,0.0026666666666666666,0.9973333333333333,8.16,18.80925435288747,0.19848230784386398,3060.0,0.0003333333333333333,0.9973324441480493
raw,3572,Dc,1.0,9,3000,1000,5088,0.0,1.0,0.0,10.477755776643754,0.6645336552957694,5088.0,0.0003333333333333333,1.0
raw,3572,Dc,4.0,7,3000,1000,1860,1.0,0.0,1860.0,18.47018011569977,0.21466634441539645,1860.0,0.0,0.0
raw,3572,Dc,4.0,8,3000,1000,3060,0.9946666666666667,0.005333333333333301,3043.6800000000003,20.108978418668112,0.1611003557741642,3060.0,0.0,0.005333333333333333
raw,3572,Dc,4.0,9,3000,1000,5088,0.0,1.0,0.0,19.63211993455887,0.1732698464691639,5088.0,0.0,1.0
raw,3572,Dc,7.0,7,3000,1000,1860,1.0,0.0,1860.0,18.470180112838744,0.21466634447748462,1860.0,0.0,0.0
raw,3572,Dc,7.0,8,3000,1000,3060,1.0,0.0,3060.0,20.109305562019347,0.16108667365585763,3060.0,0.0,0.0
raw,3572,Dc,7.0,9,3000,1000,5088,0.9953333333333333,0.004666666666666708,5064.255999999999,21.685867147127787,0.12252863856591284,5088.0,0.0,0.004666666666666667
raw,3572,Dc,13.0,7,3000,1000,1860,1.0,0.0,1860.0,18.4701801071167,0.21466634437566,1860.0,0.0,0.0
raw,3572,Dc,13.0,8,3000,1000,3060,1.0,0.0,3060.0,20.109305565834045,0.16108667370056112,3060.0,0.0,0.0
raw,3572,Dc,13.0,9,3000,1000,5088,1.0,0.0,5088.0,21.686090889930725,0.12251761456765234,5088.0,0.0,0.0
raw,3572,Dc,19.0,7,3000,1000,1860,1.0,0.0,1860.0,18.4701801071167,0.21466634424900016,1860.0,0.0,0.0
raw,3572,Dc,19.0,8,3000,1000,3060,1.0,0.0,3060.0,20.109305565834045,0.1610866736198465,3060.0,0.0,0.0
raw,3572,Dc,19.0,9,3000,1000,5088,1.0,0.0,5088.0,21.686090889930725,0.122517614606147,5088.0,0.0,0.0
raw,4084,D0,1.0,7,3000,1000,1860,0.9976666666666667,0.0023333333333332984,1855.66,17.813031427065532,0.22994212840497494,1860.0,0.0,0.0023333333333333335
raw,4084,D0,1.0,8,3000,1000,3060,0.10466666666666667,0.8953333333333333,320.28000000000003,18.958930189768473,0.18643500749580563,3060.0,0.0003333333333333333,0.895298432810937
raw,4084,D0,1.0,9,3000,1000,5088,0.0,1.0,0.0,11.844803349971771,0.5842867916723092,5088.0,0.0003333333333333333,1.0
raw,4084,D0,4.0,7,3000,1000,1860,1.0,0.0,1860.0,17.81330358886719,0.2299209054162105,1860.0,0.0,0.0
raw,4084,D0,4.0,8,3000,1000,3060,0.999,0.0010000000000000009,3056.94,19.39617816766103,0.17389983509480952,3060.0,0.0,0.001
raw,4084,D0,4.0,9,3000,1000,5088,0.29433333333333334,0.7056666666666667,1497.568,20.77797657553355,0.13656491682554284,5088.0,0.0,0.7056666666666667
raw,4084,D0,7.0,7,3000,1000,1860,1.0,0.0,1860.0,17.81330359013875,0.22992090533301235,1860.0,0.0,0.0
raw,4084,D0,7.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396618800163267,0.1738951269723475,3060.0,0.0,0.0
raw,4084,D0,7.0,9,3000,1000,5088,1.0,0.0,5088.0,20.971463291486103,0.1326294781472534,5088.0,0.0,0.0
raw,4084,D0,13.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813303592681883,0.22992090551679334,1860.0,0.0,0.0
raw,4084,D0,13.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396618803977965,0.1738951271250844,3060.0,0.0,0.0
raw,4084,D0,13.0,9,3000,1000,5088,1.0,0.0,5088.0,20.971463276863098,0.1326294781056543,5088.0,0.0,0.0
raw,4084,D0,19.0,7,3000,1000,1860,1.0,0.0,1860.0,17.813303592681883,0.22992090539882581,1860.0,0.0,0.0
raw,4084,D0,19.0,8,3000,1000,3060,1.0,0.0,3060.0,19.396618803977965,0.1738951270841062,3060.0,0.0,0.0
raw,4084,D0,19.0,9,3000,1000,5088,1.0,0.0,5088.0,20.971463276863098,0.13262947810130815,5088.0,0.0,0.0
raw,4084,Dc,1.0,7,3000,1000,1860,0.9976666666666667,0.0023333333333332984,1855.66,18.469981830279032,0.2146871017254889,1860.0,0.0,0.0023333333333333335
raw,4084,Dc,1.0,8,3000,1000,3060,0.10466666666666667,0.8953333333333333,320.28000000000003,19.634244742393495,0.17395093209544818,3060.0,0.0003333333333333333,0.895298432810937
raw,4084,Dc,1.0,9,3000,1000,5088,0.0,1.0,0.0,11.93564959192276,0.5767629932761192,5088.0,0.0003333333333333333,1.0
raw,4084,Dc,4.0,7,3000,1000,1860,1.0,0.0,1860.0,18.47018011569977,0.21466634441539645,1860.0,0.0,0.0
raw,4084,Dc,4.0,8,3000,1000,3060,0.999,0.0010000000000000009,3056.94,20.10892912006378,0.16108968873570362,3060.0,0.0,0.001
raw,4084,Dc,4.0,9,3000,1000,5088,0.29433333333333334,0.7056666666666667,1497.568,21.472180698076883,0.12658953958315153,5088.0,0.0,0.7056666666666667
raw,4084,Dc,7.0,7,3000,1000,1860,1.0,0.0,1860.0,18.470180112838744,0.21466634447748462,1860.0,0.0,0.0
raw,4084,Dc,7.0,8,3000,1000,3060,1.0,0.0,3060.0,20.109305562019347,0.16108667365585763,3060.0,0.0,0.0
raw,4084,Dc,7.0,9,3000,1000,5088,1.0,0.0,5088.0,21.68609089120229,0.12251761462477347,5088.0,0.0,0.0
raw,4084,Dc,13.0,7,3000,1000,1860,1.0,0.0,1860.0,18.4701801071167,0.21466634437566,1860.0,0.0,0.0
raw,4084,Dc,13.0,8,3000,1000,3060,1.0,0.0,3060.0,20.109305565834045,0.16108667370056112,3060.0,0.0,0.0
raw,4084,Dc,13.0,9,3000,1000,5088,1.0,0.0,5088.0,21.686090889930725,0.12251761456765234,5088.0,0.0,0.0
raw,4084,Dc,19.0,7,3000,1000,1860,1.0,0.0,1860.0,18.4701801071167,0.21466634424900016,1860.0,0.0,0.0
raw,4084,Dc,19.0,8,3000,1000,3060,1.0,0.0,3060.0,20.109305565834045,0.1610866736198465,3060.0,0.0,0.0
raw,4084,Dc,19.0,9,3000,1000,5088,1.0,0.0,5088.0,21.686090889930725,0.122517614606147,5088.0,0.0,0.0
