method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,checkpoint_sha256,psnr_db,lpips_alex,dino_cosine
original_residual_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.01326560974121,0.11197688430547714,0.8047108054161072
predicted_innovation_candidate,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.055665969848633,0.10837878286838531,0.7949738502502441
original_residual_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.13973045349121,0.10263317823410034,0.8157918453216553
predicted_innovation_candidate,1,n01601694/ILSVRC2012_val_00021656_n01601694,4.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.1749210357666,0.1029498279094696,0.8204934597015381
original_residual_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.27617073059082,0.09859717637300491,0.8191211819648743
predicted_innovation_candidate,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.3159122467041,0.10084905475378036,0.8395932912826538
original_residual_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.16986656188965,0.10587924718856812,0.8149235248565674
predicted_innovation_candidate,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.20510482788086,0.10258342325687408,0.8067841529846191
original_residual_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.26685333251953,0.09963077306747437,0.8260182738304138
predicted_innovation_candidate,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.305015563964844,0.09862013906240463,0.827269434928894
original_residual_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.40272331237793,0.0942050963640213,0.832066535949707
predicted_innovation_candidate,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,4084,8168,True,True,46620a5305ab717718bdc27b9e21a7ac1bbfdd5d5f0966635971d82d004db1a1,22.442466735839844,0.09569592773914337,0.8403841257095337
