method,source_index,image_id,snr_db,seed,N,E,header_ok,body_crc_ok,norm_control_ok,norm_code,enhancement_energy,psnr_db,lpips_alex,dino_cosine
residual,82,n04371774/ILSVRC2012_val_00030870_n04371774,1.0,2002,4084,8168,1,0,True,117,2047.9998779296875,14.77668285369873,0.3324807584285736,0.7385641932487488
source,82,n04371774/ILSVRC2012_val_00030870_n04371774,1.0,2003,4084,8168,1,0,True,120,2048.0,19.147083282470703,0.20900580286979675,0.7978713512420654
residual,82,n04371774/ILSVRC2012_val_00030870_n04371774,1.0,2003,4084,8168,1,0,True,117,2047.9998779296875,18.819480895996094,0.21779759228229523,0.8073438405990601
source,82,n04371774/ILSVRC2012_val_00030870_n04371774,4.0,2001,4084,8168,1,1,True,120,2048.0,19.747058868408203,0.18190069496631622,0.873462438583374
residual,82,n04371774/ILSVRC2012_val_00030870_n04371774,4.0,2001,4084,8168,1,1,True,117,2047.9998779296875,19.77586555480957,0.18029245734214783,0.8750712871551514
source,82,n04371774/ILSVRC2012_val_00030870_n04371774,4.0,2002,4084,8168,1,1,True,120,2048.0,19.75143051147461,0.18095135688781738,0.8326141834259033
residual,82,n04371774/ILSVRC2012_val_00030870_n04371774,4.0,2002,4084,8168,1,1,True,117,2047.9998779296875,19.778432846069336,0.17951104044914246,0.8337898254394531
source,82,n04371774/ILSVRC2012_val_00030870_n04371774,4.0,2003,4084,8168,1,1,True,120,2048.0,19.761579513549805,0.18667036294937134,0.8442282676696777
residual,82,n04371774/ILSVRC2012_val_00030870_n04371774,4.0,2003,4084,8168,1,1,True,117,2047.9998779296875,19.787155151367188,0.18525391817092896,0.8439973592758179
source,82,n04371774/ILSVRC2012_val_00030870_n04371774,7.0,2001,4084,8168,1,1,True,120,2048.0,19.941219329833984,0.1742883324623108,0.880783200263977
residual,82,n04371774/ILSVRC2012_val_00030870_n04371774,7.0,2001,4084,8168,1,1,True,117,2047.9998779296875,19.961742401123047,0.17348887026309967,0.8820338249206543
source,82,n04371774/ILSVRC2012_val_00030870_n04371774,7.0,2002,4084,8168,1,1,True,120,2048.0,19.94182777404785,0.1734333336353302,0.8486031293869019
