method,source_index,image_id,snr_db,seed,N,E,decoder,decoder_sha256,protocol_id,model_context_sha256,evidence,psnr_db,lpips_alex,dino_cosine
full_tx_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,16.294294357299805,0.1516302078962326,0.74666428565979
light_tx,0,n01440764/ILSVRC2012_val_00003014_n01440764,7.0,2003,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,16.163284301757812,0.155814528465271,0.76472008228302
pure_continuous,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,new_selected_model,18.68789291381836,0.07923215627670288,0.9088561534881592
full_tx_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,16.749406814575195,0.13235966861248016,0.8058825731277466
light_tx,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2001,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,16.720735549926758,0.13642612099647522,0.8066682815551758
pure_continuous,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,new_selected_model,18.729629516601562,0.07509704679250717,0.8972101211547852
full_tx_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,16.73892593383789,0.13491228222846985,0.8235875368118286
light_tx,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2002,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,16.66615104675293,0.14010833203792572,0.8396089673042297
pure_continuous,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,new_selected_model,18.733531951904297,0.07672861218452454,0.9077984690666199
full_tx_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,16.7471923828125,0.13521097600460052,0.8029809594154358
light_tx,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,16.663108825683594,0.14186224341392517,0.7782483696937561
pure_continuous,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,new_selected_model,18.901283264160156,0.0738648772239685,0.9200453162193298
full_tx_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,16.824323654174805,0.13012713193893433,0.8323194980621338
light_tx,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,16.789226531982422,0.13518890738487244,0.8111695051193237
pure_continuous,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,new_selected_model,18.927804946899414,0.0718671903014183,0.9104052782058716
full_tx_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,16.830455780029297,0.13056710362434387,0.8354101777076721
light_tx,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,new_selected_model,16.77907371520996,0.13601981103420258,0.8277239203453064
pure_continuous,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,frozen_stageA_Dc,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,N4084:E8168:matmul_tf32_off:cudnn_tf32_off,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,new_selected_model,18.91762351989746,0.07273082435131073,0.9182379245758057
