method,source_index,snr_db,seed,repeat,position,tx_ms,rx_ms,total_ms
light_tx,44,4.0,2001,1,2,10.98848506808281,113.57662605587393,124.56511112395674
light_tx,44,7.0,2001,0,0,10.94369008205831,113.30997408367693,124.25366416573524
pure_continuous,44,7.0,2001,0,1,7.378647103905678,11.157117900438607,18.535765004344285
full_tx_control,44,7.0,2001,0,2,111.14636901766062,113.40497701894492,224.55134603660554
pure_continuous,44,7.0,2001,1,0,7.4002419132739305,11.178926913999021,18.57916882727295
full_tx_control,44,7.0,2001,1,1,111.25393293332309,113.08741103857756,224.34134397190064
light_tx,44,7.0,2001,1,2,10.987853980623186,113.54454595129937,124.53239993192255
light_tx,44,13.0,2001,0,0,10.994323994964361,113.61157102510333,124.60589502006769
pure_continuous,44,13.0,2001,0,1,7.3894960805773735,11.176950065419078,18.56644614599645
full_tx_control,44,13.0,2001,0,2,111.10255098901689,113.40668599586934,224.50923698488623
pure_continuous,44,13.0,2001,1,0,7.405311102047563,11.15698495414108,18.562296056188643
full_tx_control,44,13.0,2001,1,1,111.20071401819587,113.22606389876455,224.42677791696042
light_tx,44,13.0,2001,1,2,10.94217598438263,113.33945905789733,124.28163504227996
light_tx,44,19.0,2001,0,0,10.972318006679416,113.4845680790022,124.45688608568162
pure_continuous,44,19.0,2001,0,1,7.385501987300813,11.168534983880818,18.55403697118163
full_tx_control,44,19.0,2001,0,2,111.04361398611218,114.50144101399928,225.54505500011146
pure_continuous,44,19.0,2001,1,0,7.406505988910794,11.211025062948465,18.61753105185926
full_tx_control,44,19.0,2001,1,1,111.04835104197264,113.88487694784999,224.93322798982263
light_tx,44,19.0,2001,1,2,10.998451034538448,114.14868000429124,125.14713103882968
full_tx_control,55,1.0,2001,0,0,111.54964903835207,113.44926489982754,224.9989139381796
light_tx,55,1.0,2001,0,1,10.966646950691938,113.12769795767963,124.09434490837157
pure_continuous,55,1.0,2001,0,2,7.398481015115976,11.218811036087573,18.61729205120355
light_tx,55,1.0,2001,1,0,11.017065960913897,113.43228502664715,124.44935098756105
