method,source_index,snr_db,seed,repeat,position,tx_ms,rx_ms,total_ms
full_tx_control,88,13.0,2001,1,2,111.11449601594359,114.17432804591954,225.28882406186312
full_tx_control,88,19.0,2001,0,0,111.38703196775168,113.57178201433271,224.9588139820844
light_tx,88,19.0,2001,0,1,11.001178063452244,113.39236900676042,124.39354707021266
pure_continuous,88,19.0,2001,0,2,7.419403991661966,11.178596061654389,18.598000053316355
light_tx,88,19.0,2001,1,0,10.975954006426036,113.33891795948148,124.31487196590751
pure_continuous,88,19.0,2001,1,1,7.494954974390566,11.243029963225126,18.737984937615693
full_tx_control,88,19.0,2001,1,2,110.8810449950397,117.11188906338066,227.99293405842036
pure_continuous,99,1.0,2001,0,0,7.456330000422895,11.240580002777278,18.696910003200173
full_tx_control,99,1.0,2001,0,1,111.82985303457826,113.68001694791019,225.50986998248845
light_tx,99,1.0,2001,0,2,10.959886014461517,113.50960202980787,124.46948804426938
full_tx_control,99,1.0,2001,1,0,110.95823999494314,113.71108901221305,224.6693290071562
light_tx,99,1.0,2001,1,1,11.022240039892495,113.49537700880319,124.51761704869568
pure_continuous,99,1.0,2001,1,2,7.4042839696630836,11.159583926200867,18.56386789586395
pure_continuous,99,4.0,2001,0,0,7.387243094854057,11.201445013284683,18.58868810813874
full_tx_control,99,4.0,2001,0,1,111.13037005998194,113.5428010020405,224.67317106202245
light_tx,99,4.0,2001,0,2,10.979986982420087,113.6697520269081,124.64973900932819
full_tx_control,99,4.0,2001,1,0,111.22918303590268,113.98862302303314,225.21780605893582
light_tx,99,4.0,2001,1,1,10.96343097742647,113.35722205694765,124.32065303437412
pure_continuous,99,4.0,2001,1,2,7.392428000457585,11.145383003167808,18.537811003625393
pure_continuous,99,7.0,2001,0,0,7.389776990748942,11.188920005224645,18.578696995973587
full_tx_control,99,7.0,2001,0,1,111.14237399306148,113.50472900085151,224.647102993913
light_tx,99,7.0,2001,0,2,11.031349073164165,113.24123106896877,124.27258014213294
full_tx_control,99,7.0,2001,1,0,110.9808050096035,113.49473800510168,224.47554301470518
light_tx,99,7.0,2001,1,1,10.981052997522056,113.6461419519037,124.62719494942576
pure_continuous,99,7.0,2001,1,2,7.396926986984909,11.173895909450948,18.570822896435857
pure_continuous,99,13.0,2001,0,0,7.389953010715544,11.212055920623243,18.602008931338787
full_tx_control,99,13.0,2001,0,1,111.02342896629125,113.44648106023669,224.46991002652794
light_tx,99,13.0,2001,0,2,10.992593015544116,113.6016920208931,124.59428503643721
full_tx_control,99,13.0,2001,1,0,110.98489002324641,113.93163609318435,224.91652611643076
light_tx,99,13.0,2001,1,1,11.125977034680545,113.71471604797989,124.84069308266044
pure_continuous,99,13.0,2001,1,2,7.417712942697108,11.165485950186849,18.583198892883956
pure_continuous,99,19.0,2001,0,0,7.4070499977096915,11.18847809266299,18.59552809037268
full_tx_control,99,19.0,2001,0,1,110.81509094219655,113.64709096960723,224.46218191180378
light_tx,99,19.0,2001,0,2,11.028928915038705,113.37069293949753,124.39962185453624
full_tx_control,99,19.0,2001,1,0,111.13129300065339,113.16703096963465,224.29832397028804
light_tx,99,19.0,2001,1,1,10.969183989800513,113.60379902180284,124.57298301160336
pure_continuous,99,19.0,2001,1,2,7.404510979540646,11.150873033329844,18.55538401287049
