method,source_index,image_id,snr_db,seed,N,E,checkpoint_sha256,decoder_sha256,protocol_id,normalized_latent,header_ok,body_crc_ok,psnr_db,lpips_alex,dino_cosine
full_tx_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,0.8404268026351929,1,1,16.7471923828125,0.13521097600460052,0.8029809594154358
light_tx,0,n01440764/ILSVRC2012_val_00003014_n01440764,13.0,2003,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,0.8470374345779419,1,1,16.663108825683594,0.14186224341392517,0.7782483696937561
pure_continuous,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.2721598148345947,1,not_applicable,18.901283264160156,0.0738648772239685,0.9200453162193298
full_tx_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,0.8276151418685913,1,1,16.824323654174805,0.13012713193893433,0.8323194980621338
light_tx,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2001,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,0.8333886861801147,1,1,16.789226531982422,0.13518890738487244,0.8111695051193237
pure_continuous,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.271838903427124,1,not_applicable,18.927804946899414,0.0718671903014183,0.9104052782058716
full_tx_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,0.8273835182189941,1,1,16.830455780029297,0.13056710362434387,0.8354101777076721
light_tx,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2002,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,0.833460807800293,1,1,16.77907371520996,0.13601981103420258,0.8277239203453064
pure_continuous,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.27120494842529297,1,not_applicable,18.91762351989746,0.07273082435131073,0.9182379245758057
full_tx_control,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,0.827103853225708,1,1,16.819595336914062,0.13148978352546692,0.8294685482978821
light_tx,0,n01440764/ILSVRC2012_val_00003014_n01440764,19.0,2003,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,light_tx:N4084:E8168,0.832607626914978,1,1,16.76940155029297,0.13808655738830566,0.8031305074691772
pure_continuous,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,b6bd1f0bb01bbd734eeb6a63afac1b8f7c57998085c616011f37554035434e1a,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,pure_continuous:N4084:E8168,0.43309247493743896,1,not_applicable,22.273170471191406,0.11207303404808044,0.7955942749977112
full_tx_control,1,n01601694/ILSVRC2012_val_00021656_n01601694,1.0,2001,4084,8168,8359ea0244573b12d7081a458e8ca985da04f3c1ca0de48f5dfdb2535f86bc3d,bf1d64bf8ff7eeda416032daa2ada1654fb37de2553235e85d364211ddfefad1,full_tx_control:N4084:E8168,0.4878142178058624,1,0,21.10368537902832,0.18396534025669098,0.768166184425354
