method,source_index,image_id,snr_db,seed,mse,lpips_alex,normalized_latent,utility,U_image,header_ok,body_crc_ok
P2048,14,n01537544/ILSVRC2012_val_00031716_n01537544,7,4101,0.008230935782194138,0.11255690455436707,0.43996572494506836,0.023886283859610558,0.019486626610159874,1,not_applicable
P2048,15,n01558993/ILSVRC2012_val_00029417_n01558993,7,4101,0.007268804125487804,0.0774541050195694,0.3050203323364258,0.01806441694498062,0.01501421444118023,1,not_applicable
P2048,0,n01440764/ILSVRC2012_val_00045866_n01440764,7,4102,0.004986980929970741,0.126517653465271,0.4994180202484131,0.02263292670249939,0.01763874664902687,1,not_applicable
P2048,1,n01443537/ILSVRC2012_val_00044095_n01443537,7,4102,0.009150184690952301,0.16452141106128693,0.5466697216033936,0.03106902353465557,0.025602325797080994,1,not_applicable
P2048,2,n01484850/ILSVRC2012_val_00029481_n01484850,7,4102,0.0033349457662552595,0.0937279611825943,0.3821917474269867,0.016529658809304237,0.012707741931080818,1,not_applicable
P2048,3,n01491361/ILSVRC2012_val_00049000_n01491361,7,4102,0.0015407160390168428,0.08006273955106735,0.3104265332221985,0.01265125535428524,0.00954698957502842,1,not_applicable
P2048,4,n01494475/ILSVRC2012_val_00027283_n01494475,7,4102,0.003389498917385936,0.10026589781045914,0.38837939500808716,0.01729988306760788,0.013416089117527008,1,not_applicable
P2048,5,n01496331/ILSVRC2012_val_00041248_n01496331,7,4102,0.0017994437366724014,0.08192403614521027,0.25417768955230713,0.012533624656498432,0.009991847909986973,1,not_applicable
P2048,6,n01498041/ILSVRC2012_val_00030470_n01498041,7,4102,0.007544015534222126,0.16279268264770508,0.4715777635574341,0.028539061546325684,0.02382328361272812,1,not_applicable
P2048,7,n01514668/ILSVRC2012_val_00016052_n01514668,7,4102,0.01046924851834774,0.14549341797828674,0.7327496409416199,0.03234608843922615,0.025018591433763504,1,not_applicable
P2048,8,n01514859/ILSVRC2012_val_00006195_n01514859,7,4102,0.01088778581470251,0.206800177693367,0.632414698600769,0.03789195045828819,0.031567804515361786,1,not_applicable
P2048,9,n01518878/ILSVRC2012_val_00033181_n01518878,7,4102,0.0039438847452402115,0.08613380789756775,0.36357468366622925,0.01619301177561283,0.012557265348732471,1,not_applicable
P2048,10,n01530575/ILSVRC2012_val_00027374_n01530575,7,4102,0.006531513761729002,0.13405705988407135,0.8217702507972717,0.028154920786619186,0.019937219098210335,1,not_applicable
P2048,11,n01531178/ILSVRC2012_val_00025888_n01531178,7,4102,0.005508678033947945,0.07941865921020508,0.3435114324092865,0.016885658726096153,0.013450544327497482,1,not_applicable
P2048,12,n01532829/ILSVRC2012_val_00030042_n01532829,7,4102,0.008506350219249725,0.07806701958179474,0.41459912061691284,0.020459042862057686,0.01631305180490017,1,not_applicable
P2048,13,n01534433/ILSVRC2012_val_00030911_n01534433,7,4102,0.006434272974729538,0.09806003421545029,0.5803596377372742,0.022043872624635696,0.016240276396274567,1,not_applicable
P2048,14,n01537544/ILSVRC2012_val_00031716_n01537544,7,4102,0.0083818593993783,0.09548191726207733,0.4404781460762024,0.022334832698106766,0.017930051311850548,1,not_applicable
P2048,15,n01558993/ILSVRC2012_val_00029417_n01558993,7,4102,0.006759554147720337,0.07646090537309647,0.30389416217803955,0.017444586381316185,0.014405645430088043,1,not_applicable
P2048,0,n01440764/ILSVRC2012_val_00045866_n01440764,7,4103,0.005104500334709883,0.13074806332588196,0.49756038188934326,0.023154910653829575,0.018179306760430336,1,not_applicable
P2048,1,n01443537/ILSVRC2012_val_00044095_n01443537,7,4103,0.009052655659615993,0.17133373022079468,0.544693112373352,0.031632959842681885,0.026186030358076096,1,not_applicable
P2048,2,n01484850/ILSVRC2012_val_00029481_n01484850,7,4103,0.003941676113754511,0.09463056176900864,0.3768472671508789,0.017173204571008682,0.013404732570052147,1,not_applicable
P2048,3,n01491361/ILSVRC2012_val_00049000_n01491361,7,4103,0.0013123478274792433,0.08870643377304077,0.31324273347854614,0.013315418735146523,0.010182991623878479,1,not_applicable
P2048,4,n01494475/ILSVRC2012_val_00027283_n01494475,7,4103,0.003687037853524089,0.10048669576644897,0.3863738179206848,0.017599446699023247,0.013735707849264145,1,not_applicable
P2048,5,n01496331/ILSVRC2012_val_00041248_n01496331,7,4103,0.002019708976149559,0.08203373104333878,0.25592201948165894,0.012782302685081959,0.010223082266747952,1,not_applicable
P2048,6,n01498041/ILSVRC2012_val_00030470_n01498041,7,4103,0.007464468479156494,0.16352586448192596,0.47295400500297546,0.028546594083309174,0.02381705492734909,1,not_applicable
P2048,7,n01514668/ILSVRC2012_val_00016052_n01514668,7,4103,0.010631583631038666,0.14478424191474915,0.7321879863739014,0.032431889325380325,0.02511000819504261,1,not_applicable
P2048,8,n01514859/ILSVRC2012_val_00006195_n01514859,7,4103,0.011116869747638702,0.19398894906044006,0.6341040134429932,0.03685680776834488,0.0305157657712698,1,not_applicable
P2048,9,n01518878/ILSVRC2012_val_00033181_n01518878,7,4103,0.004584169946610928,0.09094151854515076,0.3686838150024414,0.01736515946686268,0.013678321614861488,1,not_applicable
P2048,10,n01530575/ILSVRC2012_val_00027374_n01530575,7,4103,0.006937151309102774,0.11812426149845123,0.8216056823730469,0.026965634897351265,0.018749577924609184,1,not_applicable
P2048,11,n01531178/ILSVRC2012_val_00025888_n01531178,7,4103,0.005244906526058912,0.07886284589767456,0.34088921546936035,0.016540084034204483,0.013131191954016685,1,not_applicable
P2048,12,n01532829/ILSVRC2012_val_00030042_n01532829,7,4103,0.00804494321346283,0.07769288122653961,0.41218966245651245,0.019936127588152885,0.01581423170864582,1,not_applicable
P2048,13,n01534433/ILSVRC2012_val_00030911_n01534433,7,4103,0.006122899241745472,0.08979447185993195,0.5792332887649536,0.02089468017220497,0.015102346427738667,1,not_applicable
P2048,14,n01537544/ILSVRC2012_val_00031716_n01537544,7,4103,0.008440914563834667,0.10679088532924652,0.4448961019515991,0.02356896549463272,0.019120004028081894,1,not_applicable
P2048,15,n01558993/ILSVRC2012_val_00029417_n01558993,7,4103,0.0061562820337712765,0.07604602724313736,0.29832643270492554,0.01674414984881878,0.0137608852237463,1,not_applicable
P2048,0,n01440764/ILSVRC2012_val_00045866_n01440764,13,4101,0.004370319657027721,0.1120307594537735,0.43688878417015076,0.019942283630371094,0.015573395416140556,1,not_applicable
P2048,1,n01443537/ILSVRC2012_val_00044095_n01443537,13,4101,0.008602623827755451,0.1491384208202362,0.4793994426727295,0.028310459107160568,0.023516464978456497,1,not_applicable
P2048,2,n01484850/ILSVRC2012_val_00029481_n01484850,13,4101,0.0028222938999533653,0.07879455387592316,0.32125529646873474,0.013914301991462708,0.010701749473810196,1,not_applicable
P2048,3,n01491361/ILSVRC2012_val_00049000_n01491361,13,4101,0.001019764575175941,0.07155357301235199,0.2555500864982605,0.010730622336268425,0.008175121620297432,1,not_applicable
P2048,4,n01494475/ILSVRC2012_val_00027283_n01494475,13,4101,0.0032871540170162916,0.08462739735841751,0.3288438320159912,0.015038332901895046,0.011749894358217716,1,not_applicable
P2048,5,n01496331/ILSVRC2012_val_00041248_n01496331,13,4101,0.0015546325594186783,0.06997312605381012,0.21129253506660461,0.010664870962500572,0.00855194590985775,1,not_applicable
