method,source_index,snr_db,seed_keys,psnr_db,lpips_alex,dino_cosine
residual,18,7.0,"2001,2002,2003",22.286338806152344,0.13353675107161203,0.9108819166819254
residual,18,13.0,"2001,2002,2003",22.361520131429035,0.13048735757668814,0.9095662037531534
residual,18,19.0,"2001,2002,2003",22.375158309936523,0.12883499264717102,0.9088874657948812
residual,19,1.0,"2001,2002,2003",16.638227462768555,0.21013814210891724,0.818552295366923
residual,19,4.0,"2001,2002,2003",23.072509765625,0.09308229386806488,0.942440946896871
residual,19,7.0,"2001,2002,2003",23.217020670572918,0.09127061317364375,0.9442841609319051
residual,19,13.0,"2001,2002,2003",23.35680389404297,0.08973242590824763,0.9452746709187826
residual,19,19.0,"2001,2002,2003",23.39278221130371,0.08935025334358215,0.9451383153597513
residual,20,1.0,"2001,2002,2003",19.723965326944988,0.1381889432668686,0.8465779622395834
residual,20,4.0,"2001,2002,2003",25.08576838175456,0.06789013743400574,0.950787882010142
residual,20,7.0,"2001,2002,2003",25.294528325398762,0.06601735452810924,0.9514856537183126
residual,20,13.0,"2001,2002,2003",25.51748275756836,0.063923974831899,0.9519585172335306
residual,20,19.0,"2001,2002,2003",25.591593424479168,0.0633026584982872,0.9519908229509989
residual,21,1.0,"2001,2002,2003",16.411108652750652,0.27004001041253406,0.7801042596499125
residual,21,4.0,"2001,2002,2003",18.867512385050457,0.19367146492004395,0.8880210320154825
residual,21,7.0,"2001,2002,2003",18.99785804748535,0.19017840921878815,0.8866598804791769
residual,21,13.0,"2001,2002,2003",19.135472615559895,0.18647752702236176,0.8853068550427755
residual,21,19.0,"2001,2002,2003",19.179888407389324,0.18620356420675913,0.8859447240829468
residual,22,1.0,"2001,2002,2003",14.278275807698568,0.297278771797816,0.8359123269716898
residual,22,4.0,"2001,2002,2003",20.17980448404948,0.13632396856943765,0.9605027039845785
residual,22,7.0,"2001,2002,2003",20.386545181274414,0.13292824725310007,0.9615315198898315
residual,22,13.0,"2001,2002,2003",20.58672587076823,0.12977654735247293,0.9641213615735372
residual,22,19.0,"2001,2002,2003",20.637725830078125,0.12925498684247336,0.9652388294537863
residual,23,1.0,"2001,2002,2003",23.1260929107666,0.18577519555886587,0.8845606247584025
residual,23,4.0,"2001,2002,2003",25.404966354370117,0.14458173513412476,0.9345005551973978
residual,23,7.0,"2001,2002,2003",25.488684972127277,0.14259527126948038,0.9355547030766805
residual,23,13.0,"2001,2002,2003",25.566054662068684,0.1402299702167511,0.9379009008407593
residual,23,19.0,"2001,2002,2003",25.58943748474121,0.13967451453208923,0.9389682213465372
residual,24,1.0,"2001,2002,2003",13.013731002807617,0.3266626298427582,0.692991038163503
residual,24,4.0,"2001,2002,2003",19.568763732910156,0.1588067909081777,0.8784581621487936
residual,24,7.0,"2001,2002,2003",19.828997294108074,0.153165469566981,0.8816642959912618
residual,24,13.0,"2001,2002,2003",20.05224609375,0.14882866541544595,0.8843656977017721
residual,24,19.0,"2001,2002,2003",20.10955556233724,0.1481041113535563,0.8842310110727946
residual,25,1.0,"2001,2002,2003",17.670156478881836,0.26282407343387604,0.6698449651400248
residual,25,4.0,"2001,2002,2003",19.721533457438152,0.17076432208220163,0.801946779092153
residual,25,7.0,"2001,2002,2003",19.82701047261556,0.1675112545490265,0.8041117389996847
residual,25,13.0,"2001,2002,2003",19.93353335062663,0.16378682851791382,0.8020487427711487
residual,25,19.0,"2001,2002,2003",19.965201059977215,0.16270250578721365,0.7971190214157104
residual,26,1.0,"2001,2002,2003",14.988301912943522,0.33447497089703876,0.8309451738993326
residual,26,4.0,"2001,2002,2003",17.083958943684895,0.2113232562939326,0.9006916483243307
residual,26,7.0,"2001,2002,2003",17.182339350382488,0.20844759047031403,0.9045928319295248
residual,26,13.0,"2001,2002,2003",17.286495208740234,0.20446149011452994,0.9087913036346436
residual,26,19.0,"2001,2002,2003",17.320454915364582,0.20318224529425302,0.9095577796300253
residual,27,1.0,"2001,2002,2003",20.619645436604817,0.22493679821491241,0.7579220136006674
residual,27,4.0,"2001,2002,2003",24.117865880330402,0.11639350404342015,0.8769469261169434
residual,27,7.0,"2001,2002,2003",24.231627146402996,0.11404501895109813,0.8844903310139974
residual,27,13.0,"2001,2002,2003",24.343475341796875,0.11136547724405925,0.8879264791806539
residual,27,19.0,"2001,2002,2003",24.373160044352215,0.11038023978471756,0.8862826824188232
residual,28,1.0,"2001,2002,2003",16.77918529510498,0.2857139011224111,0.6590720613797506
residual,28,4.0,"2001,2002,2003",20.955768585205078,0.13887876768906912,0.8811954259872437
residual,28,7.0,"2001,2002,2003",21.059010187784832,0.13723883032798767,0.8892191251118978
residual,28,13.0,"2001,2002,2003",21.163063049316406,0.13498292863368988,0.8986581961313883
residual,28,19.0,"2001,2002,2003",21.194882074991863,0.13420691589514414,0.9019359548886617
residual,29,1.0,"2001,2002,2003",18.20906639099121,0.25917481382687885,0.6938861807187399
residual,29,4.0,"2001,2002,2003",21.342573165893555,0.14885075887044272,0.7990795969963074
residual,29,7.0,"2001,2002,2003",21.489301045735676,0.1461987098058065,0.798714796702067
residual,29,13.0,"2001,2002,2003",21.649927775065105,0.14252605537573496,0.8140090902646383
residual,29,19.0,"2001,2002,2003",21.698240915934246,0.1412867953379949,0.8204293648401896
residual,30,1.0,"2001,2002,2003",24.189905166625977,0.21574399371941885,0.8451190789540609
residual,30,4.0,"2001,2002,2003",29.243879318237305,0.08955680082241695,0.9276332259178162
residual,30,7.0,"2001,2002,2003",29.36512502034505,0.08708300938208897,0.9345402717590332
residual,30,13.0,"2001,2002,2003",29.47973887125651,0.08505262682835261,0.9419361352920532
residual,30,19.0,"2001,2002,2003",29.508553822835285,0.08428181956211726,0.9442630608876547
residual,31,1.0,"2001,2002,2003",15.255252202351889,0.24479886392752329,0.7915040651957194
residual,31,4.0,"2001,2002,2003",16.372189203898113,0.20651754240194956,0.8872535228729248
residual,31,7.0,"2001,2002,2003",16.465497334798176,0.20580201844374338,0.8902129332224528
residual,31,13.0,"2001,2002,2003",16.547272364298504,0.20481452842553458,0.8912449876467387
residual,31,19.0,"2001,2002,2003",16.56610107421875,0.20450262228647867,0.8897164066632589
residual,32,1.0,"2001,2002,2003",18.6190242767334,0.21478708585103354,0.8991392652193705
residual,32,4.0,"2001,2002,2003",20.153973897298176,0.16754648586114249,0.9211258689562479
residual,32,7.0,"2001,2002,2003",20.335827509562176,0.16464071969191232,0.9262054165204366
