source_index,image_id,snr_db,noise_seed,N,E,family,sent_mode,received_mode,header_ok,body_crc_ok,source_complete,payload_bits,arithmetic_length_field,source_error,candidate_key,method,psnr_db,lpips_alex,dino_cosine,renderer,policy,selected_mode
2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2002,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e65ae79bd3534333918f48bf3aa567d598e6ad9e425ecc75cfbbb904365ef01c')",raw_N3572_m9_D0,16.637897491455078,0.25521984696388245,0.9067087173461914,D0,reliability,9
2,n01664065/ILSVRC2012_val_00014316_n01664065,7.0,2003,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e65ae79bd3534333918f48bf3aa567d598e6ad9e425ecc75cfbbb904365ef01c')",raw_N3572_m9_D0,16.637897491455078,0.25521984696388245,0.9067087173461914,D0,reliability,9
2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2001,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e65ae79bd3534333918f48bf3aa567d598e6ad9e425ecc75cfbbb904365ef01c')",raw_N3572_m9_D0,16.637897491455078,0.25521984696388245,0.9067087173461914,D0,reliability,9
2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2002,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e65ae79bd3534333918f48bf3aa567d598e6ad9e425ecc75cfbbb904365ef01c')",raw_N3572_m9_D0,16.637897491455078,0.25521984696388245,0.9067087173461914,D0,reliability,9
2,n01664065/ILSVRC2012_val_00014316_n01664065,13.0,2003,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e65ae79bd3534333918f48bf3aa567d598e6ad9e425ecc75cfbbb904365ef01c')",raw_N3572_m9_D0,16.637897491455078,0.25521984696388245,0.9067087173461914,D0,reliability,9
2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2001,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e65ae79bd3534333918f48bf3aa567d598e6ad9e425ecc75cfbbb904365ef01c')",raw_N3572_m9_D0,16.637897491455078,0.25521984696388245,0.9067087173461914,D0,reliability,9
2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2002,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e65ae79bd3534333918f48bf3aa567d598e6ad9e425ecc75cfbbb904365ef01c')",raw_N3572_m9_D0,16.637897491455078,0.25521984696388245,0.9067087173461914,D0,reliability,9
2,n01664065/ILSVRC2012_val_00014316_n01664065,19.0,2003,3572,7144,raw,9,9,1,1,1,5088,0,,"('raw', 'e65ae79bd3534333918f48bf3aa567d598e6ad9e425ecc75cfbbb904365ef01c')",raw_N3572_m9_D0,16.637897491455078,0.25521984696388245,0.9067087173461914,D0,reliability,9
3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2001,3572,7144,raw,7,7,1,1,1,1860,0,,"('raw', '629bd474c18d1cb55af6587b5a805d8b999a277424c7e36d5f15070db8390106')",raw_N3572_m7_D0,13.565649032592773,0.2806093096733093,0.8263841271400452,D0,reliability,7
3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2002,3572,7144,raw,7,7,1,1,1,1860,0,,"('raw', '629bd474c18d1cb55af6587b5a805d8b999a277424c7e36d5f15070db8390106')",raw_N3572_m7_D0,13.565649032592773,0.2806093394756317,0.8263841271400452,D0,reliability,7
