family,budget,renderer,policy,source_index,snr_db,psnr_db,lpips_alex,dino_cosine,selected_mode
arithmetic,3572,D0,goodput,21,7.0,18.89498519897461,0.20184773206710815,0.9171780943870544,9
arithmetic,3572,D0,goodput,21,13.0,18.89498519897461,0.20184773206710815,0.9171780943870544,9
arithmetic,3572,D0,goodput,21,19.0,18.89498519897461,0.20184773206710815,0.9171780943870544,9
arithmetic,3572,D0,goodput,22,1.0,16.3289794921875,0.23846603433291116,0.9346290826797485,7
arithmetic,3572,D0,goodput,22,4.0,19.256255467732746,0.13454795380433401,0.9558346271514893,9
arithmetic,3572,D0,goodput,22,7.0,20.33329200744629,0.11957978208859761,0.962758481502533,9
arithmetic,3572,D0,goodput,22,13.0,20.33329200744629,0.11957977712154388,0.962758481502533,9
arithmetic,3572,D0,goodput,22,19.0,20.33329200744629,0.11957978208859761,0.962758481502533,9
arithmetic,3572,D0,goodput,23,1.0,22.16058921813965,0.2167559266090393,0.8661370277404785,7
arithmetic,3572,D0,goodput,23,4.0,23.846996943155926,0.19052777687708536,0.917409618695577,9
arithmetic,3572,D0,goodput,23,7.0,25.275508880615234,0.14265215396881104,0.9313883185386658,9
arithmetic,3572,D0,goodput,23,13.0,25.275508880615234,0.14265215396881104,0.9313883185386658,9
arithmetic,3572,D0,goodput,23,19.0,25.275508880615234,0.14265215396881104,0.9313883185386658,9
arithmetic,3572,D0,goodput,24,1.0,14.371806144714355,0.2950251301129659,0.8269762396812439,7
arithmetic,3572,D0,goodput,24,4.0,19.60812250773112,0.14742416640122732,0.9289291699727377,9
arithmetic,3572,D0,goodput,24,7.0,20.385656356811523,0.13674050569534302,0.9456360936164856,9
arithmetic,3572,D0,goodput,24,13.0,20.385656356811523,0.13674050569534302,0.9456360936164856,9
arithmetic,3572,D0,goodput,24,19.0,20.385656356811523,0.13674050569534302,0.9456360936164856,9
arithmetic,3572,D0,goodput,25,1.0,17.423614501953125,0.26846951246261597,0.7479408979415894,7
arithmetic,3572,D0,goodput,25,4.0,16.567378362019856,0.3087400645017624,0.7392632166544596,9
arithmetic,3572,D0,goodput,25,7.0,20.178104400634766,0.169448584318161,0.8602007627487183,9
arithmetic,3572,D0,goodput,25,13.0,20.178104400634766,0.169448584318161,0.8602007627487183,9
arithmetic,3572,D0,goodput,25,19.0,20.178104400634766,0.169448584318161,0.8602007627487183,9
arithmetic,3572,D0,goodput,26,1.0,14.46963119506836,0.2964431742827098,0.84992516040802,7
arithmetic,3572,D0,goodput,26,4.0,16.417287826538086,0.21035945415496826,0.9425818920135498,9
arithmetic,3572,D0,goodput,26,7.0,16.417287826538086,0.21035945415496826,0.9425818920135498,9
arithmetic,3572,D0,goodput,26,13.0,16.417287826538086,0.21035945415496826,0.9425818920135498,9
arithmetic,3572,D0,goodput,26,19.0,16.417287826538086,0.21035945415496826,0.9425818920135498,9
arithmetic,3572,D0,goodput,27,1.0,21.31464958190918,0.18671980996926626,0.8302134275436401,7
arithmetic,3572,D0,goodput,27,4.0,23.638782501220703,0.11460202684005101,0.8628615140914917,9
arithmetic,3572,D0,goodput,27,7.0,23.638782501220703,0.11460202684005101,0.8628615140914917,9
arithmetic,3572,D0,goodput,27,13.0,23.638782501220703,0.11460202435652415,0.8628615140914917,9
arithmetic,3572,D0,goodput,27,19.0,23.638782501220703,0.11460202435652415,0.8628615140914917,9
arithmetic,3572,D0,goodput,28,1.0,18.77400016784668,0.23158329725265503,0.790869951248169,7
arithmetic,3572,D0,goodput,28,4.0,20.443923950195312,0.15190327167510986,0.8704310059547424,9
arithmetic,3572,D0,goodput,28,7.0,20.443923950195312,0.15190327167510986,0.8704310059547424,9
arithmetic,3572,D0,goodput,28,13.0,20.443923950195312,0.15190327167510986,0.8704310059547424,9
arithmetic,3572,D0,goodput,28,19.0,20.443923950195312,0.15190327167510986,0.8704310059547424,9
arithmetic,3572,D0,goodput,29,1.0,18.660327911376953,0.22683358192443848,0.7452579140663147,7
arithmetic,3572,D0,goodput,29,4.0,18.321138381958008,0.2340981662273407,0.7050986091295878,9
arithmetic,3572,D0,goodput,29,7.0,20.992490768432617,0.1416936069726944,0.8896512985229492,9
arithmetic,3572,D0,goodput,29,13.0,20.992490768432617,0.1416936069726944,0.8896512985229492,9
arithmetic,3572,D0,goodput,29,19.0,20.992490768432617,0.1416936069726944,0.8896512985229492,9
arithmetic,3572,D0,goodput,30,1.0,27.020519256591797,0.13708669443925223,0.8599720597267151,7
arithmetic,3572,D0,goodput,30,4.0,28.885639190673828,0.08864444494247437,0.9384555816650391,9
arithmetic,3572,D0,goodput,30,7.0,28.885639190673828,0.08864444494247437,0.9384555816650391,9
arithmetic,3572,D0,goodput,30,13.0,28.885639190673828,0.08864444494247437,0.9384555816650391,9
arithmetic,3572,D0,goodput,30,19.0,28.885639190673828,0.08864444494247437,0.9384555816650391,9
arithmetic,3572,D0,goodput,31,1.0,14.070117950439453,0.27546602487564087,0.8814594745635986,7
arithmetic,3572,D0,goodput,31,4.0,14.46646785736084,0.25640591482321423,0.833907961845398,9
arithmetic,3572,D0,goodput,31,7.0,15.767127990722656,0.19028961658477783,0.9379259347915649,9
arithmetic,3572,D0,goodput,31,13.0,15.767127990722656,0.19028961658477783,0.9379259347915649,9
arithmetic,3572,D0,goodput,31,19.0,15.767127990722656,0.19028961658477783,0.9379259347915649,9
arithmetic,3572,D0,goodput,32,1.0,16.843799591064453,0.27824920415878296,0.9200809597969055,7
arithmetic,3572,D0,goodput,32,4.0,19.302723566691082,0.19776501754919687,0.935630182425181,9
arithmetic,3572,D0,goodput,32,7.0,20.786645889282227,0.1588814357916514,0.9522355198860168,9
arithmetic,3572,D0,goodput,32,13.0,20.786645889282227,0.15888144075870514,0.9522355198860168,9
arithmetic,3572,D0,goodput,32,19.0,20.786645889282227,0.1588814357916514,0.9522355198860168,9
arithmetic,3572,D0,goodput,33,1.0,17.993467330932617,0.24630827705065408,0.7423861026763916,7
