source_index,image_id,snr_db,noise_seed,N,E,family,sent_mode,received_mode,header_ok,body_crc_ok,source_complete,payload_bits,arithmetic_length_field,source_error,candidate_key,method,psnr_db,lpips_alex,dino_cosine,renderer,policy,selected_mode,seed,preprocessing_id,seed_count,seed_keys,budget
5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2001,3572,7144,arithmetic,9,9,1,1,1,3985,3985,,"('arithmetic', '27078b8dff8dcc3d85366b5de2eb079001647c336bac5b351e842a0344409081')",arithmetic_N3572_m9_D0,23.066692352294922,0.15026476979255676,0.8560503721237183,D0,goodput,9,2001,,3,"2001,2002,2003",3572
5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2001,3572,7144,arithmetic,9,9,1,1,1,3985,3985,,"('arithmetic', '27078b8dff8dcc3d85366b5de2eb079001647c336bac5b351e842a0344409081')",arithmetic_N3572_m9_D0,23.066692352294922,0.15026476979255676,0.8560503721237183,D0,goodput,9,2001,,3,"2001,2002,2003",3572
5,n01744401/ILSVRC2012_val_00032663_n01744401,13.0,2001,3572,7144,arithmetic,9,9,1,1,1,3985,3985,,"('arithmetic', '27078b8dff8dcc3d85366b5de2eb079001647c336bac5b351e842a0344409081')",arithmetic_N3572_m9_D0,23.066692352294922,0.15026476979255676,0.8560503721237183,D0,goodput,9,2001,,3,"2001,2002,2003",3572
5,n01744401/ILSVRC2012_val_00032663_n01744401,19.0,2001,3572,7144,arithmetic,9,9,1,1,1,3985,3985,,"('arithmetic', '27078b8dff8dcc3d85366b5de2eb079001647c336bac5b351e842a0344409081')",arithmetic_N3572_m9_D0,23.066692352294922,0.15026476979255676,0.8560503721237183,D0,goodput,9,2001,,3,"2001,2002,2003",3572
6,n01751748/ILSVRC2012_val_00033157_n01751748,1.0,2001,3572,7144,arithmetic,7,7,1,1,1,1611,1611,,"('arithmetic', '9eae7ab7f2b0a67a0d7973f3b770ceb904fbc55160146a447cbeda701d9391df')",arithmetic_N3572_m7_D0,21.71365737915039,0.2806437909603119,0.8070136308670044,D0,goodput,7,2001,,3,"2001,2002,2003",3572
6,n01751748/ILSVRC2012_val_00033157_n01751748,4.0,2001,3572,7144,arithmetic,9,9,1,0,1,4227,4227,,"('arithmetic', 'c6eecfbd68050dfa08107915820fcd871db7d0319bbb75b05812e44ced5b6592')",arithmetic_N3572_m9_D0,21.24688212076823,0.2895613710085551,0.8052405516306559,D0,goodput,9,2001,,3,"2001,2002,2003",3572
6,n01751748/ILSVRC2012_val_00033157_n01751748,7.0,2001,3572,7144,arithmetic,9,9,1,1,1,4227,4227,,"('arithmetic', '1422e686c967feec9bd85cce52847cda2df07252ca24238744399038b995d6c1')",arithmetic_N3572_m9_D0,22.566015243530273,0.17145907878875732,0.9324827194213867,D0,goodput,9,2001,,3,"2001,2002,2003",3572
6,n01751748/ILSVRC2012_val_00033157_n01751748,13.0,2001,3572,7144,arithmetic,9,9,1,1,1,4227,4227,,"('arithmetic', '1422e686c967feec9bd85cce52847cda2df07252ca24238744399038b995d6c1')",arithmetic_N3572_m9_D0,22.566015243530273,0.17145907878875732,0.9324827194213867,D0,goodput,9,2001,,3,"2001,2002,2003",3572
6,n01751748/ILSVRC2012_val_00033157_n01751748,19.0,2001,3572,7144,arithmetic,9,9,1,1,1,4227,4227,,"('arithmetic', '1422e686c967feec9bd85cce52847cda2df07252ca24238744399038b995d6c1')",arithmetic_N3572_m9_D0,22.566015243530273,0.17145907878875732,0.9324827194213867,D0,goodput,9,2001,,3,"2001,2002,2003",3572
7,n01775062/ILSVRC2012_val_00036589_n01775062,1.0,2001,3572,7144,arithmetic,7,7,1,1,1,1605,1605,,"('arithmetic', '0552a7e254ea19189b571c01f2692d1cc315f457993586a755a7cf2095ddb390')",arithmetic_N3572_m7_D0,13.61967658996582,0.32814526557922363,0.793735146522522,D0,goodput,7,2001,,3,"2001,2002,2003",3572
7,n01775062/ILSVRC2012_val_00036589_n01775062,4.0,2001,3572,7144,arithmetic,9,9,1,1,1,4298,4298,,"('arithmetic', '5aff8b9dd0d74729d08a7840deff57c539265a52555dd9f8f9d31503fdeb48f4')",arithmetic_N3572_m9_D0,14.690975507100424,0.26186607778072357,0.7957156896591187,D0,goodput,9,2001,,3,"2001,2002,2003",3572
7,n01775062/ILSVRC2012_val_00036589_n01775062,7.0,2001,3572,7144,arithmetic,9,9,1,1,1,4298,4298,,"('arithmetic', '5aff8b9dd0d74729d08a7840deff57c539265a52555dd9f8f9d31503fdeb48f4')",arithmetic_N3572_m9_D0,15.116445541381836,0.2284837265809377,0.8559284210205078,D0,goodput,9,2001,,3,"2001,2002,2003",3572
7,n01775062/ILSVRC2012_val_00036589_n01775062,13.0,2001,3572,7144,arithmetic,9,9,1,1,1,4298,4298,,"('arithmetic', '5aff8b9dd0d74729d08a7840deff57c539265a52555dd9f8f9d31503fdeb48f4')",arithmetic_N3572_m9_D0,15.116445541381836,0.2284837265809377,0.8559284210205078,D0,goodput,9,2001,,3,"2001,2002,2003",3572
