population,scope,method,control,metric,source_images,selection_data,gain,ci_low,ci_high
development,4.0,arithmetic_quality,raw_m7,lpips,100,calibration_only,-0.056663017366081474,-0.06043956239335239,-0.05294396139495074
development,4.0,arithmetic_quality,raw_m7,dino,100,calibration_only,0.03982799470424652,0.031374502196907995,0.047763269782066346
development,4.0,arithmetic_quality,raw_m8,psnr_db,100,calibration_only,0.0008103179931640625,0.0,0.0020487467447916786
development,4.0,arithmetic_quality,raw_m8,lpips,100,calibration_only,-7.733901341756139e-06,-5.906701087951674e-05,3.5865306854248326e-05
development,4.0,arithmetic_quality,raw_m8,dino,100,calibration_only,-1.9544760386148718e-05,-0.00013581752777099497,7.718324661254883e-05
development,4.0,arithmetic_quality,raw_m9,psnr_db,100,calibration_only,7.207444470723471,6.6566826140880595,7.782578029712042
development,4.0,arithmetic_quality,raw_m9,lpips,100,calibration_only,-0.38668891059234733,-0.40488207310981433,-0.3691707941993762
development,4.0,arithmetic_quality,raw_m9,dino,100,calibration_only,0.7326723580838492,0.7102616086722506,0.7541600590310213
development,4.0,arithmetic_quality,arithmetic_m7,psnr_db,100,calibration_only,1.5899243068695068,1.443390758752823,1.7374155850410462
development,4.0,arithmetic_quality,arithmetic_m7,lpips,100,calibration_only,-0.056663017366081474,-0.06043956239335239,-0.05294396139495074
development,4.0,arithmetic_quality,arithmetic_m7,dino,100,calibration_only,0.03982799470424652,0.031374502196907995,0.047763269782066346
development,4.0,arithmetic_quality,arithmetic_m8,psnr_db,100,calibration_only,0.0,0.0,0.0
development,4.0,arithmetic_quality,arithmetic_m8,lpips,100,calibration_only,0.0,0.0,0.0
development,4.0,arithmetic_quality,arithmetic_m8,dino,100,calibration_only,0.0,0.0,0.0
development,4.0,arithmetic_quality,arithmetic_m9,psnr_db,100,calibration_only,3.2838432025909428,2.7646620319684345,3.8053822773297625
development,4.0,arithmetic_quality,arithmetic_m9,lpips,100,calibration_only,-0.1715896679274738,-0.19492727524849277,-0.14834655903217694
development,4.0,arithmetic_quality,arithmetic_m9,dino,100,calibration_only,0.20382325438161694,0.17102496767354508,0.23798264899073787
development,4.0,arithmetic_quality,raw_reliability,psnr_db,100,calibration_only,0.0008103179931640625,0.0,0.0020487467447916786
development,4.0,arithmetic_quality,raw_reliability,lpips,100,calibration_only,-7.733901341756139e-06,-5.906701087951674e-05,3.5865306854248326e-05
development,4.0,arithmetic_quality,raw_reliability,dino,100,calibration_only,-1.9544760386148718e-05,-0.00013581752777099497,7.718324661254883e-05
development,4.0,arithmetic_quality,raw_quality,psnr_db,100,calibration_only,0.0008103179931640625,0.0,0.0020487467447916786
development,4.0,arithmetic_quality,raw_quality,lpips,100,calibration_only,-7.733901341756139e-06,-5.906701087951674e-05,3.5865306854248326e-05
development,4.0,arithmetic_quality,raw_quality,dino,100,calibration_only,-1.9544760386148718e-05,-0.00013581752777099497,7.718324661254883e-05
development,4.0,arithmetic_quality,raw_goodput,psnr_db,100,calibration_only,0.0008103179931640625,0.0,0.0020487467447916786
development,4.0,arithmetic_quality,raw_goodput,lpips,100,calibration_only,-7.733901341756139e-06,-5.906701087951674e-05,3.5865306854248326e-05
development,4.0,arithmetic_quality,raw_goodput,dino,100,calibration_only,-1.9544760386148718e-05,-0.00013581752777099497,7.718324661254883e-05
development,4.0,arithmetic_quality,old_raw_adaptive,psnr_db,100,calibration_only,0.0008103179931640625,0.0,0.0020487467447916786
