population,scope,method,source_images,psnr_db,lpips,dino
development,19.0,raw_reliability,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,19.0,raw_quality,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,19.0,raw_goodput,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,19.0,arithmetic_reliability,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,19.0,arithmetic_quality,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,19.0,arithmetic_goodput,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,19.0,old_raw_adaptive,100,21.24372802734375,0.1358956206962466,0.9238587516546249
development,19.0,r2__full_grid_innovation,100,23.966527131398514,0.10398613513447344,0.9459576163689295
development,19.0,r3__full_grid_prediction_features,100,24.037290166219076,0.10063745471648872,0.9460056072473526
development,19.0,perceptual_deepjscc,100,26.883247063954673,0.13037120283270875,0.7727641666928927
development,19.0,wetok_8PSK_FEC,100,23.739316444396973,0.0868108800984919,0.9543980014324188
development,19.0,legacy_Deep_nominal_condition,100,26.883247063954673,0.13037120283270875,0.7727641666928927
development,primary_1_4_7,raw_m7,100,18.074286801020303,0.23475945707410573,0.8494944192303552
development,primary_1_4_7,raw_m8,100,18.65316053284539,0.21492697226090562,0.8449215295414131
development,primary_1_4_7,raw_m9,100,14.495504557291662,0.4692564815986488,0.3699419956230041
development,primary_1_4_7,arithmetic_m7,100,18.098399046791926,0.2340313638167249,0.8493280285265711
development,primary_1_4_7,arithmetic_m8,100,18.123166289859345,0.25231444237753753,0.8040990391870341
development,primary_1_4_7,arithmetic_m9,100,16.09143970913357,0.3804143940202064,0.6408636722558488
development,primary_1_4_7,raw_reliability,100,19.133966232935585,0.1969866901304987,0.8760529306199816
development,primary_1_4_7,raw_quality,100,19.626653791003758,0.18376324321867696,0.8867425170871946
development,primary_1_4_7,raw_goodput,100,19.626653791003758,0.18376324321867696,0.8867425170871946
development,primary_1_4_7,arithmetic_reliability,100,19.669175090789796,0.1825800808167292,0.8872288244631555
development,primary_1_4_7,arithmetic_quality,100,19.669175090789796,0.1825800808167292,0.8872288244631555
development,primary_1_4_7,arithmetic_goodput,100,19.669175090789796,0.1825800808167292,0.8872288244631555
development,primary_1_4_7,old_raw_adaptive,100,19.626653791003758,0.18376324321867696,0.8867425170871946
development,primary_1_4_7,r2__full_grid_innovation,100,21.005195508533056,0.2205425965599716,0.7565586995747354
development,primary_1_4_7,r3__full_grid_prediction_features,100,20.879246477550932,0.21873154746575488,0.7575188188089264
development,primary_1_4_7,perceptual_deepjscc,100,24.37833914226956,0.2052910320419404,0.5444265583509372
development,primary_1_4_7,wetok_8PSK_FEC,100,9.525517875353495,0.7052804721726312,0.014664726000175708
development,primary_1_4_7,legacy_Deep_nominal_condition,100,24.37833914226956,0.2052910320419404,0.5444265583509372
development,transition_5_6,raw_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026
development,transition_5_6,raw_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,transition_5_6,raw_m9,100,18.652369941075644,0.22271282107879717,0.8031829188267391
development,transition_5_6,arithmetic_m7,100,18.10169948577881,0.23380434565246105,0.8499016469717026
development,transition_5_6,arithmetic_m8,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,transition_5_6,arithmetic_m9,100,20.457405144373578,0.16644574948896962,0.8962309067944686
development,transition_5_6,raw_reliability,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,transition_5_6,raw_quality,100,20.076524914105732,0.16570514262033004,0.8963012841343879
development,transition_5_6,raw_goodput,100,19.691623792648315,0.17714132828637957,0.8897296416759491
development,transition_5_6,arithmetic_reliability,100,20.386560331980387,0.1592801788045714,0.9049208982785544
