complex_uses,family,snr_db,mode,frames,source_images,raw_payload_bits,accepted_correct_probability,source_packet_BLER,source_index_goodput,psnr_db,lpips,dino_report_only,actual_payload_bits_mean,header_failure_probability,no_accepted_body_probability,body_CRC_failure_given_header_accept,success_lpips_mean,failure_lpips_mean,failure_contribution_to_mean_lpips,failure_frames
4204,raw,7.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1860.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4204,raw,7.0,8,300,100,3060,1.0,0.0,3060.0,19.693439531326295,0.1732283941656351,0.8846415936946869,3060.0,0.0,0.0,0.0,0.1732283941656351,,0.0,0
4204,raw,7.0,9,300,100,5088,1.0,0.0,5088.0,21.271185913085937,0.13148250441998244,0.9132975047826767,5088.0,0.0,0.0,0.0,0.13148250441998244,,0.0,0
4204,raw,13.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1860.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4204,raw,13.0,8,300,100,3060,1.0,0.0,3060.0,19.693439531326295,0.1732283941656351,0.8846415936946869,3060.0,0.0,0.0,0.0,0.1732283941656351,,0.0,0
4204,raw,13.0,9,300,100,5088,1.0,0.0,5088.0,21.271185913085937,0.13148250441998244,0.9132975047826767,5088.0,0.0,0.0,0.0,0.13148250441998244,,0.0,0
4204,raw,19.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1860.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4204,raw,19.0,8,300,100,3060,1.0,0.0,3060.0,19.693439531326295,0.1732283941656351,0.8846415936946869,3060.0,0.0,0.0,0.0,0.1732283941656351,,0.0,0
4204,raw,19.0,9,300,100,5088,1.0,0.0,5088.0,21.271185913085937,0.13148250441998244,0.9132975047826767,5088.0,0.0,0.0,0.0,0.13148250441998244,,0.0,0
4498,arithmetic,1.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1546.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4498,arithmetic,1.0,8,300,100,3060,0.89,0.10999999999999999,2723.4,19.366932764053345,0.18747744823495546,0.868201405107975,2494.47,0.0,0.11,0.11,0.17098782367808987,0.320893501467777,0.03529828516145547,33
4498,arithmetic,1.0,9,300,100,5088,0.01,0.99,50.88,14.075099760691325,0.451809159219265,0.5608045863360167,3997.46,0.0,0.99,0.99,0.06705496211846669,0.4556955652505862,0.45113860959808033,297
4498,arithmetic,4.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1546.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4498,arithmetic,4.0,8,300,100,3060,1.0,0.0,3060.0,19.693439531326295,0.1732283941656351,0.8846415936946869,2494.47,0.0,0.0,0.0,0.1732283941656351,,0.0,0
4498,arithmetic,4.0,9,300,100,5088,1.0,0.0,5088.0,21.271185913085937,0.13148250441998244,0.9132975047826767,3997.46,0.0,0.0,0.0,0.13148250441998244,,0.0,0
4498,arithmetic,7.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1546.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4498,arithmetic,7.0,8,300,100,3060,1.0,0.0,3060.0,19.693439531326295,0.1732283941656351,0.8846415936946869,2494.47,0.0,0.0,0.0,0.1732283941656351,,0.0,0
4498,arithmetic,7.0,9,300,100,5088,1.0,0.0,5088.0,21.271185913085937,0.13148250441998244,0.9132975047826767,3997.46,0.0,0.0,0.0,0.13148250441998244,,0.0,0
4498,arithmetic,13.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1546.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4498,arithmetic,13.0,8,300,100,3060,1.0,0.0,3060.0,19.693439531326295,0.1732283941656351,0.8846415936946869,2494.47,0.0,0.0,0.0,0.1732283941656351,,0.0,0
4498,arithmetic,13.0,9,300,100,5088,1.0,0.0,5088.0,21.271185913085937,0.13148250441998244,0.9132975047826767,3997.46,0.0,0.0,0.0,0.13148250441998244,,0.0,0
4498,arithmetic,19.0,7,300,100,1860,1.0,0.0,1860.0,18.04906759262085,0.2310120003670454,0.8275658386945725,1546.0,0.0,0.0,0.0,0.2310120003670454,,0.0,0
4498,arithmetic,19.0,8,300,100,3060,1.0,0.0,3060.0,19.693439531326295,0.1732283941656351,0.8846415936946869,2494.47,0.0,0.0,0.0,0.1732283941656351,,0.0,0
