method,source_index,image_id,snr_db,seed,mse,lpips_alex,normalized_latent,utility,U_image,header_ok,body_crc_ok
H8-V,9,n01518878/ILSVRC2012_val_00033181_n01518878,4,4102,0.003796970471739769,0.0796089917421341,0.38400596380233765,0.015597930178046227,0.011757870204746723,1,1
H8-V,10,n01530575/ILSVRC2012_val_00027374_n01530575,4,4102,0.007037583272904158,0.1437658667564392,0.9180299043655396,0.030594468116760254,0.021414170041680336,1,1
H8-V,11,n01531178/ILSVRC2012_val_00025888_n01531178,4,4102,0.004847831558436155,0.08208179473876953,0.38494712114334106,0.01690548285841942,0.013056011870503426,1,1
H8-V,12,n01532829/ILSVRC2012_val_00030042_n01532829,4,4102,0.00871562585234642,0.07645521312952042,0.45830658078193665,0.02094421349465847,0.016361147165298462,1,1
H8-V,13,n01534433/ILSVRC2012_val_00030911_n01534433,4,4102,0.00588739849627018,0.08908156305551529,0.6003175973892212,0.020798731595277786,0.014795554801821709,1,1
H8-V,14,n01537544/ILSVRC2012_val_00031716_n01537544,4,4102,0.00853720586746931,0.105386883020401,0.4852345883846283,0.023928239941596985,0.019075894728302956,1,1
H8-V,15,n01558993/ILSVRC2012_val_00029417_n01558993,4,4102,0.006408145185559988,0.06759209930896759,0.33460646867752075,0.016513420268893242,0.013167355209589005,1,1
H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,4,4103,0.004926703870296478,0.12333795428276062,0.5413959622383118,0.02267445996403694,0.01726049929857254,1,1
H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,4,4103,0.009636747650802135,0.18491226434707642,0.6234651803970337,0.03436262905597687,0.02812797576189041,1,1
H8-V,2,n01484850/ILSVRC2012_val_00029481_n01484850,4,4103,0.0038972299080342054,0.1005229726433754,0.4027886390686035,0.017977412790060043,0.013949527405202389,1,1
H8-V,3,n01491361/ILSVRC2012_val_00049000_n01491361,4,4103,0.0014718411257490516,0.07592523843050003,0.33124029636383057,0.01237676851451397,0.009064365178346634,1,1
H8-V,4,n01494475/ILSVRC2012_val_00027283_n01494475,4,4103,0.003218530211597681,0.0895736888051033,0.41793185472488403,0.01635521650314331,0.012175898998975754,1,1
H8-V,5,n01496331/ILSVRC2012_val_00041248_n01496331,4,4103,0.0013558268547058105,0.06582781672477722,0.2650693953037262,0.010589302517473698,0.007938608527183533,1,1
H8-V,6,n01498041/ILSVRC2012_val_00030470_n01498041,4,4103,0.007759828120470047,0.15138345956802368,0.5368674993515015,0.028266850858926773,0.022898174822330475,1,1
H8-V,7,n01514668/ILSVRC2012_val_00016052_n01514668,4,4103,0.010574806481599808,0.1531069576740265,0.8107490539550781,0.03399299457669258,0.025885503739118576,1,1
H8-V,8,n01514859/ILSVRC2012_val_00006195_n01514859,4,4103,0.009753774851560593,0.14296114444732666,0.6742038726806641,0.030791927129030228,0.02404988929629326,1,1
H8-V,9,n01518878/ILSVRC2012_val_00033181_n01518878,4,4103,0.004016514867544174,0.0842244029045105,0.3871192932128906,0.01631014794111252,0.012438955716788769,1,1
H8-V,10,n01530575/ILSVRC2012_val_00027374_n01530575,4,4103,0.007316283881664276,0.1443612277507782,0.9217047691345215,0.03096945211291313,0.021752405911684036,1,1
H8-V,11,n01531178/ILSVRC2012_val_00025888_n01531178,4,4103,0.004834101535379887,0.08606153726577759,0.3837568759918213,0.017277823761105537,0.01344025507569313,1,1
H8-V,12,n01532829/ILSVRC2012_val_00030042_n01532829,4,4103,0.009271740913391113,0.07280496507883072,0.4585909843444824,0.02113814651966095,0.016552237793803215,1,1
H8-V,13,n01534433/ILSVRC2012_val_00030911_n01534433,4,4103,0.0060700103640556335,0.0923282578587532,0.5996377468109131,0.02129921317100525,0.015302835963666439,1,1
H8-V,14,n01537544/ILSVRC2012_val_00031716_n01537544,4,4103,0.008379990234971046,0.10297663509845734,0.488872230052948,0.02356637641787529,0.01867765374481678,1,1
H8-V,15,n01558993/ILSVRC2012_val_00029417_n01558993,4,4103,0.006305350922048092,0.06717490404844284,0.32838472723960876,0.016306689009070396,0.01302284188568592,1,1
H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,7,4101,0.004728604108095169,0.11705266684293747,0.5099904537200928,0.021533776074647903,0.016433872282505035,1,1
H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,7,4101,0.0093291150406003,0.17524687945842743,0.5938761234283447,0.03279256448149681,0.026853803545236588,1,1
H8-V,2,n01484850/ILSVRC2012_val_00029481_n01484850,7,4101,0.0030989376828074455,0.0877121165394783,0.37373897433280945,0.015607539564371109,0.01187014952301979,1,1
H8-V,3,n01491361/ILSVRC2012_val_00049000_n01491361,7,4101,0.001237844000570476,0.07195740938186646,0.30691519379615784,0.011502737179398537,0.008433585055172443,1,1
H8-V,4,n01494475/ILSVRC2012_val_00027283_n01494475,7,4101,0.0031076851300895214,0.08120251446962357,0.380573570728302,0.015033673495054245,0.011227937415242195,1,1
H8-V,5,n01496331/ILSVRC2012_val_00041248_n01496331,7,4101,0.0012684296816587448,0.06193201243877411,0.241926372051239,0.009880894795060158,0.007461631204932928,1,1
H8-V,6,n01498041/ILSVRC2012_val_00030470_n01498041,7,4101,0.007369890809059143,0.14214129745960236,0.5063000917434692,0.026647021993994713,0.02158402092754841,1,1
H8-V,7,n01514668/ILSVRC2012_val_00016052_n01514668,7,4101,0.01005903072655201,0.14512470364570618,0.7742833495140076,0.03231433406472206,0.024571500718593597,1,1
H8-V,8,n01514859/ILSVRC2012_val_00006195_n01514859,7,4101,0.009906863793730736,0.1433066725730896,0.6416430473327637,0.03065396286547184,0.024237532168626785,1,1
H8-V,9,n01518878/ILSVRC2012_val_00033181_n01518878,7,4101,0.003791180904954672,0.08161583542823792,0.3614669442176819,0.015567434951663017,0.01195276528596878,1,1
H8-V,10,n01530575/ILSVRC2012_val_00027374_n01530575,7,4101,0.006754583679139614,0.13650628924369812,0.8824369311332703,0.029229581356048584,0.02040521241724491,1,1
H8-V,11,n01531178/ILSVRC2012_val_00025888_n01531178,7,4101,0.004482259973883629,0.08010208606719971,0.3566136658191681,0.016058605164289474,0.0124924685806036,1,1
H8-V,12,n01532829/ILSVRC2012_val_00030042_n01532829,7,4101,0.008363794535398483,0.06810876727104187,0.42911839485168457,0.0194658562541008,0.01517467200756073,1,1
H8-V,13,n01534433/ILSVRC2012_val_00030911_n01534433,7,4101,0.005729532800614834,0.08904390037059784,0.5733561515808105,0.020367484539747238,0.014633922837674618,1,1
H8-V,14,n01537544/ILSVRC2012_val_00031716_n01537544,7,4101,0.008110057562589645,0.09698227792978287,0.4528791010379791,0.02233707532286644,0.017808284610509872,1,1
H8-V,15,n01558993/ILSVRC2012_val_00029417_n01558993,7,4101,0.006202017888426781,0.06631554663181305,0.3062998652458191,0.015896571800112724,0.012833572924137115,1,1
H8-V,0,n01440764/ILSVRC2012_val_00045866_n01440764,7,4102,0.004598134197294712,0.12149153649806976,0.5111998319625854,0.021859286352992058,0.016747288405895233,1,1
H8-V,1,n01443537/ILSVRC2012_val_00044095_n01443537,7,4102,0.009404380805790424,0.1818435937166214,0.5951884388923645,0.033540625125169754,0.02758873999118805,1,1
H8-V,2,n01484850/ILSVRC2012_val_00029481_n01484850,7,4102,0.003250295761972666,0.09671929478645325,0.37230920791625977,0.016645317897200584,0.012922225520014763,1,1
H8-V,3,n01491361/ILSVRC2012_val_00049000_n01491361,7,4102,0.0012389011681079865,0.07370147109031677,0.3080599308013916,0.011689648032188416,0.008609049022197723,1,1
H8-V,4,n01494475/ILSVRC2012_val_00027283_n01494475,7,4102,0.003071544226258993,0.08004512637853622,0.38180288672447205,0.014894085936248302,0.011076057329773903,1,1
