source_index,image_id,m,N,ND,NA,snr_db,seed,header_ok,header_crc_ok,decoded_mode,decoded_label,body_crc_ok,token_error_rate_including_erasure,prefix_error_normalized,base_error_normalized
4,n01494475/ILSVRC2012_val_00027283_n01494475,6,4084,1200,2816,4,4102,1,1,6,4,1,0.0,0.0,0.7474281191825867
4,n01494475/ILSVRC2012_val_00027283_n01494475,6,4084,1200,2816,4,4103,1,1,6,4,1,0.0,0.0,0.7474281191825867
4,n01494475/ILSVRC2012_val_00027283_n01494475,6,4084,1200,2816,7,4101,1,1,6,4,1,0.0,0.0,0.7474281191825867
4,n01494475/ILSVRC2012_val_00027283_n01494475,6,4084,1200,2816,7,4102,1,1,6,4,1,0.0,0.0,0.7474281191825867
4,n01494475/ILSVRC2012_val_00027283_n01494475,6,4084,1200,2816,7,4103,1,1,6,4,1,0.0,0.0,0.7474281191825867
4,n01494475/ILSVRC2012_val_00027283_n01494475,6,4084,1200,2816,13,4101,1,1,6,4,1,0.0,0.0,0.7474281191825867
4,n01494475/ILSVRC2012_val_00027283_n01494475,6,4084,1200,2816,13,4102,1,1,6,4,1,0.0,0.0,0.7474281191825867
4,n01494475/ILSVRC2012_val_00027283_n01494475,6,4084,1200,2816,13,4103,1,1,6,4,1,0.0,0.0,0.7474281191825867
4,n01494475/ILSVRC2012_val_00027283_n01494475,6,4084,1200,2816,19,4101,1,1,6,4,1,0.0,0.0,0.7474281191825867
4,n01494475/ILSVRC2012_val_00027283_n01494475,6,4084,1200,2816,19,4102,1,1,6,4,1,0.0,0.0,0.7474281191825867
4,n01494475/ILSVRC2012_val_00027283_n01494475,6,4084,1200,2816,19,4103,1,1,6,4,1,0.0,0.0,0.7474281191825867
5,n01496331/ILSVRC2012_val_00041248_n01496331,6,4084,1200,2816,1,4101,1,1,6,5,0,0.13186813186813187,0.03319541737437248,0.5913064479827881
5,n01496331/ILSVRC2012_val_00041248_n01496331,6,4084,1200,2816,1,4102,1,1,6,5,0,0.06593406593406594,0.029101775959134102,0.5575556755065918
5,n01496331/ILSVRC2012_val_00041248_n01496331,6,4084,1200,2816,1,4103,1,1,6,5,0,0.0989010989010989,0.02081120014190674,0.5812907218933105
5,n01496331/ILSVRC2012_val_00041248_n01496331,6,4084,1200,2816,4,4101,1,1,6,5,1,0.0,0.0,0.49688953161239624
5,n01496331/ILSVRC2012_val_00041248_n01496331,6,4084,1200,2816,4,4102,1,1,6,5,1,0.0,0.0,0.49688953161239624
5,n01496331/ILSVRC2012_val_00041248_n01496331,6,4084,1200,2816,4,4103,1,1,6,5,1,0.0,0.0,0.49688953161239624
5,n01496331/ILSVRC2012_val_00041248_n01496331,6,4084,1200,2816,7,4101,1,1,6,5,1,0.0,0.0,0.49688953161239624
5,n01496331/ILSVRC2012_val_00041248_n01496331,6,4084,1200,2816,7,4102,1,1,6,5,1,0.0,0.0,0.49688953161239624
5,n01496331/ILSVRC2012_val_00041248_n01496331,6,4084,1200,2816,7,4103,1,1,6,5,1,0.0,0.0,0.49688953161239624
5,n01496331/ILSVRC2012_val_00041248_n01496331,6,4084,1200,2816,13,4101,1,1,6,5,1,0.0,0.0,0.49688953161239624
5,n01496331/ILSVRC2012_val_00041248_n01496331,6,4084,1200,2816,13,4102,1,1,6,5,1,0.0,0.0,0.49688953161239624
5,n01496331/ILSVRC2012_val_00041248_n01496331,6,4084,1200,2816,13,4103,1,1,6,5,1,0.0,0.0,0.49688953161239624
5,n01496331/ILSVRC2012_val_00041248_n01496331,6,4084,1200,2816,19,4101,1,1,6,5,1,0.0,0.0,0.49688953161239624
5,n01496331/ILSVRC2012_val_00041248_n01496331,6,4084,1200,2816,19,4102,1,1,6,5,1,0.0,0.0,0.49688953161239624
5,n01496331/ILSVRC2012_val_00041248_n01496331,6,4084,1200,2816,19,4103,1,1,6,5,1,0.0,0.0,0.49688953161239624
6,n01498041/ILSVRC2012_val_00030470_n01498041,6,4084,1200,2816,1,4101,1,1,6,6,0,0.06593406593406594,0.019348882138729095,0.9797753691673279
6,n01498041/ILSVRC2012_val_00030470_n01498041,6,4084,1200,2816,1,4102,1,1,6,6,0,0.08791208791208792,0.03433094918727875,1.0274896621704102
6,n01498041/ILSVRC2012_val_00030470_n01498041,6,4084,1200,2816,1,4103,1,1,6,6,0,0.01098901098901099,0.002819996327161789,0.9391651153564453
6,n01498041/ILSVRC2012_val_00030470_n01498041,6,4084,1200,2816,4,4101,1,1,6,6,1,0.0,0.0,0.9296476244926453
6,n01498041/ILSVRC2012_val_00030470_n01498041,6,4084,1200,2816,4,4102,1,1,6,6,1,0.0,0.0,0.9296476244926453
6,n01498041/ILSVRC2012_val_00030470_n01498041,6,4084,1200,2816,4,4103,1,1,6,6,1,0.0,0.0,0.9296476244926453
6,n01498041/ILSVRC2012_val_00030470_n01498041,6,4084,1200,2816,7,4101,1,1,6,6,1,0.0,0.0,0.9296476244926453
6,n01498041/ILSVRC2012_val_00030470_n01498041,6,4084,1200,2816,7,4102,1,1,6,6,1,0.0,0.0,0.9296476244926453
6,n01498041/ILSVRC2012_val_00030470_n01498041,6,4084,1200,2816,7,4103,1,1,6,6,1,0.0,0.0,0.9296476244926453
6,n01498041/ILSVRC2012_val_00030470_n01498041,6,4084,1200,2816,13,4101,1,1,6,6,1,0.0,0.0,0.9296476244926453
6,n01498041/ILSVRC2012_val_00030470_n01498041,6,4084,1200,2816,13,4102,1,1,6,6,1,0.0,0.0,0.9296476244926453
6,n01498041/ILSVRC2012_val_00030470_n01498041,6,4084,1200,2816,13,4103,1,1,6,6,1,0.0,0.0,0.9296476244926453
6,n01498041/ILSVRC2012_val_00030470_n01498041,6,4084,1200,2816,19,4101,1,1,6,6,1,0.0,0.0,0.9296476244926453
6,n01498041/ILSVRC2012_val_00030470_n01498041,6,4084,1200,2816,19,4102,1,1,6,6,1,0.0,0.0,0.9296476244926453
6,n01498041/ILSVRC2012_val_00030470_n01498041,6,4084,1200,2816,19,4103,1,1,6,6,1,0.0,0.0,0.9296476244926453
7,n01514668/ILSVRC2012_val_00016052_n01514668,6,4084,1200,2816,1,4101,1,1,6,7,0,0.06593406593406594,0.01661473885178566,1.4989688396453857
7,n01514668/ILSVRC2012_val_00016052_n01514668,6,4084,1200,2816,1,4102,1,1,6,7,0,0.054945054945054944,0.011822081170976162,1.4454615116119385
