population,image_index,image_id,family,budget,mode,renderer,snr_db,seed,raw_payload_bits,actual_payload_bits,header_accepted,body_crc_accepted,accepted_correct,source_complete,psnr_db,lpips
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,8,Dc,7.0,4101,3060,2540,1,1,1,1,23.711271286010742,0.11442739516496658
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,8,Dc,7.0,4102,3060,2540,1,1,1,1,23.711271286010742,0.11442740261554718
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,8,Dc,7.0,4103,3060,2540,1,1,1,1,23.711271286010742,0.11442739516496658
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,8,Dc,13.0,4101,3060,2540,1,1,1,1,23.711271286010742,0.11442740261554718
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,8,Dc,13.0,4102,3060,2540,1,1,1,1,23.711271286010742,0.11442739516496658
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,8,Dc,13.0,4103,3060,2540,1,1,1,1,23.711271286010742,0.11442740261554718
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,8,Dc,19.0,4101,3060,2540,1,1,1,1,23.711271286010742,0.11442739516496658
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,8,Dc,19.0,4102,3060,2540,1,1,1,1,23.711271286010742,0.11442740261554718
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,arithmetic,4084,8,Dc,19.0,4103,3060,2540,1,1,1,1,23.711271286010742,0.11442739516496658
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,arithmetic,4084,8,Dc,1.0,4101,3060,2339,1,1,1,1,26.70231056213379,0.10276539623737335
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,arithmetic,4084,8,Dc,1.0,4102,3060,2339,1,1,1,1,26.70231056213379,0.10276539623737335
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,arithmetic,4084,8,Dc,1.0,4103,3060,2339,1,1,1,1,26.70231056213379,0.10276538878679276
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,arithmetic,4084,8,Dc,4.0,4101,3060,2339,1,1,1,1,26.70231056213379,0.10276539623737335
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,arithmetic,4084,8,Dc,4.0,4102,3060,2339,1,1,1,1,26.70231056213379,0.10276539623737335
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,arithmetic,4084,8,Dc,4.0,4103,3060,2339,1,1,1,1,26.70231056213379,0.10276539623737335
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,arithmetic,4084,8,Dc,7.0,4101,3060,2339,1,1,1,1,26.70231056213379,0.10276538878679276
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,arithmetic,4084,8,Dc,7.0,4102,3060,2339,1,1,1,1,26.70231056213379,0.10276539623737335
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,arithmetic,4084,8,Dc,7.0,4103,3060,2339,1,1,1,1,26.70231056213379,0.10276539623737335
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,arithmetic,4084,8,Dc,13.0,4101,3060,2339,1,1,1,1,26.70231056213379,0.10276539623737335
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,arithmetic,4084,8,Dc,13.0,4102,3060,2339,1,1,1,1,26.70231056213379,0.10276538878679276
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,arithmetic,4084,8,Dc,13.0,4103,3060,2339,1,1,1,1,26.70231056213379,0.10276539623737335
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,arithmetic,4084,8,Dc,19.0,4101,3060,2339,1,1,1,1,26.70231056213379,0.10276539623737335
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,arithmetic,4084,8,Dc,19.0,4102,3060,2339,1,1,1,1,26.70231056213379,0.10276539623737335
calibration,5,n01496331/ILSVRC2012_val_00041248_n01496331,arithmetic,4084,8,Dc,19.0,4103,3060,2339,1,1,1,1,26.70231056213379,0.10276538878679276
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,arithmetic,4084,8,Dc,1.0,4101,3060,2611,1,0,0,1,14.998796463012695,0.43662235140800476
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,arithmetic,4084,8,Dc,1.0,4102,3060,2611,1,0,0,1,15.98568344116211,0.33802732825279236
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,arithmetic,4084,8,Dc,1.0,4103,3060,2611,1,0,0,1,18.521434783935547,0.2082638293504715
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,arithmetic,4084,8,Dc,4.0,4101,3060,2611,1,1,1,1,19.339353561401367,0.19402723014354706
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,arithmetic,4084,8,Dc,4.0,4102,3060,2611,1,1,1,1,19.339353561401367,0.19402723014354706
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,arithmetic,4084,8,Dc,4.0,4103,3060,2611,1,1,1,1,19.339353561401367,0.19402723014354706
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,arithmetic,4084,8,Dc,7.0,4101,3060,2611,1,1,1,1,19.339353561401367,0.19402721524238586
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,arithmetic,4084,8,Dc,7.0,4102,3060,2611,1,1,1,1,19.339353561401367,0.19402723014354706
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,arithmetic,4084,8,Dc,7.0,4103,3060,2611,1,1,1,1,19.339353561401367,0.19402721524238586
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,arithmetic,4084,8,Dc,13.0,4101,3060,2611,1,1,1,1,19.339353561401367,0.19402723014354706
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,arithmetic,4084,8,Dc,13.0,4102,3060,2611,1,1,1,1,19.339353561401367,0.19402723014354706
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,arithmetic,4084,8,Dc,13.0,4103,3060,2611,1,1,1,1,19.339353561401367,0.19402723014354706
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,arithmetic,4084,8,Dc,19.0,4101,3060,2611,1,1,1,1,19.339353561401367,0.19402721524238586
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,arithmetic,4084,8,Dc,19.0,4102,3060,2611,1,1,1,1,19.339353561401367,0.19402723014354706
calibration,6,n01498041/ILSVRC2012_val_00030470_n01498041,arithmetic,4084,8,Dc,19.0,4103,3060,2611,1,1,1,1,19.339353561401367,0.19402723014354706
