population,image_index,image_id,family,budget,mode,renderer,snr_db,seed,raw_payload_bits,actual_payload_bits,header_accepted,body_crc_accepted,accepted_correct,source_complete,psnr_db,lpips
calibration,3,n01491361/ILSVRC2012_val_00049000_n01491361,raw,4084,9,Dc,19.0,4103,5088,5088,1,1,1,1,28.283226013183594,0.07331910729408264
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,raw,4084,9,Dc,1.0,4101,5088,5088,1,0,0,1,10.789183616638184,0.5557698011398315
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,raw,4084,9,Dc,1.0,4102,5088,5088,1,0,0,1,11.646500587463379,0.5958794355392456
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,raw,4084,9,Dc,1.0,4103,5088,5088,1,0,0,1,9.729218482971191,0.6896202564239502
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,raw,4084,9,Dc,4.0,4101,5088,5088,1,0,0,1,22.459796905517578,0.11479117721319199
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,raw,4084,9,Dc,4.0,4102,5088,5088,1,0,0,1,24.405954360961914,0.0907764807343483
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,raw,4084,9,Dc,4.0,4103,5088,5088,1,0,0,1,24.55814552307129,0.0841086208820343
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,raw,4084,9,Dc,7.0,4101,5088,5088,1,1,1,1,24.566452026367188,0.08503034710884094
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,raw,4084,9,Dc,7.0,4102,5088,5088,1,1,1,1,24.566452026367188,0.08503034710884094
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,raw,4084,9,Dc,7.0,4103,5088,5088,1,1,1,1,24.566452026367188,0.08503034710884094
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,raw,4084,9,Dc,13.0,4101,5088,5088,1,1,1,1,24.566452026367188,0.08503034710884094
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,raw,4084,9,Dc,13.0,4102,5088,5088,1,1,1,1,24.566452026367188,0.08503034710884094
calibration,4,n01494475/ILSVRC2012_val_00027283_n01494475,raw,4084,9,Dc,13.0,4103,5088,5088,1,1,1,1,24.566452026367188,0.08503034710884094
