method,selected_endpoint,source_index,image_id,snr_db,seed,N,E,psnr_db,lpips_alex,dino_cosine
calibration_frozen_resource_lookup,m8_plus_latent_1024,5,n01744401/ILSVRC2012_val_00032663_n01744401,13.0,2002,4084,8168,24.61214256286621,0.11654257029294968,0.8497915267944336
calibration_frozen_resource_lookup,m8_plus_latent_1024,5,n01744401/ILSVRC2012_val_00032663_n01744401,13.0,2003,4084,8168,24.563491821289062,0.1192287877202034,0.8641960024833679
calibration_frozen_resource_lookup,m8_plus_latent_1024,5,n01744401/ILSVRC2012_val_00032663_n01744401,19.0,2001,4084,8168,24.614521026611328,0.11842154711484909,0.8555682897567749
calibration_frozen_resource_lookup,m8_plus_latent_1024,5,n01744401/ILSVRC2012_val_00032663_n01744401,19.0,2002,4084,8168,24.630653381347656,0.11507110297679901,0.8564478158950806
calibration_frozen_resource_lookup,m8_plus_latent_1024,5,n01744401/ILSVRC2012_val_00032663_n01744401,19.0,2003,4084,8168,24.602014541625977,0.11649717390537262,0.861677885055542
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,1.0,2001,4084,8168,22.954944610595703,0.20232364535331726,0.8637195825576782
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,1.0,2002,4084,8168,22.962867736816406,0.20191572606563568,0.8582758903503418
calibration_frozen_resource_lookup,m8_plus_latent_512_fold_N4084,6,n01751748/ILSVRC2012_val_00033157_n01751748,1.0,2003,4084,8168,23.152780532836914,0.1980040967464447,0.9014074802398682
calibration_frozen_resource_lookup,m8_plus_latent_1024,6,n01751748/ILSVRC2012_val_00033157_n01751748,4.0,2001,4084,8168,23.80415916442871,0.1698036789894104,0.8961772918701172
calibration_frozen_resource_lookup,m8_plus_latent_1024,6,n01751748/ILSVRC2012_val_00033157_n01751748,4.0,2002,4084,8168,23.782703399658203,0.1575830727815628,0.9274605512619019
calibration_frozen_resource_lookup,m8_plus_latent_1024,6,n01751748/ILSVRC2012_val_00033157_n01751748,4.0,2003,4084,8168,23.77939224243164,0.17074288427829742,0.8587355613708496
calibration_frozen_resource_lookup,m8_plus_latent_1024,6,n01751748/ILSVRC2012_val_00033157_n01751748,7.0,2001,4084,8168,23.9540958404541,0.16433988511562347,0.9034935235977173
calibration_frozen_resource_lookup,m8_plus_latent_1024,6,n01751748/ILSVRC2012_val_00033157_n01751748,7.0,2002,4084,8168,23.929428100585938,0.15280312299728394,0.9270920157432556
calibration_frozen_resource_lookup,m8_plus_latent_1024,6,n01751748/ILSVRC2012_val_00033157_n01751748,7.0,2003,4084,8168,23.938678741455078,0.16636984050273895,0.8769346475601196
calibration_frozen_resource_lookup,m8_plus_latent_1024,6,n01751748/ILSVRC2012_val_00033157_n01751748,13.0,2001,4084,8168,24.089296340942383,0.15638524293899536,0.9144560098648071
calibration_frozen_resource_lookup,m8_plus_latent_1024,6,n01751748/ILSVRC2012_val_00033157_n01751748,13.0,2002,4084,8168,24.06905174255371,0.1530928909778595,0.9227367043495178
