method,selected_mode,source_index,image_id,snr_db,seed,N,E,psnr_db,lpips_alex,dino_cosine
arithmetic_adaptive_m789_Dc,8,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2002,4084,8168,12.487747192382812,0.33411282300949097,0.7147300839424133
raw_adaptive_m789_Dc,8,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2003,4084,8168,15.101099967956543,0.22025972604751587,0.8060376048088074
arithmetic_adaptive_m789_Dc,8,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2003,4084,8168,15.517769813537598,0.20704947412014008,0.8456032276153564
raw_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2001,4084,8168,16.59857177734375,0.1849108636379242,0.8713977336883545
arithmetic_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2001,4084,8168,14.650925636291504,0.2533109188079834,0.7377930879592896
raw_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2002,4084,8168,16.627609252929688,0.18445762991905212,0.9040768146514893
arithmetic_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2002,4084,8168,16.627696990966797,0.18437612056732178,0.8713895678520203
raw_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2003,4084,8168,16.3699951171875,0.18784034252166748,0.8590346574783325
arithmetic_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2003,4084,8168,16.627696990966797,0.18437612056732178,0.8713895678520203
raw_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2001,4084,8168,16.627696990966797,0.18437612056732178,0.8713895678520203
arithmetic_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2001,4084,8168,16.627696990966797,0.18437612056732178,0.8713895678520203
raw_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2002,4084,8168,16.627696990966797,0.18437612056732178,0.8713895678520203
arithmetic_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2002,4084,8168,16.627696990966797,0.18437612056732178,0.8713895678520203
raw_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2003,4084,8168,16.627696990966797,0.18437612056732178,0.8713893890380859
arithmetic_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2003,4084,8168,16.627696990966797,0.18437612056732178,0.8713893890380859
raw_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2001,4084,8168,16.627696990966797,0.18437612056732178,0.8713893890380859
arithmetic_adaptive_m789_Dc,9,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2001,4084,8168,16.627696990966797,0.18437612056732178,0.8713893890380859
