method,source_index,image_id,snr_db,seed,N,E,psnr_db,lpips_alex,dino_cosine
m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2002,4084,8168,15.762260437011719,0.28886741399765015,0.5963953733444214
m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,1.0,2003,4084,8168,16.214963912963867,0.2062859982252121,0.8008663654327393
m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2001,4084,8168,16.72531509399414,0.18167054653167725,0.8038159608840942
m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2002,4084,8168,16.74384117126465,0.17869353294372559,0.8432117700576782
m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,4.0,2003,4084,8168,16.712053298950195,0.18080925941467285,0.8496904969215393
m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2001,4084,8168,16.894794464111328,0.17768271267414093,0.8171153664588928
m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2002,4084,8168,16.89675521850586,0.1740833818912506,0.8411620855331421
m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,7.0,2003,4084,8168,16.88075828552246,0.17722538113594055,0.8552451133728027
m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2001,4084,8168,17.065013885498047,0.1738184541463852,0.8372381925582886
m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2002,4084,8168,17.060840606689453,0.17050285637378693,0.844470739364624
m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,13.0,2003,4084,8168,17.049346923828125,0.1742085963487625,0.8552830219268799
m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2001,4084,8168,17.112401962280273,0.17199450731277466,0.8499127626419067
m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2002,4084,8168,17.10887336730957,0.17017152905464172,0.8493996262550354
m8_plus_latent_512_fold_N4084,3,n01689811/ILSVRC2012_val_00020598_n01689811,19.0,2003,4084,8168,17.105587005615234,0.17164115607738495,0.8558146953582764
m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2001,4084,8168,18.209169387817383,0.20691923797130585,0.8198611736297607
m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2002,4084,8168,18.257490158081055,0.20534870028495789,0.7987127304077148
m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,1.0,2003,4084,8168,18.072837829589844,0.23256376385688782,0.8256282210350037
m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2001,4084,8168,18.742937088012695,0.1831229329109192,0.85333251953125
m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2002,4084,8168,18.710750579833984,0.18877825140953064,0.8171607851982117
m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,4.0,2003,4084,8168,18.76616668701172,0.18366725742816925,0.829938530921936
m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2001,4084,8168,18.853527069091797,0.18056783080101013,0.8492637872695923
m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2002,4084,8168,18.832263946533203,0.18331129848957062,0.8318737745285034
m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,7.0,2003,4084,8168,18.86743927001953,0.1817047894001007,0.8431024551391602
m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2001,4084,8168,18.965627670288086,0.17952170968055725,0.8496189713478088
m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2002,4084,8168,18.957408905029297,0.17947380244731903,0.842463493347168
m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,13.0,2003,4084,8168,18.96982192993164,0.17978782951831818,0.8565618395805359
m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2001,4084,8168,18.999666213989258,0.17912286520004272,0.8593669533729553
m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2002,4084,8168,18.997833251953125,0.17892959713935852,0.8557366728782654
m8_plus_latent_512_fold_N4084,4,n01735189/ILSVRC2012_val_00006699_n01735189,19.0,2003,4084,8168,19.00205421447754,0.1787131130695343,0.8621872663497925
m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2001,4084,8168,23.098154067993164,0.22459056973457336,0.4421520233154297
m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2002,4084,8168,23.990814208984375,0.185548335313797,0.8109860420227051
m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,1.0,2003,4084,8168,23.890239715576172,0.15398375689983368,0.7874988913536072
m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2001,4084,8168,24.182950973510742,0.13862426578998566,0.8356932401657104
m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2002,4084,8168,24.18452262878418,0.13273097574710846,0.8470891118049622
m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,4.0,2003,4084,8168,24.218429565429688,0.13835683465003967,0.8300317525863647
m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2001,4084,8168,24.280881881713867,0.1339462846517563,0.8471601009368896
m8_plus_latent_512_fold_N4084,5,n01744401/ILSVRC2012_val_00032663_n01744401,7.0,2002,4084,8168,24.277971267700195,0.1288495659828186,0.8477115631103516
