method,source_index,snr_db,seed_keys,psnr_db,lpips_alex,dino_cosine
PCA_residual,22,1.0,"2001,2002,2003",14.458443959554037,0.29033444325129193,0.7972285747528076
PCA_residual,22,4.0,"2001,2002,2003",20.338410059611004,0.12790870169798532,0.9625414808591207
PCA_residual,22,7.0,"2001,2002,2003",20.717007954915363,0.12025334686040878,0.9649587074915568
PCA_residual,22,13.0,"2001,2002,2003",21.12356948852539,0.11040575057268143,0.9663158655166626
PCA_residual,22,19.0,"2001,2002,2003",21.21868069966634,0.10864721735318501,0.9652608831723531
PCA_residual,23,1.0,"2001,2002,2003",23.300665537516277,0.18797444800535837,0.8843429684638977
PCA_residual,23,4.0,"2001,2002,2003",25.601949055989582,0.14849868913491568,0.936764677365621
PCA_residual,23,7.0,"2001,2002,2003",25.722094853719074,0.14604112009207407,0.9371080199877421
PCA_residual,23,13.0,"2001,2002,2003",25.838571548461914,0.14305643240610758,0.9368558128674825
PCA_residual,23,19.0,"2001,2002,2003",25.87301508585612,0.14204934736092886,0.9361360470453898
PCA_residual,24,1.0,"2001,2002,2003",13.068591435750326,0.3254299263159434,0.7227072914441427
PCA_residual,24,4.0,"2001,2002,2003",19.672614415486652,0.16056043406327566,0.8845579822858175
PCA_residual,24,7.0,"2001,2002,2003",19.99469820658366,0.15331960717837015,0.8906487623850504
PCA_residual,24,13.0,"2001,2002,2003",20.351996103922527,0.14532970388730368,0.8966477910677592
PCA_residual,24,19.0,"2001,2002,2003",20.461796442667644,0.1427443524201711,0.9012189507484436
PCA_residual,25,1.0,"2001,2002,2003",17.896193822224934,0.25924430787563324,0.6903029282887777
PCA_residual,25,4.0,"2001,2002,2003",20.388139088948567,0.15905321141084036,0.8265967965126038
PCA_residual,25,7.0,"2001,2002,2003",20.560645421346027,0.15491407116254172,0.8285443385442098
PCA_residual,25,13.0,"2001,2002,2003",20.7521177927653,0.15027154982089996,0.8265138665835062
PCA_residual,25,19.0,"2001,2002,2003",20.799368540445965,0.1489895979563395,0.8272277315457662
PCA_residual,26,1.0,"2001,2002,2003",15.015126864115397,0.3398571014404297,0.8397000034650167
PCA_residual,26,4.0,"2001,2002,2003",17.27699597676595,0.20833464960257211,0.903109093507131
PCA_residual,26,7.0,"2001,2002,2003",17.403736750284832,0.20526347060998282,0.9039173126220703
PCA_residual,26,13.0,"2001,2002,2003",17.533655166625977,0.20075508952140808,0.9030924638112386
PCA_residual,26,19.0,"2001,2002,2003",17.576980590820312,0.19800086319446564,0.9022790789604187
PCA_residual,27,1.0,"2001,2002,2003",20.792392094930012,0.2183022995789846,0.7719156344731649
PCA_residual,27,4.0,"2001,2002,2003",24.259904225667317,0.11449831227461497,0.8896687825520834
PCA_residual,27,7.0,"2001,2002,2003",24.373533248901367,0.11176642278830211,0.8895543018976847
PCA_residual,27,13.0,"2001,2002,2003",24.47304407755534,0.10898615419864655,0.8872782389322916
PCA_residual,27,19.0,"2001,2002,2003",24.497419993082683,0.10805450628201167,0.8854777614275614
PCA_residual,28,1.0,"2001,2002,2003",16.946561495463055,0.2835279256105423,0.597053050994873
PCA_residual,28,4.0,"2001,2002,2003",21.11363347371419,0.13380494713783264,0.8762289881706238
PCA_residual,28,7.0,"2001,2002,2003",21.22752507527669,0.13070920606454214,0.8867883682250977
PCA_residual,28,13.0,"2001,2002,2003",21.337317148844402,0.12680138647556305,0.8947186867396036
PCA_residual,28,19.0,"2001,2002,2003",21.369783401489258,0.1254137804110845,0.8955655892690023
PCA_residual,29,1.0,"2001,2002,2003",18.478782018025715,0.2503804415464401,0.7244876424471537
PCA_residual,29,4.0,"2001,2002,2003",21.699267705281574,0.1422222057978312,0.8231245676676432
PCA_residual,29,7.0,"2001,2002,2003",21.88447634379069,0.13895079990228018,0.8275941809018453
PCA_residual,29,13.0,"2001,2002,2003",22.06730779012044,0.13681388894716898,0.8376378218332926
PCA_residual,29,19.0,"2001,2002,2003",22.12646738688151,0.13577416042486826,0.8438406189282736
PCA_residual,30,1.0,"2001,2002,2003",24.222877502441406,0.21961105366547903,0.8356475234031677
PCA_residual,30,4.0,"2001,2002,2003",29.398693084716797,0.09219768146673839,0.9285196463267008
PCA_residual,30,7.0,"2001,2002,2003",29.54618771870931,0.09028016527493794,0.9339555700620016
PCA_residual,30,13.0,"2001,2002,2003",29.682517369588215,0.08871743579705556,0.9369760354359945
PCA_residual,30,19.0,"2001,2002,2003",29.717604955037434,0.08871524035930634,0.9376503825187683
PCA_residual,31,1.0,"2001,2002,2003",15.43537680308024,0.23569766680399576,0.8113802274068197
PCA_residual,31,4.0,"2001,2002,2003",16.4981746673584,0.1953952411810557,0.8899849851926168
PCA_residual,31,7.0,"2001,2002,2003",16.60374387105306,0.19048862159252167,0.8925918936729431
PCA_residual,31,13.0,"2001,2002,2003",16.708927154541016,0.18591738740603128,0.889565904935201
PCA_residual,31,19.0,"2001,2002,2003",16.739214579264324,0.1845282812913259,0.884074886639913
PCA_residual,32,1.0,"2001,2002,2003",18.807669321695965,0.21148157119750977,0.9054989814758301
PCA_residual,32,4.0,"2001,2002,2003",20.433207829793293,0.16762186586856842,0.9416106740633646
PCA_residual,32,7.0,"2001,2002,2003",20.70251528422038,0.16583450635274252,0.9431549509366354
PCA_residual,32,13.0,"2001,2002,2003",20.998886744181316,0.1645844727754593,0.9431350032488505
PCA_residual,32,19.0,"2001,2002,2003",21.076618830362957,0.16465223332246146,0.9422531326611837
PCA_residual,33,1.0,"2001,2002,2003",18.244543075561523,0.23834737638632456,0.7654818693796793
PCA_residual,33,4.0,"2001,2002,2003",20.395448684692383,0.16273504992326102,0.8854775428771973
PCA_residual,33,7.0,"2001,2002,2003",20.549538294474285,0.16037720441818237,0.8830733696619669
PCA_residual,33,13.0,"2001,2002,2003",20.711238225301106,0.1580743044614792,0.8871567845344543
PCA_residual,33,19.0,"2001,2002,2003",20.76118278503418,0.15690347055594125,0.8953920404116312
PCA_residual,34,1.0,"2001,2002,2003",17.58818022410075,0.24487650394439697,0.7900393605232239
PCA_residual,34,4.0,"2001,2002,2003",22.9982484181722,0.11096920818090439,0.8858153820037842
PCA_residual,34,7.0,"2001,2002,2003",23.149179458618164,0.10737807552019756,0.8912590146064758
PCA_residual,34,13.0,"2001,2002,2003",23.300507227579754,0.10486391931772232,0.8950236439704895
PCA_residual,34,19.0,"2001,2002,2003",23.34882354736328,0.10447370260953903,0.896165152390798
PCA_residual,35,1.0,"2001,2002,2003",15.232186317443848,0.33129921555519104,0.7325299580891927
PCA_residual,35,4.0,"2001,2002,2003",16.74212074279785,0.22610304752985635,0.9078278541564941
PCA_residual,35,7.0,"2001,2002,2003",16.85231653849284,0.22064222395420074,0.9119932651519775
PCA_residual,35,13.0,"2001,2002,2003",16.96390724182129,0.2165863960981369,0.9140540361404419
PCA_residual,35,19.0,"2001,2002,2003",16.998486200968426,0.2158328096071879,0.9152116179466248
PCA_residual,36,1.0,"2001,2002,2003",19.53714084625244,0.2070163687070211,0.7764658133188883
PCA_residual,36,4.0,"2001,2002,2003",23.911977132161457,0.11287933091322581,0.9025059143702189
PCA_residual,36,7.0,"2001,2002,2003",24.183252970377605,0.10997314502795537,0.9044057925542196
PCA_residual,36,13.0,"2001,2002,2003",24.437223434448242,0.10660983622074127,0.9022896488507589
PCA_residual,36,19.0,"2001,2002,2003",24.502029418945312,0.10536125550667445,0.9019316832224528
PCA_residual,37,1.0,"2001,2002,2003",18.309293746948242,0.23721620440483093,0.8359448512395223
