snr_db,method,control,metric,delta,ci_low,ci_high
6.0,prefix_next_scale,digital_m8,dino_cosine,-0.10065146098534267,-0.11356023174027599,-0.08769334579259157
6.0,prefix_next_scale,digital_adaptive,psnr_db,-1.7371720536549886,-1.9788133521874747,-1.4927405180931086
6.0,prefix_next_scale,digital_adaptive,lpips_alex,0.13520157047857842,0.1253030620831996,0.14557840298457692
6.0,prefix_next_scale,digital_adaptive,dino_cosine,-0.11379474769035974,-0.12871521557619173,-0.09932640007138252
6.0,prefix_next_scale,perceptual_deepjscc,psnr_db,-4.919638891220092,-5.200671140193939,-4.63566503405571
6.0,prefix_next_scale,perceptual_deepjscc,lpips_alex,-0.017772674337029455,-0.029618574819527562,-0.005854303409035014
6.0,prefix_next_scale,perceptual_deepjscc,dino_cosine,0.28789078685144587,0.26058474666252734,0.31550676305467884
7.0,prefix_next_scale,prefix_parallel,psnr_db,0.6225929546356201,0.3988648305733999,0.8792817317644755
7.0,prefix_next_scale,prefix_parallel,lpips_alex,-0.01966969481358926,-0.029230098256220416,-0.010372102881781762
7.0,prefix_next_scale,prefix_parallel,dino_cosine,0.023769474824269613,0.008720357204476989,0.039180155950287975
7.0,prefix_parallel,digital_m8,psnr_db,-1.5271481068929038,-1.879388652801514,-1.2084794709682465
7.0,prefix_parallel,digital_m8,lpips_alex,0.12483732448890805,0.11413250085261338,0.13619837167455506
7.0,prefix_parallel,digital_m8,dino_cosine,-0.11373913486798605,-0.13018776039530836,-0.09834166839967172
7.0,prefix_parallel,digital_adaptive,psnr_db,-3.005210774739583,-3.403834414482116,-2.6355548880894974
7.0,prefix_parallel,digital_adaptive,lpips_alex,0.16450766476492093,0.15383354780760905,0.17557476532862834
7.0,prefix_parallel,digital_adaptive,dino_cosine,-0.14580790400505067,-0.162799694729348,-0.12974156860758862
7.0,prefix_parallel,perceptual_deepjscc,psnr_db,-7.191048332850138,-7.618460989793141,-6.771189106782278
7.0,prefix_parallel,perceptual_deepjscc,lpips_alex,0.13543693979581195,0.12518934799389292,0.1457218098603189
7.0,prefix_parallel,perceptual_deepjscc,dino_cosine,0.12055127049485843,0.09586759875590603,0.1450972815280159
7.0,prefix_next_scale,digital_m8,psnr_db,-0.9045551522572837,-1.093600329875946,-0.7125833539962768
7.0,prefix_next_scale,digital_m8,lpips_alex,0.10516762967531879,0.0965596890791009,0.11425750180644295
7.0,prefix_next_scale,digital_m8,dino_cosine,-0.08996966004371643,-0.10279939535756906,-0.07737323609491188
7.0,prefix_next_scale,digital_adaptive,psnr_db,-2.3826178201039636,-2.6549253989060717,-2.1102480525175733
7.0,prefix_next_scale,digital_adaptive,lpips_alex,0.14483796995133164,0.13531682897980013,0.1546059598059704
7.0,prefix_next_scale,digital_adaptive,dino_cosine,-0.12203842918078105,-0.13629136875271797,-0.10845043240487577
7.0,prefix_next_scale,perceptual_deepjscc,psnr_db,-6.56845537821452,-6.922271751244863,-6.211080074946085
7.0,prefix_next_scale,perceptual_deepjscc,lpips_alex,0.11576724498222271,0.10584546922395625,0.12564143494299304
7.0,prefix_next_scale,perceptual_deepjscc,dino_cosine,0.14432074531912806,0.12069981582959495,0.16839371545488632
13.0,prefix_next_scale,prefix_parallel,psnr_db,0.5004832649230957,0.27034029634793605,0.7700760755538936
13.0,prefix_next_scale,prefix_parallel,lpips_alex,-0.019992883789042633,-0.03071778925508261,-0.009969379231954616
13.0,prefix_next_scale,prefix_parallel,dino_cosine,0.013191657662391663,-0.0011415042281150815,0.02833247041205564
13.0,prefix_parallel,digital_m8,psnr_db,-1.1529377905527751,-1.4973664265473683,-0.8538541957537334
13.0,prefix_parallel,digital_m8,lpips_alex,0.10497896213705339,0.09409712733452519,0.11680561440624296
13.0,prefix_parallel,digital_m8,dino_cosine,-0.08747051417827607,-0.10370638196667036,-0.07201474177837372
13.0,prefix_parallel,digital_adaptive,psnr_db,-2.70504202524821,-3.1010918744405114,-2.352219840923945
13.0,prefix_parallel,digital_adaptive,lpips_alex,0.14622466883311666,0.13536670855029176,0.1576584504234294
13.0,prefix_parallel,digital_adaptive,dino_cosine,-0.12159963428974153,-0.13852477498849233,-0.10588853365679585
13.0,prefix_parallel,perceptual_deepjscc,psnr_db,-7.928586444854737,-8.409396779060364,-7.46517834075292
13.0,prefix_parallel,perceptual_deepjscc,lpips_alex,0.14347246911376713,0.13286021860130132,0.15434331702192625
13.0,prefix_parallel,perceptual_deepjscc,dino_cosine,0.0571058563888073,0.033860077070693176,0.0802366885257264
13.0,prefix_next_scale,digital_m8,psnr_db,-0.6524545256296794,-0.8345174111525214,-0.46995528546969095
13.0,prefix_next_scale,digital_m8,lpips_alex,0.08498607834801078,0.07665826603475337,0.09368603612016885
13.0,prefix_next_scale,digital_m8,dino_cosine,-0.0742788565158844,-0.08607467808822791,-0.06268848471343519
13.0,prefix_next_scale,digital_adaptive,psnr_db,-2.204558760325114,-2.4610788966019945,-1.9467654467423756
13.0,prefix_next_scale,digital_adaptive,lpips_alex,0.12623178504407406,0.11715509425786633,0.13546216514737652
13.0,prefix_next_scale,digital_adaptive,dino_cosine,-0.10840797662734987,-0.12262072826425234,-0.09489244672656058
