population,image_index,image_id,family,budget,mode,renderer,snr_db,seed,raw_payload_bits,actual_payload_bits,header_accepted,body_crc_accepted,accepted_correct,source_complete,psnr_db,lpips,dino_cosine
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,7,Dc,19.0,2002,1860,1860,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476050615310669
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,8,Dc,19.0,2002,3060,3060,1,1,1,1,14.479000091552734,0.19207078218460083,0.6649433374404907
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,9,Dc,19.0,2002,5088,5088,1,1,1,1,15.693902969360352,0.14851780235767365,0.7976688742637634
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,7,Dc,19.0,2002,1860,1562,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476050615310669
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,8,Dc,19.0,2002,3060,2612,1,1,1,1,14.479000091552734,0.19207078218460083,0.6649433374404907
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,9,Dc,19.0,2002,5088,4214,1,1,1,1,15.693902969360352,0.14851780235767365,0.7976688742637634
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,7,Dc,19.0,2003,1860,1860,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476050615310669
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,8,Dc,19.0,2003,3060,3060,1,1,1,1,14.479000091552734,0.19207078218460083,0.6649433374404907
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,raw,4084,9,Dc,19.0,2003,5088,5088,1,1,1,1,15.693902969360352,0.14851780235767365,0.7976688742637634
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,7,Dc,19.0,2003,1860,1562,1,1,1,1,13.200809478759766,0.2589964270591736,0.6476050615310669
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,8,Dc,19.0,2003,3060,2612,1,1,1,1,14.479000091552734,0.19207078218460083,0.6649433374404907
development,0,n01440764/ILSVRC2012_val_00003014_n01440764,arithmetic,4084,9,Dc,19.0,2003,5088,4214,1,1,1,1,15.693902969360352,0.14851780235767365,0.7976688742637634
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,7,Dc,1.0,2001,1860,1860,1,1,1,1,20.5515193939209,0.16255800426006317,0.6422007083892822
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,8,Dc,1.0,2001,3060,3060,1,0,0,1,21.099233627319336,0.1299935281276703,0.6072885990142822
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,9,Dc,1.0,2001,5088,5088,1,0,0,1,17.91752052307129,0.3632299304008484,0.35016030073165894
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,7,Dc,1.0,2001,1860,1513,1,1,1,1,20.5515193939209,0.16255800426006317,0.6422007083892822
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,8,Dc,1.0,2001,3060,2519,1,1,1,1,21.200607299804688,0.12767630815505981,0.7305284738540649
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,arithmetic,4084,9,Dc,1.0,2001,5088,4116,1,0,0,1,16.874130249023438,0.37828999757766724,0.35067716240882874
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,7,Dc,1.0,2002,1860,1860,1,1,1,1,20.5515193939209,0.16255798935890198,0.6422007083892822
development,1,n01601694/ILSVRC2012_val_00021656_n01601694,raw,4084,8,Dc,1.0,2002,3060,3060,1,0,0,1,21.212142944335938,0.1310829520225525,0.7322961688041687
