method,snr_db,N,E_mean,E_min,E_p05,E_p95,E_max,mean_energy_per_use,constraint,table_sha256
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,1,4084,8166.864,7884.8,8012.719999999999,8320.08,8462.400000000001,1.9997218413320272,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,4,4084,8166.864,7884.8,8012.719999999999,8320.08,8462.400000000001,1.9997218413320272,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,7,4084,8166.864,7884.8,8012.719999999999,8320.08,8462.400000000001,1.9997218413320272,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,13,4084,8166.864,7884.8,8012.719999999999,8320.08,8462.400000000001,1.9997218413320272,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m8,19,4084,8166.864,7884.8,8012.719999999999,8320.08,8462.400000000001,1.9997218413320272,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,1,4084,8166.718400000001,7915.2,8049.52,8281.599999999999,8384.0,1.9996861900097944,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,4,4084,8166.718400000001,7915.2,8049.52,8281.599999999999,8384.0,1.9996861900097944,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,7,4084,8166.718400000001,7915.2,8049.52,8281.599999999999,8384.0,1.9996861900097944,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,13,4084,8166.718400000001,7915.2,8049.52,8281.599999999999,8384.0,1.9996861900097944,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/arithmetic/16QAM/N4084/m9,19,4084,8166.718400000001,7915.2,8049.52,8281.599999999999,8384.0,1.9996861900097944,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m6,1,2048,4096.3888,3880.0,3985.6,4204.88,4312.0,2.00018984375,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m6,4,2048,4096.3888,3880.0,3985.6,4204.88,4312.0,2.00018984375,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m6,7,2048,4096.3888,3880.0,3985.6,4204.88,4312.0,2.00018984375,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m6,13,2048,4096.3888,3880.0,3985.6,4204.88,4312.0,2.00018984375,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m6,19,2048,4096.3888,3880.0,3985.6,4204.88,4312.0,2.00018984375,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m7,1,2048,4097.350399999999,3902.3999999999996,4014.3999999999996,4182.4,4275.2,2.0006593749999997,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m7,4,2048,4097.350399999999,3902.3999999999996,4014.3999999999996,4182.4,4275.2,2.0006593749999997,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m7,7,2048,4097.350399999999,3902.3999999999996,4014.3999999999996,4182.4,4275.2,2.0006593749999997,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m7,13,2048,4097.350399999999,3902.3999999999996,4014.3999999999996,4182.4,4275.2,2.0006593749999997,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m7,19,2048,4097.350399999999,3902.3999999999996,4014.3999999999996,4182.4,4275.2,2.0006593749999997,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m8,1,2048,4093.4528,3948.8,4011.2000000000003,4172.8,4262.4,1.99875625,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m8,4,2048,4093.4528,3948.8,4011.2000000000003,4172.8,4262.4,1.99875625,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m8,7,2048,4093.4528,3948.8,4011.2000000000003,4172.8,4262.4,1.99875625,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m8,13,2048,4093.4528,3948.8,4011.2000000000003,4172.8,4262.4,1.99875625,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
token-efficiency-digital-v1/raw/16QAM/N2048/m8,19,2048,4093.4528,3948.8,4011.2000000000003,4172.8,4262.4,1.99875625,fixed_constellation_average_2_per_symbol,87a84ab2cf0f15d30d3bdd5d788c4df0014fe6b0dd3159b2b410095cc84e11a2
